Premise 1,Premise 2,Syllogistic relation,Conclusion,index
MC1R is the gene responsible for determining hair color.,"If the MC1R gene is active, it produces eumelanin and a person will have darker skin and hair.",yes,"If the gene responsible for determining hair color is active, it produces eumelanin and a person will have darker skin and hair.",35
The first few weeks after someone contracts HIV is called the acute infection stage.,"During acute infection stage the virus reproduces rapidly, the person’s immune system responds by producing HIV antibodies.",yes,"During the first few weeks after someone contracts HIV the virus reproduces rapidly, the person’s immune system responds by producing HIV antibodies.",36
"Atherosclerosis is a disease characterized by fatty, artery-clogging deposits.",Consuming too much sugar especially from sugar-sweetened drinks has been kinked to atherosclerosis.,yes,"Consuming too much sugar especially from sugar-sweetened drinks has been kinked to a disease characterized by fatty, artery-clogging deposits.",37
Your speech creates your behavior., Your thoughts make up your speech.,yes,Your thoughts creates your behavior.,40
this lamp is very expensive ,I will not buy thing that are too expensive,yes,I won't buy this lamp,41
Robins should be on the same group with chickens just with a more beautiful appearance.,"All birds, including flying and flightless, have feathers.",yes,Robins have feathers.,44
Farmers grow a huge amount of crops in Iran each year.,Growing a wide range of crops helps the economic by making it needless of importing.,yes,Farmers help the economic.,47
Anxiety is the most common mental illness in teenagers.,Most U.S. Teens See Anxiety and Depression as a Major Problem Among Their Peers,yes,Most U.S. Teens See mental illness as a Major Problem Among Their Peers,53
Focusing on work is a great excuse for not taking care of yourself,taking care of oneself is closely interwoven with being concerned with the welfare of the society ,yes,Focusing on work is closely interwoven with not being concerned with the welfare of the society ,61
Smoking narrows the tiny blood vessels in the outermost layers of skin.,"Whatever narrows the tiny blood vessels in the outermost layers of skin, It decreases blood flow and makes skin paler.",yes,Smoking decreases blood flow and makes skin paler.,62
Vitamin C found in lemons may help reduce skin wrinkling,"People who have less creases on their skin, look younger",yes,Vitamin C found in lemons may help you look younger,63
massage increases blood flow in the body,increased blow flow decreases the risks of venous disorders,yes,massage decreases the risks of venous disorders,65
Vinegar inhibits bacteria from growing in food,Food spoils when it's there's bacteria in it,yes,Vinegar inhibits food from spoiling,67
"the painter of ""the last judgment"" is considered by some the greatest artist of all time",The Last Judgment is a fresco by the Italian Renaissance painter Michelangelo,yes,the Italian Renaissance painter Michelangelo is Considered by some the greatest artist of all time,70
An unprovoked attack means the person is alive when bitten.,The International Shark Attack File describes shark attacks as unprovoked.,yes,The International Shark Attack File describes shark attacks as the person is alive when bitten.,71
Babies can see an adult following their gaze and try to draw the adult’s attention to something that interests them by joint attention.,The phenomena which in babies dart their eyes back and forth to the object of interest until both are engaging has been known as joint attention.,yes,Babies can see an adult following their gaze and try to draw the adult’s attention to something that interests them by looking very quickly at the object of interest until both are engaging.,72
"An individual who is spiritually balanced, is more likely to make logical decisions",Developing a sense of trust in your child promotes emotional stability,yes,Your child is more likely to make logical decisions when you develop a sense of trust in him,78
Small businesses do not have large budgets and financing,There is no kind of Marketing service in the world that would be suitable to small budgets,yes,There is no kind of marketing service in the world that would be suitable for small businesses,82
participating in visual lessons provides better learning of class materials.,students can use iPads to share visual lessons.,yes,students can use iPads to learn better class materials.,85
tourists increasingly booked and completed electronic transactions online,Booking online is easy and quick,yes,Tourists prefer  a quick and easy booking,86
my house has thin walls,your neighbors can hear every single word you say when your house has thin walls,yes,my neighbors can hear every single word of what I say,90
 An improvement in the functions of the brain helps the brain to stay active. , The smart use of Smartphones increases your brain’s operations,yes,The smart use of Smartphone  helps the brain to stay active.,92
"If you’re not growing, you’re not being intelligent","If you’re not changing, you’re not growing.",yes,If you’re not changing you’re not being intelligent,93
"The period that hair growth comes to a complete stop and the hairs begin to fall out, affects about 15% of all hairs at a time.",The period that hair growth comes to a complete stop and the hairs begin to fall out is known as telogen.,yes,Telogen period affects about 15% of all hairs at a time.,94
The constitutional revolution led to the establishment of a parliament in Iran.,Sheikh Fazlollah contributed to the uprising which led to the issuance of the Constitutional Revolution of Iran.,yes,Sheikh Fazlollah contributed to the establishment of a parliament in Iran.,98
Circadian rhythms determines what times of day the body feels more alert as well as the times of day the body wants sleep.,It’s important to understand Circadian rhythms that go into sleep.,yes,It’s important to understand during the day when the body feels more alert as well as the times of day the body wants sleep.,99
high temperatures have resulted in the early melting of snow at heights,the early melting of snow results in a greater flood risk,yes,high temperatures result in greater flood risks,105
Babysitters struggle with children during the day,People who spend most of their time with children must consider quitting smoking,yes,Babysitters must consider quitting smoking,106
Low energy building designs typically have a very low surface area to volume ratio to minimize heat loss,"A small surface to capacity ratio to cut down on heat waste,means that sprawling multi-winged building designs are often avoided in favor of more centralized structures",yes,sprawling multi-winged building designs are often avoided in favor of more centralized structures in low energy building designs,107
Floods are a source of massive destruction to villages located on the downstream.,Perforated dams prevent floods.,yes,Perforated dams prevent massive destruction to villages located on the downstream.,109
Workers with long working hours tend to have weak psychic health., Mental wellness difficulties typically make eating disorders.,yes,workers with long working hours tend to have eating disorders,110
There will be a decrease in the number of bookings if current visitors are annoyed,A lack of hot water inside the room is going to anger the guests very much,yes,There will be a decrease in the number of bookings if there’s a shortage of hot water inside the rooms,111
Flexural loads develop cracks in beam sections.,Presence of cracks decreases the beam stiffness.,yes,Flexural loads decrease the beam stiffness.,113
smoking can disturb sense of taste ,people who don't have a proper undeC51rstanding of flavoring can't enjoy the taste of foods anymore.,yes,people who smoke can't enjoy the taste of foods anymore.,114
my friend and I are going to see the 1998 tony award winner musical,"in 1998 , the play ""Rent"" won the tony award",yes,"my friend and I are going to see a musical play named ""Rent""",117
Your productivity skyrockets when you're feeling happier,Interacting with others boosts feelings of well-being,yes,Interacting with other skyrockets your productivity,118
populist waves often rise in uncertain habitats,low security levels create an unpredictable environment,yes,populist waves often rise when security levels are low,120
Vegetables and fruits are the main source of fiber.,Fibers play a massive role in well-functioning of our Digesting system.,yes,Vegetables and fruits play a massive role in well-functioning of our Digesting system.,125
Changing the climate causes global warming that all over the world are faced to.,Fossil fuels and anthropogenic activity actually has fundamentally changed the climate.,yes,Fossil fuels and anthropogenic activity actually has fundamentally caused the global warming that all over the world are faced to.,128
The water behind the dams power up the turbines.,Turbines on the dams generate electricity.,yes,The water behind the dams generate electricity.,129
Sharing similar characteristics amongst different creatures puts them classifies them in a same category.,Humans and chimpanzees share some remarkably similar characteristics.,yes,Humans and chimpanzees are classified in a same category.,131
Ginger can enhance brain function directly and ,Ginger may protect against alzheimer's disease.,yes,Direct enhance in brain function may protect against alzheimer's disease.,136
Mount Tomuraushi is located in Hokkaid?.,Hokkaid? is the second largest island in japan.,yes,Mount Tomuraushi is in japan.,137
Group work also can have a very positive impact on students learning outcomes.,Researches show that group work creates more opportunities for critical thinking.,yes,Critical thinking can effectively enhance learning for students.,140
Pesticides select for pesticide resistance in the pest population,"choosing those insects that are resilient to pesticide,warrants the development of a new pesticide",yes,Pesticides warrant the development of a new pesticide,145
Having certain facilities near you can contribute to a very convenient living arrangement,"Unlike houses, apartment complexes are generally built with specific amenities",yes,"Unlike houses, apartment complexes can contribute to a very convenient living arrangement",146
Poverty encourages quarrels among family members,Many marriages break up due to constant arguing in house,yes,Many marriages break up due to poverty,149
Bear looks like the father of the forest.,He wanted to choose an animal which look like the father of the forest as Smokey symbol.,yes,He wanted to choose bear as Smokey symbol.,151
Pneumonia is an infection that inflames the air sacs in one or both lungs.,"Inflammation of lungs develops cough with phlegm or pus, fever, chills, and difficulty breathing",yes,"Pneumonia  develops cough with phlegm or pus, fever, chills, and difficulty breathing",152
"The hippocampus is the largest part of the brain that accumulates these memories, placing each one in its proper place.",The hippocampus allows you to recall everything from typing on your keyboard to your first-grade music recital.,yes,"The largest part of the brain that accumulates these memories, placing each one in its proper place, allows you to recall everything from typing on your keyboard to your first-grade music recital.",155
sharp movement in units of water can lead to boiling. ,"When water is heated, the molecules circulate quickly.",yes,heating the water can lead to boiling,157
"yellow, red and green (leafy) vegetables are having vitamin A inside them.",Overusing vitamin A can cause bad effects on your body.,yes,"yellow, red and green (leafy) vegetables will cause bad effects on your body.",159
Unbiased articles generate trust amongst the newspaper readers.,Newspaper writers are supposed to write stories in an unbiased fashion.,yes,Newspaper writers are supposed to generate trust amongst the newspaper readers.,163
Small classes alows the students improve their speaking skills more than large lecture classes.,Jhon prefer to participate a class in which improve his speaking skills.,yes,Jhon prefer to paticipate in small classes.,164
"The pure form of metal that are incredibly soft, malleable and ductile have led to its widespread use in the making of jewellery and art.","The pure form of gold is incredibly soft, malleable and ductile",yes,The pure form of gold have led to its widespread use in the making of jewellery and art.,166
High levels of mercury are linked to brain developmental problems,Some fish are high in mercury,yes,Some fish are linked to brain developmental problems,168
Everything you read fills your head with new bits of information.,you are better-equipped  to tackle any challenge you’ll ever face if you have more information in  your brain,yes,you are better-equipped  to tackle any challenge you’ll ever face if you read,170
sustainable development couldbecome an important source of competitive advantage,Tourism has become a pillar of socio-economic progress and a driver of sustainable development.,yes,Tourism will be a source of competitive advantage,171
"for a person walking alone in the city at night, there is high chance for getting mugged",Reza is going to walk home alone tonight,yes,there is a high chance of Reza getting mugged tonight,172
Hirsh needed to hold down two jobs to start a family.,It is the duty of the government to provide the necessary facilities for the attainment of establishment of a family. ,yes,It is the duty of the government to provide the necessary facilities for the attainment of establishment of a family. ,175
decreased annual profit can pose serious dangers to the company,the implications of the proposed changes include less annual profit,yes,the implications of the proposed changes pose serious dangers to the company,176
"By smoking the arteries to the arms and legs start to narrow, restricting blood flow.","Peripheral artery disease, which occurs when the arteries to the arms and legs start to narrow, restricting blood flow.",yes,Smoking increases the risk of peripheral artery disease.,177
chicken is a great source of Pantothenic acid.,"Pantothenic acid has several functions, such as helping to release energy from food.",yes,chicken can help releasing energy from food.,179
The education system needs flexibility to prepare the young generation for a successful future,Tanzania's higher education system is too rigid,yes,Tanzania education system could not prepare its young generation to be successful,180
Yellow crazy ants's population releases so much formic acid into the air around their nest.,Releasing so much formic acid into the air make breating around the place is so much painful and difficult.,yes,Breathing around Yellow crazy ants's nest is so much painful and difficult.,181
People living in poverty often don't have access to decent nutrients,"You are likely to get sick more often, when you don't get enough nutrients",yes,People living in poverty are likely to get sick more often,183
Customers need someone to have an explanation and solution for their problems to choose better. ,"In a conventional retail store, clerks are generally available to answer questions.",yes,"In a conventional retail store, clerks are generally available to help customers to choose better.",184
children who don't have father are obliged to work.,prevalence of AIDS throughout many developing countries has resulted an enormous number of orphans.,yes,prevalence of AIDS throughout many developing countries has resulted an obligation for children to work,185
technology has brought many great developments in education.,Countries with advanced schooling and training have a better culture.,yes,technology has brought many great developments in culture.,187
Soft tempered copper is extremely malleable,exceptionally ductile material offers far little resistance,yes,Soft tempered copper offers far little resistance,189
all IBM employees should have an engineer degree.,professional degrees such as engineering or law are completed over four years.,yes, IBM employees should spend four years to complete a professional degree.,190
Dark chocolate has significant antioxidant content.,Antioxidants are substances that may protect your cells against free radicals.,yes,Dark chocolate helps protecting your cells against free radicals.,192
"a boosted forbearence towards alcohol,means that an individual is able to consume more alcohol",Alcoholism is characterised by an advanced tolerance to alcohol,yes,Alcoholism means that an individual is able to consume more alcohol,196
placing pressure on endangered species can gradually destroy the environmental resources. ,Tourism puts enormous stress on endangered species.,yes,Tourism can gradually destroy the environmental resources.,198
The wind energy is from heat and pressure in weather patterns,The heat and pressure in weather patterns is from sun's energy which warms the surface by sunshine,yes,The wind energy power is from sun's energy which warms the surface by sunshine.,200
county seat is a seat of local government in a region,Chicago is the county seat of Cook County,yes,Chicago is the seat of local government in cook county,203
glacier conditions are in critical situation in Antarctica.,penguin colonies lives in Antarctica are depend on sea ices.,yes,penguin colonies lives are in a critical situation in Antarctica.,208
the close proximity of apartment life enhances the probability of creating a sense of community,developing Group spirit is usually associated with creating life long connections,yes,The close proximity of apartment life is associated with creating life long connections,209
It is easier to perfect your product if you're aware of the consumer demand,Researching the market gives you further ideas about what the customer want,yes,It is easier to perfect your product if you research the market,210
Severe drizzles can bring about a lot of floods,Hurricanes carry a lot of rains with themselves,yes,Hurricanes can bring about a lot of floods,211
Most women suffer from feelings of guilt and shame after an abortion,Enormous grief and gulit could contribute to long-term depression,yes,Most women suffer from long-term depression after an abortion,213
Being frightened of loneliness contributes to intense paranoia. ,Individuals with Borderline Personality Disorder often are afraid of being alone.,yes,Borderline Personality Disorder often  contributes to intense No conclusionnoia,214
Rose-Breasted Grosbeak is such a timid species.,"If you want to attrack a timid bird to your yard, you should consider posting several feeders in order to alleviate congestion and encourage it to come in for seed.",yes,"If you want to attrack Rose-Breasted Grosbeak to your yard, you should consider posting several feeders in order to alleviate congestion and encourage it to come in for seed.",218
Whole eggs are among the most nutritious foods on the planet.,Nutrient-dense foods are rich in nutrients relative to their calorie content. ,yes,Whole eggs arerich in nutrients relative to their calorie content. ,226
Indian independence movement brought an end to the British colonial rule in India.,Mahatma Gandhi was the leader of India's non-violent independence movement.,yes,Mahatma Gandhi brought an end to the British colonial rule in India.,229
Changes in nitric oxide is known to be associated with lower blood pressure,Research shows that sunlight alters levels of nitric oxide in the skin and blood,yes,Research shows that sunlight is associated with lower blood pressure,231
Exercise can help prevent excess weight gain or help maintain weight loss. ,"When you engage in physical activity, you burn calories. ",yes,Burning calories helps prevent excess weight gain or help maintain weight loss.,232
the extra vulnerablity of some stones to corrosion happens by the reason of different areas of weakness in them,Sea caves are formed since certain rock beds are more susceptible to erosion than the surrounding rock beds,yes,Sea caves are made because certain rock beds areas of weakness are different from those of the surrounding rock beds,233
Learning a new language assists to get a higher-paid job.,A higher-paid job improves the quality of life.,yes,Learning a new language improves the quality of life.,236
Times when the sun's rays are strongest are between 10 a.m. and 4 p.m.,Avoid the sun between times when the sun's rays are strongest.,yes,Avoid the sun between 10 a.m. and 4 p.m.,237
Storage of important files eases the accessibility.,Hard drives are used to store the essential files.,yes,Hard drives ease the accessibility,239
Evaluation of image details provides reliable assessment in regard with locating micro cracks on materials.,"Image processing is the application of a set of techniques and algorithms to analyze, enhance, or optimize image characteristics.",yes,Image processing provides reliable assessment in regard with locating micro cracks on materials.,241
You tend to be most productive if you feel good,"Working in a job that fits your personality, will make you happy",yes,"You tend to be most productive, when working in a job that fits your personality",245
The potential to develop products to attract more overnight tourists could be regarded as an opportunity for the future.,Rainforest Lumina attraction is a night time experience that allows people to visit the zoo after dark ,yes,Rainforest lumina is an attraction with more growth in the future.,247
"substances ascending from the margins of the central layer and in an inflexible capacity,bring about large-volume melting",mantle plumes are hypothesized to be columns of hot material rising from the core-mantle boundary in a fixed space,yes,mantle plumes are hypothesized to bring about large-volume melting,248
Diet does not provide enough amounts of vitamin D.,"There are fortified foods like orange juice, soy milk and cereals enriched with vitamins like vitamin D.",yes,People who go on a diet can meet their vitamin D needs from fortified foods.,252
"Symptoms of type 1 diabetes are strong urination needs, excessive thirst, steady hunger, loss of bodyweight, lesser vision and physical weakness",I was extremely thirsty and experienced frequent urination,yes,It is possible that I have type 1 diabetes,254
Ebooks save millions of trees from destruction.,Saving trees from destruction minimizes damage to the ecosystems.,yes,Ebooks minimize damage to the ecosystems.,256
Chemically-poisoned alchoholic beverage  killed the commissioner instantly.,Joker mixed the whiskey of the commissioner with corrosive agent.,yes,Joker killed the commissioner instantly.,260
Social media is a natural place to reach new and highly targeted potential customers.,Reaching new and highly targeted potential customers helps to increase brand awareness.,yes,Social media is a natural place that helps to increase brand awareness.,261
Factories manufacturing chemicals are often called plants,"plants may have most of their equipment – tanks, pressure vessels, chemical reactors, pumps and piping – outdoors and operated from control rooms",yes,"Factories manufacturing chemicals may have most of their equipment – tanks, pressure vessels, chemical reactors, pumps and piping – outdoors and operated from control rooms",262
A very human need is that all of us have to be seen by ourselves and others as capable and competent and and we will actually sacrifice or trade off other needs to meet that need.,Procrastination is rooted in a very human need.,yes,Procrastination is rooted in that all of us have to be seen by ourselves and others as capable and competent and and we will actually sacrifice or trade off other needs to meet that need.,263
Wind carries the flower spores within far distances to land on other flowers’ stigma.,The Stigma on the flowers has the role of reproduction.,yes,Wind plays the role in reproduction of flowers.,264
Insulin resistance causes blood sugar levels to rise and strongly increases your risk of diabetes.,Prolong high-sugar consumption drives resistance to insulin.,yes,Prolong high-sugar consumption causes blood sugar levels to rise and strongly increases your risk of diabetes.,269
"Ozone at ground level, is one of the main pollutans.",The reaction of sunlight with pollutants from vehicle emissions cause ozone at ground level.,yes,"The reaction of sunlight with pollutants from vehicle emissions, is one of the main pollutans.",270
"As connectivity increases, especially among mobile users in developing countries, the level and demand for quality content will increase, together with demand for more creative goods and services",demand for quality content will make hiring writers and designers a higher priority ,yes,"with the rise of connectivity, there are more jobs available for writers and designers",273
Getting to hepatitis make liver not to operating normally.,"When a person's skin become yellow, it is a sign that liver is not operating normally.",yes,"When a person's skin become yellow, it is a sign that getting to hepatitis.",275
Having distinctive features in way of settling makes a society unique case of study.,The Natufians had a different settlement pattern from that of their predecessors.,yes,The Natufians are unique case of study.,280
A fiat currency and a gold-backed currency are two different arrangements a country's currency might have,"At the most basic level, monetary policy involves establishing what form of currency the country may have",yes,"At the most basic level, monetary policy involves whether a fiat currency or a gold-backed currency",281
traffic fumes increase when traffic is heavier ,the amount of traffic is at its max during the rush hour,yes,traffic fumes increase during the rush hour,282
"Chocolate is a fatty food usually consisting of chocolate Liquor, Cocoa Butter, sugar and Lecithin.",Fat lowers the GI of a food.,yes,Chocolate lowers the GI of a food.,287
I get uncomfortable when someone makes annoying noises,Joe makes annoying noises when he drinks tea,yes,I get uncomfortable when joe drinks tea,292
Brussels sprouts is containing large amount of folic acid.,"folic acid reduces the risk of central neural tube defects, such as spina bifida, in unborn babies.",yes,"brussels sprouts reduces the risk of central neural tube defects, such as spina bifida, in unborn babies.",293
"Architectural phenomenology focuses on human experience, background, intention and historical reflection, interpretation as well as poetic and ethical considerations with authors such as Gaston Bachelard","Architectural phenomenology is a movement within architecture that began in the 1950s, reaching a wide audience in the late 1970s and 1980s, and continuing until today",yes,"the movement within architecture that began in the 1950s, reaching a wide audience in the late 1970s and 1980s, and continuing until today Architectural phenomenology focuses on human experience, background, intention and historical reflection, interpretation as well as poetic and ethical considerations with authors such as Gaston Bachelard",294
expecting too much respect and attention from other troubles one's relation with his surrounding society.,"Narcissistic personality disorder is a mental condition in which people have an inflated sense of their own importance, a deep need for excessive attention and admiration, and a lack of empathy for others",yes,Narcissistic personality disorder troubles one's relation with his surrounding society.,295
When the blood doesn't clot easily; you will lose a big amount of blood with a small wound.,Calcium is needed for making sure blood clots normally,yes,Calcium is needed to prevent losing a big amount of blood with a small wound,296
uncharged courses considerably help people to become wiser.,public universities offer online courses that most of them are free.,yes,public universities  help people to become wiser.,298
poor people don't have enough money to meet their technical requirements.,buying a cell phone demands a lot of money.,yes,poor people don't have enough money to buy cell phone.,299
Carbon dioxide contributes to air pollution.,Respiration from plants will make CO2.,yes,Respiration from plants contributes to air pollution.,300
concealing identity among superhoreos meant to save their relatives from possible threats conducted by villains.,Peter Parker hides his face with Spider-Mask.,yes,Peter Parker intends to save his relatives from possible threats conducted by villains.,301
being unable to control emotions leads to shortness of breath.,Doctors suggest relaxation techniques to manage feelings and sentiments.,yes,doctors probably suggest relaxation techniques to manage shortness of breath.,303
Social rivalry encourages violence,Economic ineqaulity stimulates competition,yes,Economic inequality encourages violence ,304
soaring up of nourishment charges hits the poorest,The scarcity of fresh water and the diminution of fertile lands will see the escalation of food prices,yes,The scarcity of fresh water and the diminution of fertile lands will hit the poorest,305
preserving nature have significant influences on the future of our children.," in order to protect the environment, some serious eco-friendly steps should be taken by the government. ",yes,serious  eco-friendly steps taken by the government have significant influences on the future of our children.,307
Illogical thinking can leave us feeling less capable of coping,"When the fight or flight response is triggered, we may not be thinking as clearly or rationally",yes,When the fight or flight response is triggered we may feel less capable of coping,309
The balance between energy entering and leaving the planet’s system lead to climate change.,Global climate change can cause longer periods of drought in some regions.,yes,The balance between energy entering and leaving the planet’s system causes longer periods of drought in some regions.c,310
learning a foreign language improves performance  in other academic areas. ,"Benefits of learning a new language include higher scores on standardized exams in math, reading comprehension and vocabulary.",yes,"Performance improvement in  academic areas include higher scores on standardized exams in math, reading comprehension and vocabulary.",311
Eliminating negative self-talk is a way to have high self-confidence.,high self-esteem eases anxiety about life and death.,yes,eliminating of negative self-talk eases anxiety about life and death.,313
Antioxidants are linked to a reduced risk of cardiovascular disease.,Grapes are loaded with antioxidants.,yes,Grapes are loaded with are linked to a reduced risk of cardiovascular disease.,314
Daffodils's leaves need to absorb sunlight in order to produce food.,"If leaves need to insert sunlight, the plant shouldn't be completely shaded by the flowers.",yes,Daffodils shouldn't be completely shaded by the flowers in order to produce food.,316
"Spraying agricultural chemicals aids to control insects, diseases and weeds.","Controlling insects, diseases and weeds is important for growing high-yielding, quality crops and pasture.",yes,"Spraying agricultural chemicals is important for growing high-yielding, quality crops and pasture.",318
changing ocean current can result in changes in water temperature.,variations in the warmness of the water can kill fishes and ocean plant life ,yes,changing ocean current can result in killing fishes and ocean plant life.,320
Oman is the fastest growing tourism destination in the Middle East.,Tourism development promotes economic growth,yes,oman economics is growing. ,322
"the incompotence of the president to sack representatives of the political wing,provides some measure of separation of powers",in a presidential democracy the president is unable to remove members of the legislative branch any more easily,yes,presidential democracy provides some measure of seNo conclusiontion of powers,323
the united states has one of the fastest rising populations in the world,the number of fundamentalists has enormously increased in the american population,yes,the number of fundamentalists has enormously increased in the world,324
"In recent decades, the years have always been hotter.","If the world temperature rises, mountain glaciers and rivers will start to disappear.",yes,"In recent decades, mountain glaciers and rivers are going to be disappeared.",327
Rumi composed Mathnavi-ye-Ma’navi.,The appearance of Masnavi made a huge impact on Sufism.,yes,Rumi made a huge impact on Sufism.,328
"Sodium together with sodium and bicarbonate, maintains a sound balance between the positively charged  the negatively charged ions.",Maintaining a sound balance between the positively charged  and  negatively charged ions enables the nerve cells to send messages and the muscle cells to contract.,yes,Sodium together with sodium and bicarbonate enables the nerve cells to send messages and the muscle cells to contract.,332
A green building requires fewer resources for its completion,"When Less assets are needed for the execution of a project, it will cost you less money",yes,A green building will cost you less money,333
"Latex is a complex, sticky mixture made of polymers.",A polymer is a long molecule made of smaller molecules joined together.,yes,"Latex is a complex, sticky mixture made of a long molecule made of smaller molecules joined together.",336
my ideal holiday destination would be somewhere with numorous sunny days,countries located in south america are famous for their sunny climate,yes,countries located in south america would be in the list of my ideal holiday destinations,337
one-time projects can easily become a source of overwhelm and fear for entrepreneurs,Freelance work isn't just one-time projects.,yes,freelance work is not overwhelming,338
bears and goats are examples of mammals that live in the hilltops and summit.,mountain animals have thicker fur and fatter skin compared to others.,yes,beras and goats  have thicker fur and fatter skin compared to others.,342
"In Europe, the construction industry contribute greatly to the continent’s total waste",Governments have to find new locations for landfills in case of ever growing amounts of rubbish,yes,"In Europe, governments have to find new locations for landfills because of the construction industry",343
Noble prize is given to works which have conferred the greatest benefit on mankind.,"The greatest benefit on mankind comes from a works which respect and help all people no matter what race, gender or age they have.",yes,"Noble prize is given to works which respect and help all people no matter what race, gender or age they have.",345
"people who have problems with prefrontal cortex, have abnormal processing of emotions.",Sleep deprivation weakens the ability of a part of the brain known as the prefrontal cortex.,yes,Sleep deprivation weakens the ability of emotion processing.,346
"Patients with paranoid schizophrenia, which is characterized by delusional thinking and often so-called command hallucinations.",People who have illusion thoughts and often so called order halluciations are more likely than average to commit violent acts.,yes,"Patients with No conclusionnoid schizophrenia, are more likely than average to commit violent acts.",349
"When there is an arranged marriage, then there are fewer social differences.",Cultural diversity can lead to communicative quarrels in partners. ,yes,"When there is an arranged marriage, then there are fewer communicative quarrels in partners.",351
Global warming has numerous destructive effects on our natural environment.,"Green House Gases which are closely associated to human activities, are the main cause of global warming.",yes,Green House Gases are destructive to our naural environment.,357
Forget perfection for teaching kids to be more independent,"When you have a big family, the children have to learn to be independent.",yes,"When you have a big family, Forget perfection",358
More young people became active against the government as the use of the Internet spread throughout society.,the opponents to regime try hard to get their and other's rights.. ,yes,many young people try hard to get their and other's rights  as use of the Internet spread throughout society.,360
High expenses of projects are not welcomed by companies.,Producing flippable USB requires significant cost.,yes,Producing flippable USB is not welcomed by companies.,366
