,index,Premise 1,Conclusion,Premise 1_f1
22,36,During the first few weeks after someone contracts HIV the virus becomes acute.,"During the first few weeks after someone contracts HIV the virus reproduces rapidly, the person’s immune system responds by producing HIV antibodies.",0.9455933570861816
23,37," atherosclerosis is a disease characterized by fatty, artery-clogging deposits.","Consuming too much sugar especially from sugar-sweetened drinks has been kinked to a disease characterized by fatty, artery-clogging deposits.",0.9762821197509766
24,40,Your thoughts creates your behavior.,Your thoughts creates your behavior.,0.9643758535385132
25,41,I won't buy this expensive lamp,I won't buy this lamp,0.9217541813850404
26,44,Robins are the first animals to have feathers.,Robins have feathers.,0.8855373859405518
27,47,Farmers grow a huge amount of crops in Iran.,Farmers help the economic.,0.9877466559410096
28,53, Anxiety is a mental illness. ,Most U.S. Teens See mental illness as a Major Problem Among Their Peers,0.948361873626709
29,61,Focusing on work is associated with taking care of yourself,Focusing on work is closely interwoven with not being concerned with the welfare of the society ,0.9461435675621032
30,62,Smoking decreases blood flow and makes skin paler.,Smoking decreases blood flow and makes skin paler.,0.913295567035675
31,63,Vitamin C found in lemons may help reduce wrinkles,Vitamin C found in lemons may help you look younger,0.9831541180610656
32,65,massage increases blood flow,massage decreases the risks of venous disorders,0.9746592044830322
33,67,Vinegar inhibits the growth of bacteria,Vinegar inhibits food from spoiling,0.9705805778503418
34,70,the Last Judgment is considered by some the greatest artist of all time,the Italian Renaissance painter Michelangelo is Considered by some the greatest artist of all time,0.9639248847961426
35,71,The person is alive when bitten.,The International Shark Attack File describes shark attacks as the person is alive when bitten.,0.9414132833480836
36,72,Babies can see an adult following their gaze and try to draw the adult’s attention to something that interests them.,Babies can see an adult following their gaze and try to draw the adult’s attention to something that interests them by looking very quickly at the object of interest until both are engaging.,0.9733884334564208
37,78,Your child is more likely to make logical decisions when he is around you,Your child is more likely to make logical decisions when you develop a sense of trust in him,0.926186740398407
38,82,Small businesses are limited in their ability to raise capital,There is no kind of marketing service in the world that would be suitable for small businesses,0.9143160581588744
39,85,students can learn better class materials.,students can use iPads to learn better class materials.,0.9208503365516664
40,86,Tourists prefer to visit places that are close to them,Tourists prefer  a quick and easy booking,0.8699722290039062
41,90,my neighbors can hear everything I say,my neighbors can hear every single word of what I say,0.8932341933250427
42,92,Improved functions of the brain helps the brain to stay active. ,The smart use of Smartphone  helps the brain to stay active.,0.9809249639511108
43,93,"When you grow, you become more intelligent",If you’re not changing you’re not being intelligent,0.90694260597229
44,94,The telogen period affects about 15% of all hairs at a time.,Telogen period affects about 15% of all hairs at a time.,0.918833315372467
45,98,The constitutional revolution contributed to the establishment of a parliament in Iran.,Sheikh Fazlollah contributed to the establishment of a parliament in Iran.,0.9638307690620422
46,99,Different rhythms feel more alert as well as the times of day the body wants sleep.,It’s important to understand during the day when the body feels more alert as well as the times of day the body wants sleep.,0.94590425491333
47,105,high temperatures result in early melting of snow,high temperatures result in greater flood risks,0.966842532157898
48,106,Babysitters are likely to become addicted to nicotine,Babysitters must consider quitting smoking,0.9050045609474182
49,107,Low energy building designs tend to be high in energy,sprawling multi-winged building designs are often avoided in favor of more centralized structures in low energy building designs,0.911023736000061
50,109,Floods can cause massive destruction to villages located on the downstream.,Perforated dams prevent massive destruction to villages located on the downstream.,0.9829993844032288
51,110,workers with long working hours tend to have mental health problems,workers with long working hours tend to have eating disorders,0.9470325112342834
52,111,There will be a decrease in the number of bookings if there is no hot water inside the rooms,There will be a decrease in the number of bookings if there’s a shortage of hot water inside the rooms,0.9375758767127992
53,113,Flexural loads can cause cracks in beam sections.,Flexural loads decrease the beam stiffness.,0.9823859333992004
54,114,people who smoke can't enjoy the taste of foods anymore.,people who smoke can't enjoy the taste of foods anymore.,0.9016770720481871
55,117,"my friend and I are going to see a musical play named ""Rent""","my friend and I are going to see a musical play named ""Rent""",0.91441410779953
56,118,Being connected to other people skyrockets your productivity,Interacting with other skyrockets your productivity,0.92556232213974
57,120,populist waves often rise when the threat is high,populist waves often rise when security levels are low,0.9431229829788208
58,125,Vegetables and fruits contain large amount of fiber.,Vegetables and fruits play a massive role in well-functioning of our Digesting system.,0.9665614366531372
59,128,The global warming that all over the world are faced to is caused by fossil fuels.,Fossil fuels and anthropogenic activity actually has fundamentally caused the global warming that all over the world are faced to.,0.9467344880104064
60,129,The water behind the dams generates electricity.,The water behind the dams generate electricity.,0.9534717202186584
61,131,Different characteristics are classified in a same category.,Humans and chimpanzees are classified in a same category.,0.9153926968574524
62,136,Direct enhance in brain function may protect against Alzheimer's disease.,Direct enhance in brain function may protect against alzheimer's disease.,0.886122465133667
63,137,Mount Tomuraushi is located in japan.,Mount Tomuraushi is in japan.,0.9270042777061462
64,140,Critical thinking can effectively enhance learning for students.,Critical thinking can effectively enhance learning for students.,0.9168461561203004
65,145,Pesticides warrant the development of a new pesticide,Pesticides warrant the development of a new pesticide,0.9125418066978456
66,146,Having access to all sorts of places can contribute to a very convenient living arrangement,"Unlike houses, apartment complexes can contribute to a very convenient living arrangement",0.956543505191803
67,149,Poverty can lead to poverty,Many marriages break up due to poverty,0.917651891708374
68,151,Bear is a bear.,He wanted to choose bear as Smokey symbol.,0.9224228858947754
69,152,Pneumonia is an inflammation in the air sacs in one or both lungs,"Pneumonia  develops cough with phlegm or pus, fever, chills, and difficulty breathing",0.9642943739891052
70,155,"The hippocampus is the largest part of the brain that accumulates these memories, placing each one in its proper place.","The largest part of the brain that accumulates these memories, placing each one in its proper place, allows you to recall everything from typing on your keyboard to your first-grade music recital.",0.9999998807907104
71,157,the sharp movement of water can lead to boiling,heating the water can lead to boiling,0.9441218972206116
72,2927,the sharp movement of water can lead to boiling,heating the water can lead to boiling,0.9441218972206116
73,159,"yellow, red and green (leafy) vegetables contain large amount of vitamin A.","yellow, red and green (leafy) vegetables will cause bad effects on your body.",0.9726219773292542
74,163, unbiased reporting generate trust amongst the newspaper readers.,Newspaper writers are supposed to generate trust amongst the newspaper readers.,0.9749944806098938
75,164,Small classes are reserved for people who are interested in learning.,Jhon prefer to paticipate in small classes.,0.8952093124389648
76,166,The pure form of gold have led to its widespread use in the making of jewellery and art.,The pure form of gold have led to its widespread use in the making of jewellery and art.,0.9500945806503296
77,168,High levels of mercury are linked to brain developmental problems,Some fish are linked to brain developmental problems,1.000000238418579
78,170,reading is a great way to tackle any challenge you’ll ever face,you are better-equipped  to tackle any challenge you’ll ever face if you read,0.8631033301353455
79,171,Developing economies will be a source of competitive advantage,Tourism will be a source of competitive advantage,0.9092717170715332
80,172,there is a high chance of Reza getting mugged tonight,there is a high chance of Reza getting mugged tonight,0.9165772795677184
81,175,The establishment of a family is the first step in the process of a proper family.,It is the duty of the government to provide the necessary facilities for the attainment of establishment of a family. ,0.877942681312561
82,176,the proposed changes pose serious dangers to the company,the implications of the proposed changes pose serious dangers to the company,0.9255689978599548
83,177,Smoking can restrict blood flow.,Smoking increases the risk of peripheral artery disease.,0.916756272315979
84,179,chicken is a great source of pantothenic acid.,chicken can help releasing energy from food.,0.9906015396118164
85,180,The education system could not prepare its young generation to be successful,Tanzania education system could not prepare its young generation to be successful,0.9503093361854552
86,181,Yellow crazy ants's nest is known to contain formic acid.,Breathing around Yellow crazy ants's nest is so much painful and difficult.,0.927516758441925
87,183,People living in poverty are likely to lack proper nutrition,People living in poverty are likely to get sick more often,0.9366970658302308
88,184,Consumers tend to choose better. ,"In a conventional retail store, clerks are generally available to help customers to choose better.",0.9061573147773744
89,185,Fathers are required to work,prevalence of AIDS throughout many developing countries has resulted an obligation for children to work,0.9214223027229308
90,187,technology has brought many great developments in education.,technology has brought many great developments in culture.,0.9999999403953552
91,189,Soft tempered copper is resistant to corrosion,Soft tempered copper offers far little resistance,0.9425230622291564
92,190,IBM employees should spend four years to complete a professional degree., IBM employees should spend four years to complete a professional degree.,0.926970601081848
93,192,Dark chocolate is a great source of antioxidants.,Dark chocolate helps protecting your cells against free radicals.,0.9609858989715576
94,196,Increased appetite means that an individual is able to consume more alcohol,Alcoholism means that an individual is able to consume more alcohol,0.9248327016830444
95,198,loss of biodiversity can gradually destroy the environmental resources.,Tourism can gradually destroy the environmental resources.,0.9520832300186156
96,200,The wind energy power is from sun's energy.,The wind energy power is from sun's energy which warms the surface by sunshine.,0.9131461381912231
97,203,Cook county is the seat of local government in Cook county,Chicago is the seat of local government in cook county,0.9171661138534546
98,208,people living in warmer climates are in a critical situation in Antarctica.,penguin colonies lives are in a critical situation in Antarctica.,0.9175626039505004
99,209,The close proximity of apartment life creates a sense of belonging,The close proximity of apartment life is associated with creating life long connections,0.95456862449646
100,210,It is easier to perfect your product if you research the market,It is easier to perfect your product if you research the market,0.9629203677177428
101,211,Floods can bring about a lot of floods,Hurricanes can bring about a lot of floods,0.9459250569343568
102,213,Most women feel guilt and shame after an abortion,Most women suffer from long-term depression after an abortion,0.982158899307251
103,214,Depressment contributes to intense No conclusionnoia,Borderline Personality Disorder often  contributes to intense No conclusionnoia,0.8856226801872253
104,218,"When weeds grow, they tend to come in for seed.","If you want to attrack Rose-Breasted Grosbeak to your yard, you should consider posting several feeders in order to alleviate congestion and encourage it to come in for seed.",0.8466476202011108
105,226,Whole eggs arerich in nutrients.,Whole eggs arerich in nutrients relative to their calorie content. ,0.9221106171607972
106,229,The Indian independence movement brought an end to the British colonial rule in India.,Mahatma Gandhi brought an end to the British colonial rule in India.,0.9760807156562804
107,231,Nitric oxide is associated with lower blood pressure,Research shows that sunlight is associated with lower blood pressure,0.9568435549736024
108,232,Reducing body fat helps prevent excess weight gain or help maintain weight loss.,Burning calories helps prevent excess weight gain or help maintain weight loss.,0.9674331545829772
109,233,the areas of weakness are known as the sea caves,Sea caves are made because certain rock beds areas of weakness are different from those of the surrounding rock beds,0.8747056722640991
110,236,Learning a new language improves your productivity. ,Learning a new language improves the quality of life.,0.9440681338310242
111,237,Sunnier days between 10 a.m. and 4 p.m are when the sun's rays are strongest.,Avoid the sun between 10 a.m. and 4 p.m.,0.9662712216377258
112,239,Storage of files ease the accessibility,Hard drives ease the accessibility,0.9570898413658142
113,241,Image processing provides reliable assessment in regard with locating micro cracks on materials.,Image processing provides reliable assessment in regard with locating micro cracks on materials.,0.9650543332099916
114,245,"You tend to be most productive, when you're motivated","You tend to be most productive, when working in a job that fits your personality",0.9634404182434082
115,247,More trees will grow in the future.,Rainforest lumina is an attraction with more growth in the future.,0.911793291568756
116,248,mantle plumes are hypothesized to bring about large-volume melting,mantle plumes are hypothesized to bring about large-volume melting,0.8824226260185242
117,252,Niacin is a great source of vitamin D.,People who go on a diet can meet their vitamin D needs from fortified foods.,0.92702454328537
118,254,I have type 1 diabetes,It is possible that I have type 1 diabetes,0.8697031736373901
119,256,Ebooks contain tree-cutting.,Ebooks minimize damage to the ecosystems.,0.9123843312263488
120,260,The arsenic in the beverage killed the commissioner instantly.,Joker killed the commissioner instantly.,0.9112999439239502
121,261,Social media is a natural place to reach out to customers.,Social media is a natural place that helps to increase brand awareness.,0.9608441591262816
122,262,Factories manufacturing chemicals may have a large number of workers,"Factories manufacturing chemicals may have most of their equipment – tanks, pressure vessels, chemical reactors, pumps and piping – outdoors and operated from control rooms",0.9211100339889526
123,263,All of us have to be seen by ourselves and others as capable and competent and and we will actually sacrifice or trade off other needs to meet that need.,Procrastination is rooted in that all of us have to be seen by ourselves and others as capable and competent and and we will actually sacrifice or trade off other needs to meet that need.,0.9777178168296814
124,264,Wind carries flower spores within far distances to land on other flowers’ stigma.,Wind plays the role in reproduction of flowers.,0.9908598065376282
125,269,Insulin resistance causes blood sugar levels to rise and strongly increases your risk of diabetes.,Prolong high-sugar consumption causes blood sugar levels to rise and strongly increases your risk of diabetes.,0.9999998807907104
126,270,Ozone is one of the main pollutans.,"The reaction of sunlight with pollutants from vehicle emissions, is one of the main pollutans.",0.969041645526886
127,273,"with the rise of connectivity, there are more opportunities for creative workers","with the rise of connectivity, there are more jobs available for writers and designers",0.8915596604347229
128,275,Getting to hepatitis is a sign that getting to hepatitis.,"When a person's skin become yellow, it is a sign that getting to hepatitis.",0.8879501223564148
129,280,Archaeological studies are unique case of study.,The Natufians are unique case of study.,0.8926342725753784
130,281,a fiat currency or a gold-backed currency is called a currency,"At the most basic level, monetary policy involves whether a fiat currency or a gold-backed currency",0.9116822481155396
131,282,traffic fumes increase during rush hour,traffic fumes increase during the rush hour,0.9471035599708556
132,287,Chocolate is a great source of lecithin.,Chocolate lowers the GI of a food.,0.8907817602157593
133,292,I get uncomfortable when joe drinks tea,I get uncomfortable when joe drinks tea,0.923223912715912
134,293,brussels sprouts contain fatty acid.,"brussels sprouts reduces the risk of central neural tube defects, such as spina bifida, in unborn babies.",0.941645622253418
135,294,"Archural phenomenology focuses on human experience, background, intention and historical reflection, interpretation as well as poetic and ethical considerations with authors such as Gaston Bachelard","the movement within architecture that began in the 1950s, reaching a wide audience in the late 1970s and 1980s, and continuing until today Architectural phenomenology focuses on human experience, background, intention and historical reflection, interpretation as well as poetic and ethical considerations with authors such as Gaston Bachelard",0.9878578782081604
136,295,Negative thinking troubles one's relation with his surrounding society.,Narcissistic personality disorder troubles one's relation with his surrounding society.,0.9002973437309265
137,296, clotting can lead to losing a big amount of blood with a small wound,Calcium is needed to prevent losing a big amount of blood with a small wound,0.9315335750579834
138,298,Higher education help people to become wiser.,public universities  help people to become wiser.,0.9270449280738832
139,299,poor people don't have enough money to buy cell phone.,poor people don't have enough money to buy cell phone.,0.9483845233917236
140,300,CO2 contributes to air pollution.,Respiration from plants contributes to air pollution.,0.9677444696426392
141,301,Protecting his relatives from possible threats conducted by villains is the first step in determining his identity.,Peter Parker intends to save his relatives from possible threats conducted by villains.,0.9041475057601928
142,303,Shortness of breath is a sign of stress.,doctors probably suggest relaxation techniques to manage shortness of breath.,0.9232835173606871
143,304, rivalry encourages violence ,Economic inequality encourages violence ,0.9052101373672484
144,305,Oversupply of water will hit the poorest,The scarcity of fresh water and the diminution of fertile lands will hit the poorest,0.8715468049049377
145,307,Protecting nature have significant influences on the future of our children.,serious  eco-friendly steps taken by the government have significant influences on the future of our children.,0.9825145602226256
146,309,When our brains become overloaded we may feel less capable of coping,When the fight or flight response is triggered we may feel less capable of coping,0.9360289573669434
147,310,The balance between energy entering and leaving the planet’s system changes.,The balance between energy entering and leaving the planet’s system causes longer periods of drought in some regions.c,0.9611031413078308
148,311,Performance improvement in  academic areas is the result of proper education. ,"Performance improvement in  academic areas include higher scores on standardized exams in math, reading comprehension and vocabulary.",0.9022418856620787
149,313,eliminating of negative self-talk is associated with high self-confidence.,eliminating of negative self-talk eases anxiety about life and death.,0.9491034150123596
150,314,Antioxidants are linked to a reduced risk of cardiovascular disease.,Grapes are loaded with are linked to a reduced risk of cardiovascular disease.,0.9999999403953552
151,316,Daffodils need to absorb sunlight in order to produce food.,Daffodils shouldn't be completely shaded by the flowers in order to produce food.,0.985397458076477
152,318,"Spraying agricultural chemicals can control insects, diseases and weeds.","Spraying agricultural chemicals is important for growing high-yielding, quality crops and pasture.",0.9852527976036072
153,320,changing ocean current can result in changes in temperature.,changing ocean current can result in killing fishes and ocean plant life.,0.9922577142715454
154,322,oman economics is growing. ,oman economics is growing. ,0.8730947375297546
155,323,decision of powers provides some measure of seNo conclusiontion of powers,presidential democracy provides some measure of seNo conclusiontion of powers,0.8471028208732605
156,324,the number of fundamentalists has enormously increased in the world,the number of fundamentalists has enormously increased in the world,0.8983489871025085
157,327,"In recent decades, the temperature has increased.","In recent decades, mountain glaciers and rivers are going to be disappeared.",0.9437428712844848
158,328,Rumi was born in Iran.,Rumi made a huge impact on Sufism.,0.8655915260314941
159,332,Sodium together with sodium and bicarbonate disrupts the sound balance between positively charged ions and negatively charged ions.,Sodium together with sodium and bicarbonate enables the nerve cells to send messages and the muscle cells to contract.,0.9583516120910645
160,333,A green building is a more efficient building,A green building will cost you less money,0.9261422753334044
161,336,"Latex is a complex, sticky mixture made of polymers.","Latex is a complex, sticky mixture made of a long molecule made of smaller molecules joined together.",0.9999997615814208
162,337,decrease in temperature would be in the list of my ideal holiday destinations,countries located in south america would be in the list of my ideal holiday destinations,0.8711124658584595
163,338,Work is not overwhelming,freelance work is not overwhelming,0.8734579682350159
164,342,beras and goats are larger animals than humans.,beras and goats  have thicker fur and fatter skin compared to others.,0.8855599164962769
165,343,"In Europe, governments have to find new locations for landfills","In Europe, governments have to find new locations for landfills because of the construction industry",0.8989927768707275
166,345,Noble prize is given to works which promote the best interests of mankind.,"Noble prize is given to works which respect and help all people no matter what race, gender or age they have.",0.9568517208099364
167,346,The prefrontal cortex is involved in emotion processing.,Sleep deprivation weakens the ability of emotion processing.,0.9270471334457396
168,349,People with schizophrenia have difficulty controlling their emotions.,"Patients with No conclusionnoid schizophrenia, are more likely than average to commit violent acts.",0.8933644890785217
169,351,"When there is an arranged marriage, there are fewer social differences.","When there is an arranged marriage, then there are fewer communicative quarrels in partners.",0.9926167726516724
170,357,Global warming is destructive to our naural environment.,Green House Gases are destructive to our naural environment.,0.9403468370437622
171,358,"When you're more independent, Forget perfection","When you have a big family, Forget perfection",0.8987104892730713
172,360,Internet usage spread throughout society. ,many young people try hard to get their and other's rights  as use of the Internet spread throughout society.,0.9327583909034728
173,366,Low expenses are not welcomed by companies.,Producing flippable USB is not welcomed by companies.,0.972745418548584
174,367,exhausts coming out of diesel vehicles release acid rain,exhausts coming out of diesel vehicles are extremely dangerous for our forests,0.9904959201812744
175,368,Sleep deprivation and lack of entertainment deprived Jack of quality sleep.,Jack’s mental state was deteriorated.,0.9069526791572572
176,370,having a regular bedtime schedule can help our body relax.,having a regular bedtime schedule can help our body relaxation.,0.949430525302887
177,372,Any interruption in pouring the concrete can cause the concrete to begin to set,Any interruption in pouring the concrete can give rise to the formation of a horizontal plane of weakness called a cold joint between the two batches,0.929763913154602
178,373,"When customers can order more quickly,they're likely to order more","When customers can browse the menu without feeling rushed by lines,they're likely to order more",0.9162593483924866
179,374,Negative driving could endanger other people or property ,Riding a car under the influence of alcohol or drugs  could endanger other people or property ,0.921592116355896
180,376,"the exchange of sets of obligations between two or more parties,must be carefully considered","the exchange of sets of obligations between two or more parties,must be carefully considered",0.9265685081481934
181,377,Oxidative stress  is a condition that is associated with eating disorders.,Oxidative stress  is a devastating condition that causes memory loss and negatively affects thinking and behavior.,0.8976943492889404
182,379,consuming too much coffee increases stress levels,consuming too much coffee increases stress levels,0.9477195739746094
183,380,Decrease in levels of cortisol in your body is known as music.,"Decrease in levels of cortisol in your body, Lowers Stress and Improves Health.",0.919973075389862
184,381,small firms provide better customer service than bigger companies,small firms provide better customer service than bigger companies,0.9211567044258118
185,382,Heat alters food’s nature.,Cooking chemically alters food’s nature.,0.92750483751297
186,383,Common effects of divorce in children are feelings of guilt,Common effects of divorce in children can lead to depression,0.9535037875175476
187,384,Foliage from tress reduces the pressure in your body,Foliage from tress reduces your electricity bill,0.916700839996338
188,386,Recycled calcium and phosphorus mineralized the bones in the body.,Vitamin D increases the efficiency of mineralized the bones in the body.,0.9211793541908264
189,393,narcissists aren’t capable of reciprocating,narcissists aren’t capable of making healthy relationships,0.95267516374588
190,394,your brain sends you messages to eat more,your brain sends you messages to eat more when you eat junk food,0.9432708024978638
191,395,The orchid organ is the most important quality that identifies the orchid family.,An organ which identify male and female parts in Orchids flowers is the most important quality that identifies the orchid family.,0.9703987836837769
192,397,"AI, AR, VR, and blockchain will revolutionize the creative economy","AI, AR, VR, and blockchain will be vital to global economy",0.9509095549583436
193,398,Mopping floor reduces the risk of slipping.,Mopping floor exceeds the risk of slipping.,0.9399152398109436
194,399,The overthrow of Soviet Union led to the ultural upsurge in the territory.,Peter Alexeyevich led to the ultural upsurge in the territory.,0.9248679876327516
195,400,people with hyperopia usually have difficulty focusing on close-ups,people with hyperopia usually have blurry vision,0.9846646189689636
196,402,"Influx is an excessive buildup of fluid in the circulatory system, body tissues, or cavities in the body.","Excess sodium intake also has links to an excessive buildup of fluid in the circulatory system, body tissues, or cavities in the body.",0.9788427352905272
197,405,Providing jobs where they're needed most is known as tourism.,Providing jobs where they're needed most  boosts our economy and enriches our businesses.,0.9485760927200316
198,406,Humans use an anti-inflammatory chemical known asformic acid.,"Humans use an No conclusionitating chemical present in the sprayed venom of some ant species and in the secretion released from some stinging nettles as a food preservative, since it's an antibacterial substance.",0.900063693523407
199,407,Increased sunlight penetration is required to maintain the quality of fruit.,Pruning fruit trees is required to maintain the quality of fruit.,0.9678730368614196
200,408,Roman Pottery was made using plastic pure clay.,Roman Pottery were made of porous pure clay.,0.893074631690979
201,410,china and thailand have close partnerships,china and thailand have close partnerships,0.8810948133468628
202,412,Tourism is associated with strong local pride,Tourism is the factor that has saved many historical sites from destruction,0.9364330172538756
203,413,Vitamin D can weaken the bones and damage the kidneys and the heart.,large amounts of fortified foods can weaken the bones and damage the kidneys and the heart.,0.9600552320480348
204,414,engineers use gravitational pull to generate waves.,engineers use gravitational pull as a renewable resource for tidal energy,0.9223431944847108
205,415,Pomegranate juice is a great defender against oxidative damage.,Pomegranate juice is an excellent defender against oxidative damage.,0.8702389597892761
206,420,The European Union's global strategy promotes the development of creative thinking,Creative economy should be one of the focuses in EU's global strategy,0.8997043371200562
207,421,People who are usually neat freaks tend to get bored.,People low in openness are usually neat freaks.,0.9037598371505736
208,425,Intimate feelings are reserved for people who know each other very well.,Touching another person is reserved for people who know each other very well.,0.9891958236694336
209,428,Financial planning can help you manage your income,Financial planning can provide peace of mind for you and your loved ones,0.9199641346931458
210,430,Being alone could suffer from great stress,Women who have had abortions could suffer from great stress,0.9331875443458556
211,433,The Communist Party weakened the family and clan structures in Athens.,Cleisthenes’ principal weakened the family and clan structures in Athens.,0.9621331095695496
212,437,"In the U.S.A, the top status occupations are education and training.","In the U.S.A, the top status occupations are lawyers, professors and clegry.",0.9556310176849364
213,439,higher processing costs enables us to lower the sales price,this grade of wool enables us to lower the sales price,0.9735398292541504
214,441,Land rich in mineral and fresh water stream are perfect for cultivating.,River banks’ territories are perfect for cultivating.,0.962554693222046
215,442,"When you feel prepared and be more in control over outcomes, you tend to do better.",defensive pessimists use their negative expectations to you feel prepared and be more in control over outcomes,0.9460384845733644
216,444, fibreboard is used instead of sawdust to make furniture and floors in homes.,Mud and cow dung been suggested that the manure residue from biogas production could be used instead of sawdust to make furniture and floors in homes.,0.9583843946456908
217,445,Rosemary contains an ingredient called Carnosic acid.,Rosemary contains an ingredient that possesses antioxidative and antimicrobial properties. ,0.9911632537841796
218,446,High levels of carbohydrates helps keep your blood sugar levels even,Consuming the Mediterranean diet helps keep your blood sugar levels even,0.9401691555976868
219,448,Higher taxes can lead to higher tax rates,Individuals convicted of reckless driving will face higher tax rates,0.92271625995636
220,452,What green tea does in the brain is release Caffeine,What green tea does in the brain is to block an inhibitory neurotransmitter,0.9087839722633362
221,453,Getting worked up with anxiety or envy from what we see on social media prevents us from falling asleep.,Getting worked up with anxiety or envy from what we see on social media prevents us from falling asleep.,0.9672707319259644
222,455,Public transport is one of the main means of transport,operators provide scheduled services for Passenger transport,0.904636561870575
223,456,Arranged marriages can result in less conflict in the home.,Arranged marriages can result in less anxious children,0.9810436367988586
224,457,For many children the foundation of learning happens in preschool,For many children the foundation of learning happens in preschool,0.918218433856964
225,458,Our loyalty to the ancient order keep our integrity as a people.,Nowruz keep our integrity as a people.,0.9402056336402892
226,462,Online chatting allows children to look into the eyes of strangers,Shy children might benefit from online chatting,0.8998323678970337
227,465,Indoor vertical farms are less likely to damage crops.,Indoor vertical farms are less likely to crops destruction.,0.940118968486786
228,467,the company pollutes the river with its chemical waste,the company risks the lives of sea animals by throwing its chemical waste in it,0.942268133163452
229,468,People with extravert love their job,People with extravert love what they are doing for a living,0.8759955763816833
230,469,The technician cut power cords.,The technician annihilated the risk of electrifying in the area.,0.9829996824264526
231,472,Small businesses can sometimes find it difficult to raise enough cash,Small businesses can sometimes find it difficult to develop new products,0.9658507108688354
232,473,Traveling to the airport provides the opportunity to sample local food or culture without leaving the airport,"Apart from major fast food chains, some airport restaurants provide the opportunity to sample local food or culture without leaving the airport",0.9442341923713684
233,475,people with bipolar disorder have difficulty controlling their emotions and No conclusionitability.,people with bipolar disorder  tend  to intense anxiety and No conclusionitability.,0.9346266388893129
234,477,stress reduction contributes to a better health,Deep sleep seems to contribute to a better health,0.9405214190483092
235,478,Some earwigs release a liquid called Scent glands in the back of their abdomen.,Some earwigs release a liquid which has unpleasant smell which is usually described as foul.,0.9598845839500428
236,479,level of phosphate in the body is one of the factors of the amount of blood clot.,level of phosphate in the body is one of the factors of the amount of blood clot.,0.9607245922088624
237,481,Frodo Baggins destroyed the magical Ring.,Frodo Baggins helped the Middle Earth to get rid of satanic powers.,0.9445870518684388
