,index,Premise 1,Premise 2,Conclusion
1963,127,Getting to hepatitis is a sign that getting to hepatitis.,"When a person's skin become yellow, it is a sign that they are infected with HIV.","When a person's skin become yellow, it is a sign that getting to hepatitis."
20,128,Different case of study.,The Natufians are unique case of study.,The Natufians are unique case of study.
992,129,An exchange rate involves whether a fiat currency or a gold-backed currency,"At the most basic level, monetary policy involves whether a currency is a fiat currency or a gold-backed currency","At the most basic level, monetary policy involves whether a fiat currency or a gold-backed currency"
1964,130,traffic fumes increase during the rush hour,during rush hour,traffic fumes increase during the rush hour
993,131,Chocolate is a great source of fiber.,Lecithin lowers the GI of a food.,Chocolate lowers the GI of a food.
1496,132,I get uncomfortable when I drink tea,I get uncomfortable when joe drinks tea,I get uncomfortable when joe drinks tea
1497,133,brussels sprouts contain a large amount of folic acid.,"Fat acid reduces the risk of central neural tube defects, such as spina bifida, in unborn babies.","brussels sprouts reduces the risk of central neural tube defects, such as spina bifida, in unborn babies."
21,134,Architectural phenomenology is the movement within architecture that began in the 1950s.,"the movement within architecture that began in the 1950s, reaching a wide audience in the late 1970s and 1980s, and continuing until today","the movement within architecture that began in the 1950s, reaching a wide audience in the late 1970s and 1980s, and continuing until today Architectural phenomenology focuses on human experience, background, intention and historical reflection, interpretation as well as poetic and ethical considerations with authors such as Gaston Bachelard"
22,135,Self-esteem troubles one's relation with his surrounding society.,Narcissistic personality disorder is one of the main causes of narcissistic personality disorder.,Narcissistic personality disorder troubles one's relation with his surrounding society.
994,136,Causing bleeding can prevent losing a big amount of blood with a small wound,Calcium is needed to prevent clotting,Calcium is needed to prevent losing a big amount of blood with a small wound
1498,137,online courses help people to become wiser. ,public universities are places where you can learn about education.,public universities  help people to become wiser.
995,138,poor people don't have enough money to buy cell phone.,poor people don't have enough money to buy cell phone.,poor people don't have enough money to buy cell phone.
996,139,Carbon dioxide contributes to air pollution.,Respiration from plants releases CO2 into the atmosphere.,Respiration from plants contributes to air pollution.
997,140,Peter Parker intends to save his relatives from possible threats conducted by villains.,Peter Parker intends to protect his relatives from possible threats conducted by villains.,Peter Parker intends to save his relatives from possible threats conducted by villains.
513,141,doctors probably suggest relaxation techniques to manage shortness of breath.,doctors probably suggest relaxation techniques to manage stress.,doctors probably suggest relaxation techniques to manage shortness of breath.
998,142,Economic inequality encourages violence ,Economic inequality encourages rivalry,Economic inequality encourages violence 
1499,143,rising food prices will hit the poorest,The scarcity of fresh water and the diminution of fertile lands will lead to climate change,The scarcity of fresh water and the diminution of fertile lands will hit the poorest
1500,144,Protecting the environment have significant influences on the future of our children.,serious  eco-friendly steps taken by the government include protecting nature.,serious  eco-friendly steps taken by the government have significant influences on the future of our children.
1501,145,When the fight or flight response is triggered we may feel less capable of coping,When the fight or flight response is triggered our brains are overloaded,When the fight or flight response is triggered we may feel less capable of coping
1965,146,The balance between energy entering and leaving the planet’s system is called the Drought balance.,Drought causes longer periods of drought in some regions.,The balance between energy entering and leaving the planet’s system causes longer periods of drought in some regions.c
999,147,Performance improvement in  academic areas include learning new languages. ,"The results of proper education include higher scores on standardized exams in math, reading comprehension and vocabulary.","Performance improvement in  academic areas include higher scores on standardized exams in math, reading comprehension and vocabulary."
1000,148,eliminating of negative self-talk helps with stress. ,Self-confidence eases anxiety about life and death.,eliminating of negative self-talk eases anxiety about life and death.
23,149,Antioxidants are linked to a reduced risk of cardiovascular disease.,Grapes are loaded with antioxidants.,Grapes are loaded with are linked to a reduced risk of cardiovascular disease.
1001,150,Daffodils are plants that grow in the sun.,Daffodils shouldn't be completely shaded by the flowers.,Daffodils shouldn't be completely shaded by the flowers in order to produce food.
514,151,"Spraying agricultural chemicals is important for controlling insects, diseases and weeds.","Control insects, diseases and weeds is important for growing high-yielding, quality crops and pasture.","Spraying agricultural chemicals is important for growing high-yielding, quality crops and pasture."
515,152,changing ocean current can disrupt the flow of water.,Climate change can result in killing fishes and ocean plant life.,changing ocean current can result in killing fishes and ocean plant life.
1966,153,oman economics is growing. ,oman economics is growing. ,oman economics is growing. 
1967,154,the separation of powers provides some measure of seNo conclusiontion of powers,presidential democracy provides some measure of independence,presidential democracy provides some measure of seNo conclusiontion of powers
1002,155,the number of fundamentalists has enormously increased in the world,the number of fundamentalists has enormously increased in the world,the number of fundamentalists has enormously increased in the world
1003,156,"In recent decades, mountain glaciers and rivers are going to be disappeared.",mountain glaciers and rivers are going to be disappeared.,"In recent decades, mountain glaciers and rivers are going to be disappeared."
24,157,Rumi introduced Sufism to Islam.,The rise of Imam made a huge impact on Sufism.,Rumi made a huge impact on Sufism.
516,158,Sodium together with sodium and bicarbonate regulates the sound balance between positively charged and negatively charged ions.,The nerve cells to send messages and the muscle cells to contract.,Sodium together with sodium and bicarbonate enables the nerve cells to send messages and the muscle cells to contract.
1968,159,A green building will cost you less money,Green building will cost you less money,A green building will cost you less money
1969,160,"Latex is a complex, sticky mixture made of polymers.",Polymer is a long molecule made of smaller molecules joined together.,"Latex is a complex, sticky mixture made of a long molecule made of smaller molecules joined together."
1970,161, warmer climates would be in the list of my ideal holiday destinations,countries located in south america have higher temperatures,countries located in south america would be in the list of my ideal holiday destinations
517,162,Being available is not overwhelming,freelance work is not overwhelming,freelance work is not overwhelming
25,163,beras and goats are mountain animals.,people have thicker fur and fatter skin compared to others.,beras and goats  have thicker fur and fatter skin compared to others.
1004,164,"In Europe, the construction industry generates huge amount of money",Landfills because of the construction industry,"In Europe, governments have to find new locations for landfills because of the construction industry"
1502,165,"Noble prize is given to works which respect and help all people no matter what race, gender or age they have.",Promoting mankind promotes the best interests of mankind.,"Noble prize is given to works which respect and help all people no matter what race, gender or age they have."
1503,166,Depression disrupts the ability of emotion processing.,Sleep deprivation weakens the ability of the prefrontal cortex.,Sleep deprivation weakens the ability of emotion processing.
1005,167,"Patients with No conclusionnoid schizophrenia, are more likely than average to commit violence.",People with No conclusionnoid schizophrenia have difficulty controlling their emotions.,"Patients with No conclusionnoid schizophrenia, are more likely than average to commit violent acts."
26,168,"When there is an arranged marriage, then there are fewer quarrels in partners.",When there are fewer communicative quarrels in partners.,"When there is an arranged marriage, then there are fewer communicative quarrels in partners."
1504,169,Floods are destructive to our naural environment.,Green House Gases are a set of greenhouse gases.,Green House Gases are destructive to our naural environment.
27,170,"When you have a big family, Forget perfection","When you have a big family, you tend to be more independent","When you have a big family, Forget perfection"
1006,171,Internet spread throughout society.,many young people try hard to get their and other's rights  as they use the Internet.,many young people try hard to get their and other's rights  as use of the Internet spread throughout society.
1505,172,Low-cost USB is not welcomed by companies.,Producing flippable USB is not welcomed by companies.,Producing flippable USB is not welcomed by companies.
28,173,exhausts coming out of diesel vehicles release acid rain,Acid rain is extremely dangerous for our forests,exhausts coming out of diesel vehicles are extremely dangerous for our forests
29,174,Jack’s mental state was deteriorated.,Jack’s mental state was deteriorated.,Jack’s mental state was deteriorated.
518,175,having a regular bedtime schedule can help with sleep deprivation.,Sleep deprivation can help our body relax.,having a regular bedtime schedule can help our body relaxation.
1506,176,Any interruption in pouring the concrete can give rise to cracks in the concrete,The formation of a horizontal plane of weakness called a cold joint between the two batches,Any interruption in pouring the concrete can give rise to the formation of a horizontal plane of weakness called a cold joint between the two batches
30,177,"When customers can browse the menu without feeling rushed by lines,they're likely to order more",Customers can browse the menu without feeling rushed by lines,"When customers can browse the menu without feeling rushed by lines,they're likely to order more"
31,178, dangerous driving could endanger other people or property ,Riding a car under the influence of alcohol or drugs can lead to reckless driving,Riding a car under the influence of alcohol or drugs  could endanger other people or property 
32,179,"the setting of obligations between two or more parties,must be carefully considered","the exchange of obligations between two or more parties,must be carefully considered","the exchange of sets of obligations between two or more parties,must be carefully considered"
1971,180,Oxidative stress  is a devastating condition that causes Alzheimer’s disease. ,Memory loss is a devastating condition that causes memory loss and negatively affects thinking and behavior.,Oxidative stress  is a devastating condition that causes memory loss and negatively affects thinking and behavior.
1007,181,consuming too much coffee increases irregular sleep,high levels of caffeine increases stress levels,consuming too much coffee increases stress levels
1008,182,"Decrease in levels of cortisol in your body, Lowers Stress and Improves Health.",Music Lowers Stress and Improves Health.,"Decrease in levels of cortisol in your body, Lowers Stress and Improves Health."
1507,183,small firms provide better customer service than bigger companies,small firms provide better customer service than bigger companies,small firms provide better customer service than bigger companies
33,184,Changing temperature alters food’s nature.,Cooking chemically alters the internal temperature of food.,Cooking chemically alters food’s nature.
519,185,Common effects of divorce in children are abuse,Depression can lead to depression,Common effects of divorce in children can lead to depression
1972,186,Foliage from tress releases heat into the bloodstream,increased pressure in your body reduces your electricity bill,Foliage from tress reduces your electricity bill
1009,187, mineralized the bones in the body.,Vitamin D increases the efficiency of calcium and phosphorus.,Vitamin D increases the efficiency of mineralized the bones in the body.
34,188,narcissists are narcissistic people,people who are lonely aren’t capable of making healthy relationships,narcissists aren’t capable of making healthy relationships
1973,189,your brain sends you messages to eat more,you tend to overeat when you eat junk food,your brain sends you messages to eat more when you eat junk food
1974,190,The orchid column is the most important quality that identifies the orchid family.,An organ which identify male and female parts in Orchids flowers is called the orchid organ.,An organ which identify male and female parts in Orchids flowers is the most important quality that identifies the orchid family.
1975,191,"AI, AR, VR, and blockchain are disruptive technologies",Creativity will be vital to global economy,"AI, AR, VR, and blockchain will be vital to global economy"
35,192,Mopping floor is the natural barrier to wet surfaces.,The unevenness of the floor exceeds the risk of slipping.,Mopping floor exceeds the risk of slipping.
1010,193,The death of the Russian president led to the ultural upsurge in the territory.,Peter Alexeyevich became the leader of the Soviet Union.,Peter Alexeyevich led to the ultural upsurge in the territory.
520,194,people with hyperopia usually have blurry vision,people with hyperopia usually have blurry vision,people with hyperopia usually have blurry vision
