,index,Premise 1,Conclusion,Premise 1_f1
20,33,Soldiers excavated the ground.,Soldiers minimized the projectile impact of enemy’s artillery.,0.9191638827323914
21,35,The gene responsible for determining hair color is MC1R.,"If the gene responsible for determining hair color is active, it produces eumelanin and a person will have darker skin and hair.",0.9828656315803528
22,36,During the first few weeks after someone contracts HIV the immune system responds by producing HIV antibodies.,"During the first few weeks after someone contracts HIV the virus reproduces rapidly, the person’s immune system responds by producing HIV antibodies.",0.9265708327293396
23,37," atherosclerosis is a disease characterized by fatty, artery-clogging deposits.","Consuming too much sugar especially from sugar-sweetened drinks has been kinked to a disease characterized by fatty, artery-clogging deposits.",0.9762821197509766
24,40,Your thoughts creates your behavior.,Your thoughts creates your behavior.,0.964375913143158
25,41,I won't buy this lamp if it's too expensive,I won't buy this lamp,0.9117931127548218
26,44,Robins have feathers.,Robins have feathers.,0.8907394409179688
27,47,Growing a wide range of crops help the economic.,Farmers help the economic.,0.9098005890846252
28,53,Most U.S. Teens Struggle with Anxiety,Most U.S. Teens See mental illness as a Major Problem Among Their Peers,0.9126538634300232
29,61,Focusing on work is closely interwoven with avoiding conflict,Focusing on work is closely interwoven with not being concerned with the welfare of the society ,0.8925426602363586
30,62,Smoking reduces the flow of blood vessels.,Smoking decreases blood flow and makes skin paler.,0.934597909450531
31,63,Vitamin C found in lemons may help you look younger,Vitamin C found in lemons may help you look younger,0.9576124548912048
32,65,massage increases the flow of blood,massage decreases the risks of venous disorders,0.970526158809662
33,67,Vinegar inhibits food from spoiling,Vinegar inhibits food from spoiling,0.9429125189781188
34,70,the Italian Renaissance painter was Considered by some the greatest artist of all time,the Italian Renaissance painter Michelangelo is Considered by some the greatest artist of all time,0.9261246919631958
35,71,The person is alive when bitten.,The International Shark Attack File describes shark attacks as the person is alive when bitten.,0.9414132833480836
36,72,Babies can see an adult following their gaze and try to draw the adult’s attention.,Babies can see an adult following their gaze and try to draw the adult’s attention to something that interests them by looking very quickly at the object of interest until both are engaging.,0.9538366794586182
37,78,Your child is more likely to make logical decisions when you develop a sense of trust in him,Your child is more likely to make logical decisions when you develop a sense of trust in him,0.9260171055793762
38,82,Internet access is limited,There is no kind of marketing service in the world that would be suitable for small businesses,0.8697981238365173
39,85,Better class materials allow students to learn better class materials.,students can use iPads to learn better class materials.,0.9216115474700928
40,86,Tourists prefer to book online,Tourists prefer  a quick and easy booking,0.9239824414253236
41,90,my neighbors can hear every single word of my voice,my neighbors can hear every single word of what I say,0.8845199346542358
42,92,Increased brain activity helps the brain to stay active. ,The smart use of Smartphone  helps the brain to stay active.,0.9642401933670044
43,93,People who are intelligent are not being intelligent,If you’re not changing you’re not being intelligent,0.8990041017532349
44,94,Hair growth is about 15% of all hairs at a time.,Telogen period affects about 15% of all hairs at a time.,0.930854082107544
45,98,The establishment of a parliament in Iran was the first step in the process of a popular movement.,Sheikh Fazlollah contributed to the establishment of a parliament in Iran.,0.9124600291252136
46,99,The body feels more alert as well as the times of day the body wants sleep.,It’s important to understand during the day when the body feels more alert as well as the times of day the body wants sleep.,0.9426161646842957
47,105,high temperatures result in lack of snow,high temperatures result in greater flood risks,0.931979775428772
48,106,Babysitters spend most of their time with their children,Babysitters must consider quitting smoking,0.9338866472244264
49,107,less centralized structures in low energy building designs are often avoided,sprawling multi-winged building designs are often avoided in favor of more centralized structures in low energy building designs,0.897136390209198
50,109,Floods can cause massive destruction to villages located on the downstream.,Perforated dams prevent massive destruction to villages located on the downstream.,0.982999324798584
51,110,workers with long working hours tend to have eating disorders,workers with long working hours tend to have eating disorders,0.938511312007904
52,111,There will be a decrease in the number of bookings if there’s a shortage of water,There will be a decrease in the number of bookings if there’s a shortage of hot water inside the rooms,0.939541757106781
53,113,Flexural loads can cause cracks in the beam.,Flexural loads decrease the beam stiffness.,0.967985212802887
54,114,people who smoke can't enjoy the taste of foods anymore.,people who smoke can't enjoy the taste of foods anymore.,0.9016770124435424
55,117,"my friend and I are going to see a musical play called ""Rent""","my friend and I are going to see a musical play named ""Rent""",0.9168099164962769
56,118,Interacting with other skyrockets your productivity,Interacting with other skyrockets your productivity,0.9076449275016784
57,120,populist waves often rise when security levels are low,populist waves often rise when security levels are low,0.9396081566810608
58,125,Vegetables and fruits are rich in Digesting.,Vegetables and fruits play a massive role in well-functioning of our Digesting system.,0.9367898106575012
59,128,Global warming has fundamentally caused the global warming that all over the world are faced to.,Fossil fuels and anthropogenic activity actually has fundamentally caused the global warming that all over the world are faced to.,0.9568892121315002
60,129,The water behind the dams generate electricity.,The water behind the dams generate electricity.,0.9570258259773254
61,131,Chimpanzees are classified in a same category.,Humans and chimpanzees are classified in a same category.,0.8900302052497864
62,136,Direct enhance in brain function may protect against Alzheimer's disease.,Direct enhance in brain function may protect against alzheimer's disease.,0.8861225247383118
63,137,Mount Tomuraushi is the third largest island in japan.,Mount Tomuraushi is in japan.,0.9026293754577636
64,140,Developing critical thinking can effectively enhance learning for students.,Critical thinking can effectively enhance learning for students.,0.906970739364624
65,145,Pesticides are resistant to corrosion,Pesticides warrant the development of a new pesticide,0.9106508493423462
66,146,An apartment can contribute to a very convenient living arrangement,"Unlike houses, apartment complexes can contribute to a very convenient living arrangement",0.955895721912384
67,149,Many marriages break up due to poverty,Many marriages break up due to poverty,0.9071356654167176
68,151,Smokey symbol is bear.,He wanted to choose bear as Smokey symbol.,0.8920299410820007
69,152,Pneumonia  develops coughing with inflammation of lungs,"Pneumonia  develops cough with phlegm or pus, fever, chills, and difficulty breathing",0.8890942931175232
70,155,"The hippocampus is the largest part of the brain that accumulates these memories, placing each one in its proper place.","The largest part of the brain that accumulates these memories, placing each one in its proper place, allows you to recall everything from typing on your keyboard to your first-grade music recital.",0.9999999403953552
71,157, boiling can lead to boiling,heating the water can lead to boiling,0.907353401184082
72,2927, boiling can lead to boiling,heating the water can lead to boiling,0.907353401184082
73,159,"yellow, red and green (leafy) vegetables contain a large amount of vitamin A.","yellow, red and green (leafy) vegetables will cause bad effects on your body.",0.9721724390983582
74,163,Honest reporting generates trust amongst the newspaper readers.,Newspaper writers are supposed to generate trust amongst the newspaper readers.,0.9727352857589722
75,164,Small classes tend to be reserved for people who are interested in learning.,Jhon prefer to paticipate in small classes.,0.8953683376312256
76,166,Industrialization has led to its widespread use in the making of jewellery and art.,The pure form of gold have led to its widespread use in the making of jewellery and art.,0.921435296535492
77,168,Chemicals are linked to brain developmental problems,Some fish are linked to brain developmental problems,0.9445294737815856
78,170,you are better-equipped to tackle any challenge you’ll ever face if you read,you are better-equipped  to tackle any challenge you’ll ever face if you read,0.8700892329216003
79,171,Expansion of tourism will be a source of competitive advantage,Tourism will be a source of competitive advantage,0.9134514927864076
80,172,there is a high chance of Reza getting mugged,there is a high chance of Reza getting mugged tonight,0.9168418645858764
81,175,It is the duty of the government to provide the necessary facilities for the attainment of establishment of a family. ,It is the duty of the government to provide the necessary facilities for the attainment of establishment of a family. ,0.8765603303909302
82,176,loss of profit pose serious dangers to the company,the implications of the proposed changes pose serious dangers to the company,0.9455386400222778
83,177,Smoking increases the risk of peripheral artery disease.,Smoking increases the risk of peripheral artery disease.,0.8870055675506592
84,179,chicken is a great source of acid.,chicken can help releasing energy from food.,0.9363405704498292
85,180, rigid education system could not prepare its young generation to be successful,Tanzania education system could not prepare its young generation to be successful,0.9374001026153564
86,181,Yellow crazy ants's nest is so much painful and difficult.,Breathing around Yellow crazy ants's nest is so much painful and difficult.,0.8912294507026672
87,183,People living in poverty are likely to get sick more often,People living in poverty are likely to get sick more often,0.9067516326904296
88,184,Customers are generally available to help customers to choose better.,"In a conventional retail store, clerks are generally available to help customers to choose better.",0.906829297542572
89,185,An obligation for children to work has resulted an obligation for them to work,prevalence of AIDS throughout many developing countries has resulted an obligation for children to work,0.8826406002044678
90,187,technology has brought many great developments in culture.,technology has brought many great developments in culture.,0.9844745397567748
91,189,Soft tempered copper is a great source of zinc,Soft tempered copper offers far little resistance,0.9307315945625304
92,190,IBM employees should spend four years to complete a professional degree., IBM employees should spend four years to complete a professional degree.,0.926970601081848
93,192,Dark chocolate is rich in antioxidants.,Dark chocolate helps protecting your cells against free radicals.,0.9671660661697388
94,196,An advanced tolerance to alcohol means that an individual is able to consume more alcohol,Alcoholism means that an individual is able to consume more alcohol,0.925948977470398
95,198,Overpopulation can gradually destroy the environmental resources.,Tourism can gradually destroy the environmental resources.,0.9481579065322876
96,200,The wind energy power generates heat and pressure.,The wind energy power is from sun's energy which warms the surface by sunshine.,0.9263635873794556
97,203,Cook County is the seat of local government in cook county,Chicago is the seat of local government in cook county,0.9064022302627563
98,208,penguin colonies are in a critical situation in Antarctica.,penguin colonies lives are in a critical situation in Antarctica.,0.9303832650184632
99,209,The close proximity of apartment life is associated with the development of friendships,The close proximity of apartment life is associated with creating life long connections,0.9384742975234984
100,210,It is easier to perfect your product if you research the market,It is easier to perfect your product if you research the market,0.9629204273223876
101,211,Floods can bring about a lot of damage,Hurricanes can bring about a lot of floods,0.9442110061645508
102,213,Most women have an abortion,Most women suffer from long-term depression after an abortion,0.930073857307434
103,214,Depression contributes to intense No conclusionnoia,Borderline Personality Disorder often  contributes to intense No conclusionnoia,0.8824536800384521
104,218,"If you want to attrack Rose-Breasted Grosbeak to your yard, you should consider posting several feeders.","If you want to attrack Rose-Breasted Grosbeak to your yard, you should consider posting several feeders in order to alleviate congestion and encourage it to come in for seed.",0.904953956604004
105,226,Whole eggs contain a large amount of vitamin B3. ,Whole eggs arerich in nutrients relative to their calorie content. ,0.9185753464698792
106,229,The Quit India movement brought an end to the British colonial rule in India.,Mahatma Gandhi brought an end to the British colonial rule in India.,0.959251880645752
107,231,Increased blood pressure is associated with lower blood pressure,Research shows that sunlight is associated with lower blood pressure,0.9237895011901855
108,232,Burning calories helps prevent excess weight gain or help maintain weight loss.,Burning calories helps prevent excess weight gain or help maintain weight loss.,0.9697357416152954
109,233,Sea caves are uneven from those of the surrounding rock beds,Sea caves are made because certain rock beds areas of weakness are different from those of the surrounding rock beds,0.8403237462043762
110,236,Learning a new language improves the quality of life.,Learning a new language improves the quality of life.,0.9398389458656312
111,237,Avoid the sun from morning until night.,Avoid the sun between 10 a.m. and 4 p.m.,0.9049026370048524
112,239,Expanding the space ease the accessibility,Hard drives ease the accessibility,0.8986330628395081
113,241,Finding micro cracks on materials provides reliable assessment in regard with locating micro cracks.,Image processing provides reliable assessment in regard with locating micro cracks on materials.,0.9578623175621032
114,245,"You tend to be most productive, when working in a job that fits your personality","You tend to be most productive, when working in a job that fits your personality",0.9388244152069092
115,247,More growth in the future is associated with night time experiences.,Rainforest lumina is an attraction with more growth in the future.,0.908505380153656
116,248,mantle plumes are hypothesized to bring about large-volume melting,mantle plumes are hypothesized to bring about large-volume melting,0.8824226260185242
117,252,People who go on a diet can meet their vitamin D needs from fortified foods.,People who go on a diet can meet their vitamin D needs from fortified foods.,0.9041208624839784
118,254,Type 1 diabetes is a type of diabetes,It is possible that I have type 1 diabetes,0.8720424175262451
119,256,Ebooks are the first source of environmental criticism.,Ebooks minimize damage to the ecosystems.,0.9085032939910888
120,260,The corrosive agent killed the commissioner instantly.,Joker killed the commissioner instantly.,0.9066648483276368
121,261,Social media is a natural place to reach new and highly targeted customers.,Social media is a natural place that helps to increase brand awareness.,0.9937934279441832
122,262,"Factories manufacturing chemicals may have most of their equipment – tanks, pressure vessels, chemical reactors, pumps and piping","Factories manufacturing chemicals may have most of their equipment – tanks, pressure vessels, chemical reactors, pumps and piping – outdoors and operated from control rooms",0.893602728843689
123,263,All of us have to be seen by ourselves and others as capable and competent and and we will do our best to meet that need.,Procrastination is rooted in that all of us have to be seen by ourselves and others as capable and competent and and we will actually sacrifice or trade off other needs to meet that need.,0.9322091341018676
124,264,Wind changes the dynamics of the flower.,Wind plays the role in reproduction of flowers.,0.8968411684036255
125,269,Insulin causes blood sugar levels to rise and strongly increases your risk of diabetes.,Prolong high-sugar consumption causes blood sugar levels to rise and strongly increases your risk of diabetes.,0.9885801076889038
126,270,Overexposure to sunlight is one of the main pollutans.,"The reaction of sunlight with pollutants from vehicle emissions, is one of the main pollutans.",0.923955261707306
127,273,"with the rise of connectivity, there are more jobs available for writers and designers","with the rise of connectivity, there are more jobs available for writers and designers",0.8803874254226685
128,275,Getting to hepatitis is a sign that getting to hepatitis.,"When a person's skin become yellow, it is a sign that getting to hepatitis.",0.8879501819610596
129,280,Different case of study.,The Natufians are unique case of study.,0.8893110752105713
130,281,An exchange rate involves whether a fiat currency or a gold-backed currency,"At the most basic level, monetary policy involves whether a fiat currency or a gold-backed currency",0.9101266860961914
131,282,traffic fumes increase during the rush hour,traffic fumes increase during the rush hour,0.9473597407341005
132,287,Chocolate is a great source of fiber.,Chocolate lowers the GI of a food.,0.8795949816703796
133,292,I get uncomfortable when I drink tea,I get uncomfortable when joe drinks tea,0.9346346855163574
134,293,brussels sprouts contain a large amount of folic acid.,"brussels sprouts reduces the risk of central neural tube defects, such as spina bifida, in unborn babies.",0.9778546690940856
135,294,Architectural phenomenology is the movement within architecture that began in the 1950s.,"the movement within architecture that began in the 1950s, reaching a wide audience in the late 1970s and 1980s, and continuing until today Architectural phenomenology focuses on human experience, background, intention and historical reflection, interpretation as well as poetic and ethical considerations with authors such as Gaston Bachelard",0.8751531839370728
136,295,Self-esteem troubles one's relation with his surrounding society.,Narcissistic personality disorder troubles one's relation with his surrounding society.,0.908794105052948
137,296,Causing bleeding can prevent losing a big amount of blood with a small wound,Calcium is needed to prevent losing a big amount of blood with a small wound,0.9283186197280884
138,298,online courses help people to become wiser. ,public universities  help people to become wiser.,0.9504820704460144
139,299,poor people don't have enough money to buy cell phone.,poor people don't have enough money to buy cell phone.,0.9483844637870787
140,300,Carbon dioxide contributes to air pollution.,Respiration from plants contributes to air pollution.,0.9999997615814208
141,301,Peter Parker intends to save his relatives from possible threats conducted by villains.,Peter Parker intends to save his relatives from possible threats conducted by villains.,0.9114688634872437
142,303,doctors probably suggest relaxation techniques to manage shortness of breath.,doctors probably suggest relaxation techniques to manage shortness of breath.,0.9118219017982484
143,304,Economic inequality encourages violence ,Economic inequality encourages violence ,0.9489800333976746
144,305,rising food prices will hit the poorest,The scarcity of fresh water and the diminution of fertile lands will hit the poorest,0.8936105370521545
145,307,Protecting the environment have significant influences on the future of our children.,serious  eco-friendly steps taken by the government have significant influences on the future of our children.,0.9743165969848632
146,309,When the fight or flight response is triggered we may feel less capable of coping,When the fight or flight response is triggered we may feel less capable of coping,0.9217709898948668
147,310,The balance between energy entering and leaving the planet’s system is called the Drought balance.,The balance between energy entering and leaving the planet’s system causes longer periods of drought in some regions.c,0.9507644176483154
148,311,Performance improvement in  academic areas include learning new languages. ,"Performance improvement in  academic areas include higher scores on standardized exams in math, reading comprehension and vocabulary.",0.9094436764717102
149,313,eliminating of negative self-talk helps with stress. ,eliminating of negative self-talk eases anxiety about life and death.,0.9335296154022216
150,314,Antioxidants are linked to a reduced risk of cardiovascular disease.,Grapes are loaded with are linked to a reduced risk of cardiovascular disease.,1.0
151,316,Daffodils are plants that grow in the sun.,Daffodils shouldn't be completely shaded by the flowers in order to produce food.,0.9203587174415588
152,318,"Spraying agricultural chemicals is important for controlling insects, diseases and weeds.","Spraying agricultural chemicals is important for growing high-yielding, quality crops and pasture.",0.9765374660491944
153,320,changing ocean current can disrupt the flow of water.,changing ocean current can result in killing fishes and ocean plant life.,0.9591320753097534
154,322,oman economics is growing. ,oman economics is growing. ,0.8730947971343994
155,323,the separation of powers provides some measure of seNo conclusiontion of powers,presidential democracy provides some measure of seNo conclusiontion of powers,0.8561719655990601
156,324,the number of fundamentalists has enormously increased in the world,the number of fundamentalists has enormously increased in the world,0.8983492851257324
157,327,"In recent decades, mountain glaciers and rivers are going to be disappeared.","In recent decades, mountain glaciers and rivers are going to be disappeared.",0.9028201699256896
158,328,Rumi introduced Sufism to Islam.,Rumi made a huge impact on Sufism.,0.869839608669281
159,332,Sodium together with sodium and bicarbonate regulates the sound balance between positively charged and negatively charged ions.,Sodium together with sodium and bicarbonate enables the nerve cells to send messages and the muscle cells to contract.,0.9685506820678712
160,333,A green building will cost you less money,A green building will cost you less money,0.9346331357955932
161,336,"Latex is a complex, sticky mixture made of polymers.","Latex is a complex, sticky mixture made of a long molecule made of smaller molecules joined together.",0.9999998807907104
162,337, warmer climates would be in the list of my ideal holiday destinations,countries located in south america would be in the list of my ideal holiday destinations,0.8875493407249451
163,338,Being available is not overwhelming,freelance work is not overwhelming,0.8673608303070068
164,342,beras and goats are mountain animals.,beras and goats  have thicker fur and fatter skin compared to others.,0.9014838337898254
165,343,"In Europe, the construction industry generates huge amount of money","In Europe, governments have to find new locations for landfills because of the construction industry",0.9312057495117188
166,345,"Noble prize is given to works which respect and help all people no matter what race, gender or age they have.","Noble prize is given to works which respect and help all people no matter what race, gender or age they have.",0.8969781398773193
167,346,Depression disrupts the ability of emotion processing.,Sleep deprivation weakens the ability of emotion processing.,0.9161002039909364
168,349,"Patients with No conclusionnoid schizophrenia, are more likely than average to commit violence.","Patients with No conclusionnoid schizophrenia, are more likely than average to commit violent acts.",0.8687187433242798
169,351,"When there is an arranged marriage, then there are fewer quarrels in partners.","When there is an arranged marriage, then there are fewer communicative quarrels in partners.",0.965250551700592
170,357,Floods are destructive to our naural environment.,Green House Gases are destructive to our naural environment.,0.9173641204833984
171,358,"When you have a big family, Forget perfection","When you have a big family, Forget perfection",0.8858290314674377
172,360,Internet spread throughout society.,many young people try hard to get their and other's rights  as use of the Internet spread throughout society.,0.9271942973136902
173,366,Low-cost USB is not welcomed by companies.,Producing flippable USB is not welcomed by companies.,0.9379202723503112
174,367,exhausts coming out of diesel vehicles release acid rain,exhausts coming out of diesel vehicles are extremely dangerous for our forests,0.9904959797859192
175,368,Jack’s mental state was deteriorated.,Jack’s mental state was deteriorated.,0.8862847089767456
176,370,having a regular bedtime schedule can help with sleep deprivation.,having a regular bedtime schedule can help our body relaxation.,0.9602310061454772
177,372,Any interruption in pouring the concrete can give rise to cracks in the concrete,Any interruption in pouring the concrete can give rise to the formation of a horizontal plane of weakness called a cold joint between the two batches,0.9186329245567322
178,373,"When customers can browse the menu without feeling rushed by lines,they're likely to order more","When customers can browse the menu without feeling rushed by lines,they're likely to order more",0.92490816116333
179,374, dangerous driving could endanger other people or property ,Riding a car under the influence of alcohol or drugs  could endanger other people or property ,0.9198215007781982
180,376,"the setting of obligations between two or more parties,must be carefully considered","the exchange of sets of obligations between two or more parties,must be carefully considered",0.903407096862793
181,377,Oxidative stress  is a devastating condition that causes Alzheimer’s disease. ,Oxidative stress  is a devastating condition that causes memory loss and negatively affects thinking and behavior.,0.9250521063804626
182,379,consuming too much coffee increases irregular sleep,consuming too much coffee increases stress levels,0.9561378359794616
183,380,"Decrease in levels of cortisol in your body, Lowers Stress and Improves Health.","Decrease in levels of cortisol in your body, Lowers Stress and Improves Health.",0.927931547164917
184,381,small firms provide better customer service than bigger companies,small firms provide better customer service than bigger companies,0.921156644821167
185,382,Changing temperature alters food’s nature.,Cooking chemically alters food’s nature.,0.9204453229904176
186,383,Common effects of divorce in children are abuse,Common effects of divorce in children can lead to depression,0.9337968230247498
187,384,Foliage from tress releases heat into the bloodstream,Foliage from tress reduces your electricity bill,0.9060717225074768
188,386, mineralized the bones in the body.,Vitamin D increases the efficiency of mineralized the bones in the body.,0.9054352045059204
189,393,narcissists are narcissistic people,narcissists aren’t capable of making healthy relationships,0.8976118564605713
190,394,your brain sends you messages to eat more,your brain sends you messages to eat more when you eat junk food,0.9432709217071532
191,395,The orchid column is the most important quality that identifies the orchid family.,An organ which identify male and female parts in Orchids flowers is the most important quality that identifies the orchid family.,0.9828417897224426
192,397,"AI, AR, VR, and blockchain are disruptive technologies","AI, AR, VR, and blockchain will be vital to global economy",0.9318442344665528
193,398,Mopping floor is the natural barrier to wet surfaces.,Mopping floor exceeds the risk of slipping.,0.9480876922607422
194,399,The death of the Russian president led to the ultural upsurge in the territory.,Peter Alexeyevich led to the ultural upsurge in the territory.,0.9221497774124146
195,400,people with hyperopia usually have blurry vision,people with hyperopia usually have blurry vision,0.943272352218628
196,402," irregular flow of fluid in the circulatory system, body tissues, or cavities in the body can lead to irregular flow.","Excess sodium intake also has links to an excessive buildup of fluid in the circulatory system, body tissues, or cavities in the body.",0.9452253580093384
197,405,Providing jobs where they're needed most  boosts our economy.,Providing jobs where they're needed most  boosts our economy and enriches our businesses.,0.9152032732963562
198,406,Humans use a No conclusionitating chemical present in the sprayed venom of some ant species and in the secretion released from some stinging nettles as a food preservative.,"Humans use an No conclusionitating chemical present in the sprayed venom of some ant species and in the secretion released from some stinging nettles as a food preservative, since it's an antibacterial substance.",0.8660001158714294
199,407,Light is required to maintain the quality of fruit.,Pruning fruit trees is required to maintain the quality of fruit.,0.9400890469551086
200,408,Roman Pottery were made of porous pure clay.,Roman Pottery were made of porous pure clay.,0.9050064086914062
201,410,china and thailand have close partnerships,china and thailand have close partnerships,0.881094753742218
202,412,Tourism has saved many historical sites from destruction,Tourism is the factor that has saved many historical sites from destruction,0.9001132845878601
203,413,Vitamin D can weaken the bones and damage the kidneys and the heart.,large amounts of fortified foods can weaken the bones and damage the kidneys and the heart.,0.96005517244339
204,414, tidal energy is a renewable resource for tidal energy,engineers use gravitational pull as a renewable resource for tidal energy,0.9315446615219116
205,415,Pomegranate juice is an excellent defender against oxidative damage.,Pomegranate juice is an excellent defender against oxidative damage.,0.8685009479522705
206,420,Creative economy should be one of the focuses in EU's global strategy,Creative economy should be one of the focuses in EU's global strategy,0.8931596279144287
207,421,People who are sociable are usually neat freaks.,People low in openness are usually neat freaks.,0.9228890538215636
208,425,Spending time together is reserved for people who know each other very well.,Touching another person is reserved for people who know each other very well.,0.9709490537643432
209,428,Financial planning can help you plan your expenses,Financial planning can provide peace of mind for you and your loved ones,0.9155097007751464
210,430,Feeling alone could suffer from great stress,Women who have had abortions could suffer from great stress,0.9345902800559998
211,433,Democracy weakened the family and clan structures in Athens.,Cleisthenes’ principal weakened the family and clan structures in Athens.,0.9751101732254028
212,437,"In the U.S.A, the top status occupations are lawyers, professors and clegry.","In the U.S.A, the top status occupations are lawyers, professors and clegry.",0.924736738204956
213,439,higher processing enables us to lower the sales price,this grade of wool enables us to lower the sales price,0.9889045357704164
214,441,Floods are perfect for cultivating.,River banks’ territories are perfect for cultivating.,0.8923768997192383
215,442,Researches show that you feel prepared and be more in control over outcomes,defensive pessimists use their negative expectations to you feel prepared and be more in control over outcomes,0.9215872287750244
216,444, fibreboard is used instead of sawdust to make furniture and floors in homes.,Mud and cow dung been suggested that the manure residue from biogas production could be used instead of sawdust to make furniture and floors in homes.,0.9583843946456908
217,445,Rosemary contains an ingredient called Carnosic acid.,Rosemary contains an ingredient that possesses antioxidative and antimicrobial properties. ,0.9911632537841796
218,446,Consuming the Mediterranean diet helps keep your blood sugar levels even,Consuming the Mediterranean diet helps keep your blood sugar levels even,0.9378477931022644
219,448,Higher taxes will face higher tax rates,Individuals convicted of reckless driving will face higher tax rates,0.9071996808052064
220,452,What green tea does in the brain is to block an inhibitory neurotransmitter,What green tea does in the brain is to block an inhibitory neurotransmitter,0.8933061361312866
221,453,Getting worked up with anxiety or envy from what we see on social media prevents us from falling asleep.,Getting worked up with anxiety or envy from what we see on social media prevents us from falling asleep.,0.9672707319259644
222,455,operators provide scheduled services for Passenger transport,operators provide scheduled services for Passenger transport,0.8885695338249207
223,456,Arranged marriages can result in less friction at home,Arranged marriages can result in less anxious children,0.9633564949035645
224,457,For many children the first step in learning happens in preschool,For many children the foundation of learning happens in preschool,0.9208491444587708
225,458,We keep our integrity as a people.,Nowruz keep our integrity as a people.,0.9616946578025818
226,462,Internet chatting allows for instant communication,Shy children might benefit from online chatting,0.888343870639801
227,465,Indoor vertical farms are less likely to suffer climate change.,Indoor vertical farms are less likely to crops destruction.,0.9359013438224792
228,467,the company releases toxic chemicals into the sea,the company risks the lives of sea animals by throwing its chemical waste in it,0.9093959331512452
229,468,People with extravert love what they are doing for a living,People with extravert love what they are doing for a living,0.8747063875198364
230,469,The technician disconnected the power source.,The technician annihilated the risk of electrifying in the area.,0.9642347097396852
231,472,Small businesses can sometimes find it difficult to raise capital,Small businesses can sometimes find it difficult to develop new products,0.9667060971260072
232,473,Special airport restaurants provide the opportunity to sample local food or culture without leaving the airport,"Apart from major fast food chains, some airport restaurants provide the opportunity to sample local food or culture without leaving the airport",0.9534177780151368
233,475,people with bipolar disorder have difficulty controlling emotions. ,people with bipolar disorder  tend  to intense anxiety and No conclusionitability.,0.9847228527069092
234,477,Improved health can contribute to a better health,Deep sleep seems to contribute to a better health,0.9370964765548706
235,478,Some earwigs release a liquid which has unpleasant smell.,Some earwigs release a liquid which has unpleasant smell which is usually described as foul.,0.9290189146995544
236,479,level of phosphate in the body is one of the factors of the amount of blood clot.,level of phosphate in the body is one of the factors of the amount of blood clot.,0.9607245326042176
237,481,Frodo Baggins destroyed the sinister Ring.,Frodo Baggins helped the Middle Earth to get rid of satanic powers.,0.9422944784164428
