Premise 1,Premise 2,Syllogistic relation,Conclusion,index
Soldiers in the war dug the trenches all around the battlefield.,Excavating ground to a certain depth minimizes the projectile impact of enemy’s artillery.,yes,Soldiers minimized the projectile impact of enemy’s artillery.,33
A low-calorie and high-protein diet are advised for dropping weight.,For loosing weight you should use a diet which is extremely low in calories and high in protein.,no,No conclusion,34
MC1R is the gene responsible for determining hair color.,"If the MC1R gene is active, it produces eumelanin and a person will have darker skin and hair.",yes,"If the gene responsible for determining hair color is active, it produces eumelanin and a person will have darker skin and hair.",35
The first few weeks after someone contracts HIV is called the acute infection stage.,"During acute infection stage the virus reproduces rapidly, the person’s immune system responds by producing HIV antibodies.",yes,"During the first few weeks after someone contracts HIV the virus reproduces rapidly, the person’s immune system responds by producing HIV antibodies.",36
"Atherosclerosis is a disease characterized by fatty, artery-clogging deposits.",Consuming too much sugar especially from sugar-sweetened drinks has been kinked to atherosclerosis.,yes,"Consuming too much sugar especially from sugar-sweetened drinks has been kinked to a disease characterized by fatty, artery-clogging deposits.",37
The body ought to get burried beneath a thick layer of soil in a deep grave.,Miners ought to work in deep beneath the surface.,no,No conclusion,38
The Manchester University is hiring bilingual teachers with advanced readind writing skills.,bilingual reading could improve your writing vocabulary,no,No conclusion,39
Your speech creates your behavior., Your thoughts make up your speech.,yes,Your thoughts creates your behavior.,40
this lamp is very expensive ,I will not buy thing that are too expensive,yes,I won't buy this lamp,41
First revolution season of youngest memberships for the Iranian are currently on sale.,"Azari Jahromi is currently the youngest member of the cabinet of Iran, as well as the first Iranian minister born after the Iranian Revolution.",no,No conclusion,42
The power plant burns used vehicle tires as fuel.,Graphite is difficult to burn and is not so commonly used as fuel,no,No conclusion,43
Robins should be on the same group with chickens just with a more beautiful appearance.,"All birds, including flying and flightless, have feathers.",yes,Robins have feathers.,44
It is possible to keep customers satisfied by following through with promises,"Even if the ALT level or the HBV DNA level shows mild elevations, it is possible to keep following up without retreatment.",no,No conclusion,45
The literacy rate has fallen due to the free writing and reading classes proveded by non- profits.,not being able to read or write defines illiteracy,no,No conclusion,46
Farmers grow a huge amount of crops in Iran each year.,Growing a wide range of crops helps the economic by making it needless of importing.,yes,Farmers help the economic.,47
if your financial accounts are held on a bank's server then all of your personal information is at risk,The issue of bail will only be of interest to you if you are held on remand awaiting your trial.,no,No conclusion,48
Good quality seed is essential for the production of a crop suitable for export.,Biotin is essential for the production of a hair protein called keratin,no,No conclusion,49
She struggled with posting pictures about her wedding.,firms and companies post pictures of their products on Instagram,no,No conclusion,50
It could be hard to recover if one witnesses a life-altering incident.,Viewing a process as a life-changing event could make recovering difficult,no,No conclusion,51
scientists found much researchs about smoking and cigarette during the time.,Scientists have found arsenic in cigarette smoke.,no,No conclusion,52
Anxiety is the most common mental illness in teenagers.,Most U.S. Teens See Anxiety and Depression as a Major Problem Among Their Peers,yes,Most U.S. Teens See mental illness as a Major Problem Among Their Peers,53
The author who initiated the advent of this type of stories is virtually unknown ?n the world outside of Poland.,The raid on Poland initiated the Second World War.,no,No conclusion,54
J. J. Thomson was a physicist who discovered the electron.,"Our physic professor,Thomson, teach us about how electrons move.",no,No conclusion,55
Our lives are happier with what entertainment programmers do.,Entertainment programmes bring joy to our lives ,no,No conclusion,56
"Furthermore, players can choose to macro or micromanage at their heart's desire, managing all cities and units directly or choosing to allow them to act on their own",Problem solvers act very good in managing complex deals,no,No conclusion,57
Monounsaturated fats are quite resistant to high heat.,Those specific plants are quite resistant to high humidity.,no,No conclusion,58
Learning games combine education and enjoyment for kids with tests and different websites.,"Interactive multimedia for education includes a variety of technologies, including simulations, games, hypertext, cognitive tools, tests, drills, and web learning",no,No conclusion,59
Scientists are researching to measure the effects of wide limitations on the people's life.,there are strong limitations measuring the potential effects of democracy because democracy is a wide concept that involves the functioning of various institutions which are not easy to measure,no,No conclusion,60
Focusing on work is a great excuse for not taking care of yourself,taking care of oneself is closely interwoven with being concerned with the welfare of the society ,yes,Focusing on work is closely interwoven with not being concerned with the welfare of the society ,61
Smoking narrows the tiny blood vessels in the outermost layers of skin.,"Whatever narrows the tiny blood vessels in the outermost layers of skin, It decreases blood flow and makes skin paler.",yes,Smoking decreases blood flow and makes skin paler.,62
Vitamin C found in lemons may help reduce skin wrinkling,"People who have less creases on their skin, look younger",yes,Vitamin C found in lemons may help you look younger,63
Buried animals in the sea floor form oil after million years.,Oil is formed from burned animals in the sea floor after millions of years.,no,No conclusion,64
massage increases blood flow in the body,increased blow flow decreases the risks of venous disorders,yes,massage decreases the risks of venous disorders,65
"If you continue to eat too much salt then, over time, the arteries burst or become completely clogged.",Arteries may end up being ruptured or blocked if one eats too much salt.,no,No conclusion,66
Vinegar inhibits bacteria from growing in food,Food spoils when it's there's bacteria in it,yes,Vinegar inhibits food from spoiling,67
Most bats communicate and find their way by making echolocation noises.,Echolocation plays an important role in food hunting and their communication for dolphins and toothed whales and most of the bats.,no,No conclusion,68
Rose feed her dog and went to bed.,This thesis presents a search for basic matter production in association with decaying feed.,no,No conclusion,69
"the painter of ""the last judgment"" is considered by some the greatest artist of all time",The Last Judgment is a fresco by the Italian Renaissance painter Michelangelo,yes,the Italian Renaissance painter Michelangelo is Considered by some the greatest artist of all time,70
An unprovoked attack means the person is alive when bitten.,The International Shark Attack File describes shark attacks as unprovoked.,yes,The International Shark Attack File describes shark attacks as the person is alive when bitten.,71
Babies can see an adult following their gaze and try to draw the adult’s attention to something that interests them by joint attention.,The phenomena which in babies dart their eyes back and forth to the object of interest until both are engaging has been known as joint attention.,yes,Babies can see an adult following their gaze and try to draw the adult’s attention to something that interests them by looking very quickly at the object of interest until both are engaging.,72
The road slopes gently downwards for a mile or two and eventually gets to a wave cut notche.,Wave-cut notches happen due to the undercutting of overhanging slopes,no,No conclusion,73
One of the first steps toward utilizing emotional intelligence skills is to be aware of yourself.,Puckett said getting the policy and procedures manual approved is one of the first steps toward utilizing drones across several county departments.,no,No conclusion,74
"Oxidative stress has been linked to chronic diseases like heart disease, Alzheimer’s disease and cancer, as well as premature aging and the risk of stroke.",Optimism and teamwork has been linked to well-being in terms of higher vitality and self-esteem.,no,No conclusion,75
The improved link cost adaptively attenuates the contrasts in the background while preserving the contrasts across unknown boundaries.,Scientists think it unlikely that each species will actually become extinct as a consequence of the oil spill.,no,No conclusion,76
"Although, moderate exposure to sun can help to increase Vitamin D levels, you need to prevent prolonged exposure to UV light.","He had this habbit of drinking afternoon tea, reading books and getting drowned in between the words.",no,No conclusion,77
"An individual who is spiritually balanced, is more likely to make logical decisions",Developing a sense of trust in your child promotes emotional stability,yes,Your child is more likely to make logical decisions when you develop a sense of trust in him,78
One of the benefits of having high IQ is constant development at work.,Continuous improvement at work is one of the many benefits of having high IQ.,no,No conclusion,79
Friendships contribute significantly to the development of social skills.,Sustainable buildings contribute significantly to the protection of environment,no,No conclusion,80
The self-destrudction of the infected cells prevents the disease from spreading to other parts of the body.,Committing self-destruction by teenagers spreads depression in society.,no,No conclusion,81
Small businesses do not have large budgets and financing,There is no kind of Marketing service in the world that would be suitable to small budgets,yes,There is no kind of marketing service in the world that would be suitable for small businesses,82
"To be able to fly a long way due south, the migratory Black-headed Grosbeak should reserve enough energy.","There are lots of birds, both resident and migratory, and other wildlife that reserve food and energy for themselves.",no,No conclusion,83
Spider-Man found the object utilized for virtual realistic effects.,"The definition of virtual reality comes, naturally, from the definitions for both 'virtual' and 'reality'.",no,No conclusion,84
participating in visual lessons provides better learning of class materials.,students can use iPads to share visual lessons.,yes,students can use iPads to learn better class materials.,85
tourists increasingly booked and completed electronic transactions online,Booking online is easy and quick,yes,Tourists prefer  a quick and easy booking,86
He used to keep flowers next to his bed.,Cacti are flowers with red petals and green leaves.,no,No conclusion,87
leaving a bad impression of yourself on the interviewer makes it difficult for you to take new jobs,Getting a new job becomes harder if you the interviewer get the wrong idea of you.,no,No conclusion,88
Past memories can be affected by weakened memories.,Weakened memories might change the way you remember past memories,no,No conclusion,89
my house has thin walls,your neighbors can hear every single word you say when your house has thin walls,yes,my neighbors can hear every single word of what I say,90
Not all doctors truly undrestand the root causes of disruptions in the female reproductive cycle.,"Phthalates have developmental and reproductive effects on asthma, causing endocrine disruption.",no,No conclusion,91
 An improvement in the functions of the brain helps the brain to stay active. , The smart use of Smartphones increases your brain’s operations,yes,The smart use of Smartphone  helps the brain to stay active.,92
"If you’re not growing, you’re not being intelligent","If you’re not changing, you’re not growing.",yes,If you’re not changing you’re not being intelligent,93
"The period that hair growth comes to a complete stop and the hairs begin to fall out, affects about 15% of all hairs at a time.",The period that hair growth comes to a complete stop and the hairs begin to fall out is known as telogen.,yes,Telogen period affects about 15% of all hairs at a time.,94
Fortified infrastructure and prosperity in a country can make science and technology upsurge.,I work for a company called Orion Technology which tryies to enhance basic infrastructure and accelerate the science and prosperity in poor African co ntries,no,No conclusion,95
You can find the concept of Gravitational Intensity in this book.,Newton explained the concept of universal gravitational.,no,No conclusion,96
The interest of tourists is attracted by local dishes.,"Tourists can buy the best of gourmet cuisine here, for a cheap price.",no,No conclusion,97
The constitutional revolution led to the establishment of a parliament in Iran.,Sheikh Fazlollah contributed to the uprising which led to the issuance of the Constitutional Revolution of Iran.,yes,Sheikh Fazlollah contributed to the establishment of a parliament in Iran.,98
Circadian rhythms determines what times of day the body feels more alert as well as the times of day the body wants sleep.,It’s important to understand Circadian rhythms that go into sleep.,yes,It’s important to understand during the day when the body feels more alert as well as the times of day the body wants sleep.,99
"This limited view seems to show a freight train on the south side of the station, away from the station canopy and passenger equipment.",airplanes offer passengers a limited view while on the move,no,No conclusion,100
Fall Into Me is a web series with 8 episodes.,I literally fell in love with the Friends series the very first moment watching the first episode.,no,No conclusion,101
"Unlike houses, apartment complexes can contribute to a very convenient living arrangement", Interactions may drive complexity by expanding the number of component proteins within a complex or by increasing the complement of proteins that can contribute to a complex.,no,No conclusion,102
Seven hundred six of the adults developed dementia during the seven years of the study.,Seven hundred six of the adults and seven years old children will be sick during their study.,no,No conclusion,103
"A range of outcomes, from constant pain to total immobility, can result from the nerves being damaged.",Injured nerves could lead anywhere from persistent pain to paralysis,no,No conclusion,104
high temperatures have resulted in the early melting of snow at heights,the early melting of snow results in a greater flood risk,yes,high temperatures result in greater flood risks,105
Babysitters struggle with children during the day,People who spend most of their time with children must consider quitting smoking,yes,Babysitters must consider quitting smoking,106
Low energy building designs typically have a very low surface area to volume ratio to minimize heat loss,"A small surface to capacity ratio to cut down on heat waste,means that sprawling multi-winged building designs are often avoided in favor of more centralized structures",yes,sprawling multi-winged building designs are often avoided in favor of more centralized structures in low energy building designs,107
There is a lot of interest in whether spatial abilities lead to better math skills.,Communicating abilities lead to better relations with other people.,no,No conclusion,108
Floods are a source of massive destruction to villages located on the downstream.,Perforated dams prevent floods.,yes,Perforated dams prevent massive destruction to villages located on the downstream.,109
Workers with long working hours tend to have weak psychic health., Mental wellness difficulties typically make eating disorders.,yes,workers with long working hours tend to have eating disorders,110
There will be a decrease in the number of bookings if current visitors are annoyed,A lack of hot water inside the room is going to anger the guests very much,yes,There will be a decrease in the number of bookings if there’s a shortage of hot water inside the rooms,111
The National Aeronautics and Space Administration is NASA.,My father built a cottage for me.,no,No conclusion,112
Flexural loads develop cracks in beam sections.,Presence of cracks decreases the beam stiffness.,yes,Flexural loads decrease the beam stiffness.,113
smoking can disturb sense of taste ,people who don't have a proper undeC51rstanding of flavoring can't enjoy the taste of foods anymore.,yes,people who smoke can't enjoy the taste of foods anymore.,114
"when plates under continents move, they can lead to an increase in pressure underneath the earth.  ",Pressure injuries can be difficult to treat and can lead to serious complications.,no,No conclusion,115
An HIV test during the window period can show negative results.,"If a person takes an HIV test during the window period, it’s likely they’ll receive a negative result.",no,No conclusion,116
my friend and I are going to see the 1998 tony award winner musical,"in 1998 , the play ""Rent"" won the tony award",yes,"my friend and I are going to see a musical play named ""Rent""",117
Your productivity skyrockets when you're feeling happier,Interacting with others boosts feelings of well-being,yes,Interacting with other skyrockets your productivity,118
It is clear from numerous studies that job loss has serious effects on psychosocial health.,"loss of soil fertility has serious knock-on effects for humans, such as malnutrition.",no,No conclusion,119
populist waves often rise in uncertain habitats,low security levels create an unpredictable environment,yes,populist waves often rise when security levels are low,120
"The nymphs moult four to six times before they develop their final adult form, becoming larger after each moult.",The company needs to develop a larger orientation towards marketing its products for adults.,no,No conclusion,121
"People, like those in rural South Africans, who eat more fiber than 50 grams are very unlikely to develop chronic diseases.","In populations that eat a regular high-fiber diet of more than 50 grams of fiber per dayTrusted Source, like rural South Africans, chronic diseases are very low.",no,No conclusion,122
I think she is the only person in the world that doesn't get embarrassed for failure easily.,USA was embarrassed in the world because of the failure of operation Eagle Claw.,no,No conclusion,123
Collision of atoms breaks their structure.,the structure of atoms can be broken by hitting to eachother,no,No conclusion,124
Vegetables and fruits are the main source of fiber.,Fibers play a massive role in well-functioning of our Digesting system.,yes,Vegetables and fruits play a massive role in well-functioning of our Digesting system.,125
infectious diseases will spread by increasing rodent population,Exceedance of rodent population rises the infectious diseases.,no,No conclusion,126
Their final project at school was not as good as the previous one.,"The project commenced on definition, meaning, English dictionary and synonym.",no,No conclusion,127
Changing the climate causes global warming that all over the world are faced to.,Fossil fuels and anthropogenic activity actually has fundamentally changed the climate.,yes,Fossil fuels and anthropogenic activity actually has fundamentally caused the global warming that all over the world are faced to.,128
The water behind the dams power up the turbines.,Turbines on the dams generate electricity.,yes,The water behind the dams generate electricity.,129
"Deming defined abnormal variation as special causes, which he said account for approximately 6 percent of the problems from process outcomes.","We all know people who have problems with money, those who never seem to have enough or are always spending beyond their means.",no,No conclusion,130
Sharing similar characteristics amongst different creatures puts them classifies them in a same category.,Humans and chimpanzees share some remarkably similar characteristics.,yes,Humans and chimpanzees are classified in a same category.,131
Woody plants could be divided into trees and shrubs.,The wood category of plants include trees and shrubs.,no,No conclusion,132
A low-altitude mountain is range as an important refugium for narrow epidemics in the South West Australian.,"The pool is large enough to swim laps, and is surrounded by the casitas.",no,No conclusion,133
Scientists at Washington University in St. Louis announced on Thursday that they’ve developed a blood test for amyloid.,"A blood test has been developed by scientists at Washington University in St. Louis, as they said on Thursday.",no,No conclusion,134
The glacial period resulted in extinction of a large number of spices .,Fibreboard is can be made of manure residue from biogas produced by mud and cow dung instead of sawdust.,no,No conclusion,135
Ginger can enhance brain function directly and ,Ginger may protect against alzheimer's disease.,yes,Direct enhance in brain function may protect against alzheimer's disease.,136
Mount Tomuraushi is located in Hokkaid?.,Hokkaid? is the second largest island in japan.,yes,Mount Tomuraushi is in japan.,137
Inflammation can be reduced by fasting.,Fasting is known to prevent high levels of inflammation,no,No conclusion,138
Online banking could enhance the task of paying bills,"Inside the leading appointment, always be prepared to talk in depth about how exactly your organization could enhance the task of the possible buyer.",no,No conclusion,139
Group work also can have a very positive impact on students learning outcomes.,Researches show that group work creates more opportunities for critical thinking.,yes,Critical thinking can effectively enhance learning for students.,140
abnormal cell growth and duplication cause a group of diseases are called cancer and potentially can invade or methastase to other parts of the body,Cancer is a group of diseases involving abnormal cell growth with the potential to invade or spread to other parts of the body,no,No conclusion,141
Climate change cause Warming Oceans.,Oceans have become warmer because of climate change.,no,No conclusion,142
He created a wonderful meal using coconut as an ingredient.,Many Iranian dishes have a dried herb as an ingredient.,no,No conclusion,143
it is proven that having a healthy midset helps with improving your memory,The fact that your memory is improved by having a strong state of mind is well established.,no,No conclusion,144
Pesticides select for pesticide resistance in the pest population,"choosing those insects that are resilient to pesticide,warrants the development of a new pesticide",yes,Pesticides warrant the development of a new pesticide,145
Having certain facilities near you can contribute to a very convenient living arrangement,"Unlike houses, apartment complexes are generally built with specific amenities",yes,"Unlike houses, apartment complexes can contribute to a very convenient living arrangement",146
I suddenly found myself dumbfounded after hearing the news.,Cardano was suddenly arrested on the accusation of heresy.,no,No conclusion,147
You can see the blood vessels at the brain base with the naked eye.,The blood vessels at the base of the brain are visible to the unaided eye.,no,No conclusion,148
Poverty encourages quarrels among family members,Many marriages break up due to constant arguing in house,yes,Many marriages break up due to poverty,149
If you’re not changing as a person then you’re not intelligent,The rules for people from outside of Europe are not changing as a result of the Brexit negotiations.,no,No conclusion,150
Bear looks like the father of the forest.,He wanted to choose an animal which look like the father of the forest as Smokey symbol.,yes,He wanted to choose bear as Smokey symbol.,151
Pneumonia is an infection that inflames the air sacs in one or both lungs.,"Inflammation of lungs develops cough with phlegm or pus, fever, chills, and difficulty breathing",yes,"Pneumonia  develops cough with phlegm or pus, fever, chills, and difficulty breathing",152
Unnatural cell growth is caused by the disruptive effects of cancer.,Cancer disrupts this process and leads to abnormal growth in cells.,no,No conclusion,153
Different companies use different user interfaces for their cell phones.,Many people have ample knowledge about different mobile phones and their companies.,no,No conclusion,154
"The hippocampus is the largest part of the brain that accumulates these memories, placing each one in its proper place.",The hippocampus allows you to recall everything from typing on your keyboard to your first-grade music recital.,yes,"The largest part of the brain that accumulates these memories, placing each one in its proper place, allows you to recall everything from typing on your keyboard to your first-grade music recital.",155
Produce chains of gold aren't easier than chains of iron and steel.,"to produce the structural steel members, melted iron ingots are used",no,No conclusion,156
sharp movement in units of water can lead to boiling. ,"When water is heated, the molecules circulate quickly.",yes,heating the water can lead to boiling,157
Eggs are containing large amount of vitamin A.,"The scattered sebkha deposits in the north, containing large amounts of gypsum, produce high SO4 2- waters.",no,No conclusion,158
"yellow, red and green (leafy) vegetables are having vitamin A inside them.",Overusing vitamin A can cause bad effects on your body.,yes,"yellow, red and green (leafy) vegetables will cause bad effects on your body.",159
The use of sustainable materials is necessary for a healthy lifestyle,Choosing a floor made from conductive flooring materials is necessary for a variety of spaces.,no,No conclusion,160
structural collapse or cost increaces are some unwanted conclusions which may see in projects of varyin sizes,"projects of varying sizes may reach undesirable conclusions , such as structural collapse or cost overruns",no,No conclusion,161
A good student does not overestimate what he or she knows.,A good student is someone who does not overestimate the amount of knowledge they have.,no,No conclusion,162
Unbiased articles generate trust amongst the newspaper readers.,Newspaper writers are supposed to write stories in an unbiased fashion.,yes,Newspaper writers are supposed to generate trust amongst the newspaper readers.,163
Small classes alows the students improve their speaking skills more than large lecture classes.,Jhon prefer to participate a class in which improve his speaking skills.,yes,Jhon prefer to paticipate in small classes.,164
Underground piping is corrosion-resistant but can be easily blocked by plastic bottles.,"HDPE is used in the production of plastic bottles, corrosion-resistant piping, geomembranes, and plastic lumber.",no,No conclusion,165
"The pure form of metal that are incredibly soft, malleable and ductile have led to its widespread use in the making of jewellery and art.","The pure form of gold is incredibly soft, malleable and ductile",yes,The pure form of gold have led to its widespread use in the making of jewellery and art.,166
Storage of important files eases the accessibility.,The simple access to important file will be available by storage them.,no,No conclusion,167
High levels of mercury are linked to brain developmental problems,Some fish are high in mercury,yes,Some fish are linked to brain developmental problems,168
Study of acoustic and music in the physic library was considerably advanced by his investigation.,Musical acoustics is the study of the physics of acoustic instruments,no,No conclusion,169
Everything you read fills your head with new bits of information.,you are better-equipped  to tackle any challenge you’ll ever face if you have more information in  your brain,yes,you are better-equipped  to tackle any challenge you’ll ever face if you read,170
sustainable development couldbecome an important source of competitive advantage,Tourism has become a pillar of socio-economic progress and a driver of sustainable development.,yes,Tourism will be a source of competitive advantage,171
"for a person walking alone in the city at night, there is high chance for getting mugged",Reza is going to walk home alone tonight,yes,there is a high chance of Reza getting mugged tonight,172
"Hospitalists have the greatest benefit on patients who are medically complex, and who require close clinical monitoring. ",Noble prize is given to works which have conferred the greatest benefit on mankind.,no,No conclusion,173
"in order to decrease overfilling and boost stream ,a station will be designed",The station will be designed to minimise overcrowding and improve flow,no,No conclusion,174
Hirsh needed to hold down two jobs to start a family.,It is the duty of the government to provide the necessary facilities for the attainment of establishment of a family. ,yes,It is the duty of the government to provide the necessary facilities for the attainment of establishment of a family. ,175
decreased annual profit can pose serious dangers to the company,the implications of the proposed changes include less annual profit,yes,the implications of the proposed changes pose serious dangers to the company,176
"By smoking the arteries to the arms and legs start to narrow, restricting blood flow.","Peripheral artery disease, which occurs when the arteries to the arms and legs start to narrow, restricting blood flow.",yes,Smoking increases the risk of peripheral artery disease.,177
The increase of earth angle causes the climate change.,Economic growth characterized by the rise of production output will cause the increase of energy needs.,no,No conclusion,178
chicken is a great source of Pantothenic acid.,"Pantothenic acid has several functions, such as helping to release energy from food.",yes,chicken can help releasing energy from food.,179
The education system needs flexibility to prepare the young generation for a successful future,Tanzania's higher education system is too rigid,yes,Tanzania education system could not prepare its young generation to be successful,180
Yellow crazy ants's population releases so much formic acid into the air around their nest.,Releasing so much formic acid into the air make breating around the place is so much painful and difficult.,yes,Breathing around Yellow crazy ants's nest is so much painful and difficult.,181
The scandal has damaged his business's trustworthiness and exective credibility.,Tugging at her ability to reason.,no,No conclusion,182
People living in poverty often don't have access to decent nutrients,"You are likely to get sick more often, when you don't get enough nutrients",yes,People living in poverty are likely to get sick more often,183
Customers need someone to have an explanation and solution for their problems to choose better. ,"In a conventional retail store, clerks are generally available to answer questions.",yes,"In a conventional retail store, clerks are generally available to help customers to choose better.",184
children who don't have father are obliged to work.,prevalence of AIDS throughout many developing countries has resulted an enormous number of orphans.,yes,prevalence of AIDS throughout many developing countries has resulted an obligation for children to work,185
Circulation of hot and cold air in the closed space rises the temperature.,Astronuts have to stay in the circulating spaceship's closed space for months .,no,No conclusion,186
technology has brought many great developments in education.,Countries with advanced schooling and training have a better culture.,yes,technology has brought many great developments in culture.,187
adequate mineral magnifies the bone density,the bone density is depensent on getting enough mineral,no,No conclusion,188
Soft tempered copper is extremely malleable,exceptionally ductile material offers far little resistance,yes,Soft tempered copper offers far little resistance,189
all IBM employees should have an engineer degree.,professional degrees such as engineering or law are completed over four years.,yes, IBM employees should spend four years to complete a professional degree.,190
Physiological disasters can be produced by witnessing the slaughter of the near relatives.,witnessing the slaughter of close relatives creates physcological disorders.,no,No conclusion,191
Dark chocolate has significant antioxidant content.,Antioxidants are substances that may protect your cells against free radicals.,yes,Dark chocolate helps protecting your cells against free radicals.,192
The best managers have an extraordinary bright mind to discern their own and others' thoughts quickly. ,"He quickly enlisted the services of the manager at Leeds Road and the club appointed Arthur Fairclough as manager on 26 February, 1920.",no,No conclusion,193
There are strong anti-diabetic features in ginger.,Local people ascribe powerful healing properties to this stone.,no,No conclusion,194
They are supposed to write a resaerch about plants and animals native to singapore.,Limited field usage for farming is less disruptive to native plants and animals. ,no,No conclusion,195
"a boosted forbearence towards alcohol,means that an individual is able to consume more alcohol",Alcoholism is characterised by an advanced tolerance to alcohol,yes,Alcoholism means that an individual is able to consume more alcohol,196
"Social mobilisation is a process of bringing together all feasible inter-sectoral socialpartners to determine felt-need, raise demand for and sustain progress towards a particular development objective.",Overpopulation raises the need and demand for fishing.,no,No conclusion,197
placing pressure on endangered species can gradually destroy the environmental resources. ,Tourism puts enormous stress on endangered species.,yes,Tourism can gradually destroy the environmental resources.,198
