,index,Premise 1,Premise 2,Conclusion
494,85,sharing visual lessons can help students to learn better class materials.,students can use iPads to participate in visual lessons.,students can use iPads to learn better class materials.
1467,86,Tourists prefer to book online,Customers prefer a quick and easy booking,Tourists prefer  a quick and easy booking
980,90,my house has thin walls,my neighbors can hear every single word of what I say,my neighbors can hear every single word of what I say
1468,92,Increased activity helps the brain to stay active. ,The smart use of Smartphone improves the functions of the brain.,The smart use of Smartphone  helps the brain to stay active.
495,93,Growing means not being intelligent.,"When you grow, you change your habits",If you’re not changing you’re not being intelligent
3,94,Hair growth comes to a complete stop and the hairs begin to fall out is known as telogen.,Telogen is the period when hair growth comes to a complete stop and the hairs begin to fall out.,Telogen period affects about 15% of all hairs at a time.
496,98,The establishment of a parliament in Iran led to the issuance of the Constitutional Revolution of Iran.,Sheikh Fazlollah became the leader of the constitutional revolution.,Sheikh Fazlollah contributed to the establishment of a parliament in Iran.
1952,99,Circadian rhythms that go into sleep during the day when the body feels more alert as well as the times of day the body wants sleep.,It’s important to understand during the day when the body has different rhythms.,It’s important to understand during the day when the body feels more alert as well as the times of day the body wants sleep.
1469,105,high temperatures are associated with early melting of snow,Early melting of snow at heights result in greater flood risks,high temperatures result in greater flood risks
4,106,Babysitters spend most of their time with their children,Parents must consider quitting smoking,Babysitters must consider quitting smoking
5,107,Low energy building designs have a small surface to capacity ratio to cut down on heat waste,Sprawling multi-winged building designs are often avoided in favor of more centralized structures,sprawling multi-winged building designs are often avoided in favor of more centralized structures in low energy building designs
1953,109,Floods can cause massive destruction to villages located on the downstream.,Perforated dams prevent flooding.,Perforated dams prevent massive destruction to villages located on the downstream.
6,110,workers with long working hours tend to have depression.,psychic health is often linked to eating disorders.,workers with long working hours tend to have eating disorders
1470,111,There will be a decrease in the number of bookings if there’s a shortage of hot water inside the rooms,There’s a shortage of hot water inside the rooms,There will be a decrease in the number of bookings if there’s a shortage of hot water inside the rooms
497,113,Flexural loads cause the presence of cracks.,Cracks in beam sections decrease the beam stiffness.,Flexural loads decrease the beam stiffness.
981,114,people who smoke don't have a proper undeC51rstanding of flavoring.,people who smoke can't enjoy the taste of foods anymore.,people who smoke can't enjoy the taste of foods anymore.
1471,117,"my friend and I are going to see a musical play named ""Rent""","the 1998 tony award winner musical was called ""Rent""","my friend and I are going to see a musical play named ""Rent"""
7,118,Feeling well-being skyrockets your productivity,Interacting with other people makes you happy,Interacting with other skyrockets your productivity
1472,120,populist waves often rise when security levels are low,"In uncertain habitats, security levels are low",populist waves often rise when security levels are low
982,125,Vegetables and fruits are nutritious foods.,Fiber plays a massive role in well-functioning of our Digesting system.,Vegetables and fruits play a massive role in well-functioning of our Digesting system.
498,128,Climate change has caused the global warming that all over the world are faced to.,Fossil fuels and anthropogenic activity actually has fundamentally changed the climate.,Fossil fuels and anthropogenic activity actually has fundamentally caused the global warming that all over the world are faced to.
1473,129,The water behind the dams carries electricity.,Power up the turbines generates electricity.,The water behind the dams generate electricity.
1474,131,All animals are classified in a same category.,Humans and chimpanzees share similar characteristics.,Humans and chimpanzees are classified in a same category.
1475,136,Ginger has been shown to enhance in brain function.,Ginger may protect against alzheimer's disease.,Direct enhance in brain function may protect against alzheimer's disease.
499,137,Mount Tomuraushi is the second largest island in Japan.,Hokkaid? is located in japan.,Mount Tomuraushi is in japan.
1954,140,Researches show that group work can effectively enhance learning for students.,Critical thinking can effectively enhance learning for students.,Critical thinking can effectively enhance learning for students.
500,145,Pesticides are known to be resistant to pesticides,Pesticides warrant the development of a new pesticide,Pesticides warrant the development of a new pesticide
1476,146,Appropriately designed facilities can contribute to a very convenient living arrangement,"Unlike houses, apartment complexes have certain facilities near you","Unlike houses, apartment complexes can contribute to a very convenient living arrangement"
8,149,Living in a small house is difficult due to poverty,Many marriages break up due to quarrels,Many marriages break up due to poverty
1477,151,Bear is the animal which look like the father of the forest.,Smokey symbol represents the forest.,He wanted to choose bear as Smokey symbol.
9,152,Pneumonia  is inflammation of lungs,"Inflammation in the air sacs in one or both lungs develops cough with phlegm or pus, fever, chills, and difficulty breathing","Pneumonia  develops cough with phlegm or pus, fever, chills, and difficulty breathing"
10,155,"The largest part of the brain that accumulates these memories, placing each one in its proper place, is the hippocampus.",The hippocampus allows you to recall everything from typing on your keyboard to your first-grade music recital.,"The largest part of the brain that accumulates these memories, placing each one in its proper place, allows you to recall everything from typing on your keyboard to your first-grade music recital."
501,157,"When water is heated, the molecules circulate quickly.",heating the water causes a sharp movement in units of water.,heating the water can lead to boiling
983,159,"Vitamin A is found in yellow, red and green (leafy) vegetables.",Having vitamin A inside your body will cause bad effects on your body.,"yellow, red and green (leafy) vegetables will cause bad effects on your body."
11,163,An unbiased manner of writing generates trust amongst the newspaper readers.,Newspaper writers are supposed to be unbiased.,Newspaper writers are supposed to generate trust amongst the newspaper readers.
1478,164,Paticipate in small classes.,Jhon prefer to paticipate in small classes.,Jhon prefer to paticipate in small classes.
1479,166,The properties of gold have led to its widespread use in the making of jewellery and art.,"Gold is incredibly soft, malleable and ductile.",The pure form of gold have led to its widespread use in the making of jewellery and art.
12,168,High levels of mercury are linked to brain developmental problems,Some fish have high levels of mercury,Some fish are linked to brain developmental problems
1480,170,you have more information in  your brain,you are better-equipped to tackle any challenge you’ll ever face if you read,you are better-equipped  to tackle any challenge you’ll ever face if you read
502,171,economic progress will be a source of competitive advantage,Tourism will contribute to sustainable development,Tourism will be a source of competitive advantage
1481,172,there is a high chance of Reza getting mugged,Reza is walking alone in the city at night,there is a high chance of Reza getting mugged tonight
1482,175,The establishment of a family is the work of the government.,It is the duty of the government to provide the necessary facilities for the attainment of establishment of a family.,It is the duty of the government to provide the necessary facilities for the attainment of establishment of a family. 
984,176,loss of profit pose serious dangers to the company,the implications of the proposed changes are that the company will have to reduce its annual cash flow,the implications of the proposed changes pose serious dangers to the company
1483,177,Smoking increases the risk of smoking.,"When the arteries to the arms and legs start to narrow, restricting blood flow increases the risk of peripheral artery disease.",Smoking increases the risk of peripheral artery disease.
503,179,"chicken has several functions, such as pantothenic acid.",Pantothenic acid can help releasing energy from food.,chicken can help releasing energy from food.
13,180, rigid education system could not prepare its young generation to be successful,Tanzania lacks flexibility,Tanzania education system could not prepare its young generation to be successful
1484,181,Yellow crazy ants's nest releases so much formic acid into the air.,Breathing around formic acid is so much painful and difficult.,Breathing around Yellow crazy ants's nest is so much painful and difficult.
985,183,People living in poverty don't get enough nutrients,"Without proper nutrition, you are likely to get sick more often",People living in poverty are likely to get sick more often
504,184,An answer to questions can help customers to choose better.,"In a conventional retail store, clerks are generally available to help customers understand their situation. ","In a conventional retail store, clerks are generally available to help customers to choose better."
986,185,An obligation for children to work is an obligation for them to work.,Prevalence of AIDS throughout many developing countries has resulted an obligation for fathers to care for their children,prevalence of AIDS throughout many developing countries has resulted an obligation for children to work
1955,187,technology has brought many great developments in culture.,education is the foundation of culture.,technology has brought many great developments in culture.
1485,189,Soft tempered copper is a reliable material,malleable copper offers far little resistance,Soft tempered copper offers far little resistance
505,190,IBM employees should spend four years in the fields of engineering or law.,It takes four years to complete a professional degree., IBM employees should spend four years to complete a professional degree.
1486,192,Dark chocolate is rich in antioxidants.,Antioxidants help protecting your cells against free radicals.,Dark chocolate helps protecting your cells against free radicals.
14,196,An advanced tolerance to alcohol means that an individual is able to consume more alcohol,Alcoholism boosts our appetite for alcohol,Alcoholism means that an individual is able to consume more alcohol
1487,198,Overpopulation can gradually destroy the environmental resources.,Tourism puts pressure on endangered species.,Tourism can gradually destroy the environmental resources.
1956,200,The wind energy power determines the heat and pressure in weather patterns.,The heat and pressure in the environment warms the surface by sunshine.,The wind energy power is from sun's energy which warms the surface by sunshine.
15,203,county governments are elected by the local government,Chicago is the second largest city in the country,Chicago is the seat of local government in cook county
1488,208,due to sea ices we are in a critical situation in Antarctica.,penguin colonies lives in warmer climates.,penguin colonies lives are in a critical situation in Antarctica.
1957,209,The close proximity of apartment life can help to develop Group spirit,Creating a sense of community is associated with creating life long connections,The close proximity of apartment life is associated with creating life long connections
506,210,It is easier to perfect your product if you have more information about what the customer want,Research the market to identify the consumer demand,It is easier to perfect your product if you research the market
16,211,Floods can bring about a lot of floods,Hurricanes bring about flooding,Hurricanes can bring about a lot of floods
987,213,Most women suffer from severe emotional distress after an abortion,Long-term depression is associated with feelings of guilt and shame,Most women suffer from long-term depression after an abortion
1489,214,Being alone contributes to intense feelings of loneliness. ,Borderline Personality Disorder often causes anxiety and depression.,Borderline Personality Disorder often  contributes to intense No conclusionnoia
1958,218,Rose-Breasted Grosbeak is a timid bird.,"If you want to attrack Rose-Breasted Grosbeak to your yard, you should consider posting several feeders in order to alleviate congestion and encourage it to come in for seed.","If you want to attrack Rose-Breasted Grosbeak to your yard, you should consider posting several feeders in order to alleviate congestion and encourage it to come in for seed."
1490,226,Whole eggs are very nutrient-dense.,Most nutritious foods arerich in nutrients relative to their calorie content. ,Whole eggs arerich in nutrients relative to their calorie content. 
507,229,The Quit India movement brought an end to the British colonial rule in India.,Mahatma Gandhi initiated the Indian independence movement.,Mahatma Gandhi brought an end to the British colonial rule in India.
1491,231,Low levels of nitric oxide are associated with lower blood pressure,Research shows that sunlight can alter nitric oxide,Research shows that sunlight is associated with lower blood pressure
988,232,Physical activity helps prevent excess weight gain or help maintain weight loss.,Burning calories burns calories.,Burning calories helps prevent excess weight gain or help maintain weight loss.
1492,233,the areas of weakness are different from those of the surrounding rock beds,Sea caves are made because certain rock beds are different from those of the surrounding rock beds,Sea caves are made because certain rock beds areas of weakness are different from those of the surrounding rock beds
17,236,Learning a new language improves your chances of getting a job.,Job satisfaction improves the quality of life.,Learning a new language improves the quality of life.
1493,237,Sunlight is strongest in the morning and evening.,Avoid the sun's rays when they are strongest.,Avoid the sun between 10 a.m. and 4 p.m.
18,239,Keeping the essential files accessible ease the accessibility,Hard drives store important files.,Hard drives ease the accessibility
989,241,Solving micro cracks provides reliable assessment in regard with locating micro cracks on materials.,Processing provides precise estimation of image details.,Image processing provides reliable assessment in regard with locating micro cracks on materials.
990,245,"You tend to be most productive, when you're happy","You feel good, when working in a job that fits your personality","You tend to be most productive, when working in a job that fits your personality"
1959,247,Night time experiences allow people to visit the zoo after dark with more growth in the future.,Rainforest lumina is an attraction with more growth in the future.,Rainforest lumina is an attraction with more growth in the future.
508,248,large-volume melting is brought about by large-scale melting,mantle plumes are hypothesized to originate from the margins of the central layer and in an inflexible capacity,mantle plumes are hypothesized to bring about large-volume melting
1960,252,"People who go on a diet can meet their vitamin D needs from fortified foods like orange juice, soy milk and cereals.",People who go on a diet can meet their vitamin D needs from fortified foods.,People who go on a diet can meet their vitamin D needs from fortified foods.
1494,254,It is possible that I have type 1 diabetes,"It is possible that I have weak urination needs, excessive thirst, steady hunger, loss of bodyweight, lesser vision and physical weakness",It is possible that I have type 1 diabetes
509,256,Ebooks save trees from destruction.,Tree-cutting minimizes damage to the ecosystems.,Ebooks minimize damage to the ecosystems.
1961,260,The corrosive agent killed the commissioner instantly.,Joker poisoned alchoholic beverage with arsenic.,Joker killed the commissioner instantly.
510,261,Social media is a natural place that attracts new and highly targeted potential customers.,Targeted customers helps to increase brand awareness.,Social media is a natural place that helps to increase brand awareness.
511,262,Factories manufacturing chemicals manufacture chemicals,"Plants may have most of their equipment – tanks, pressure vessels, chemical reactors, pumps and piping – outdoors and operated from control rooms","Factories manufacturing chemicals may have most of their equipment – tanks, pressure vessels, chemical reactors, pumps and piping – outdoors and operated from control rooms"
1962,263,All of us have to be seen by ourselves and others as capable and competent and and we will actually sacrifice or trade off other needs to meet that need.,Procrastination is rooted in human need.,Procrastination is rooted in that all of us have to be seen by ourselves and others as capable and competent and and we will actually sacrifice or trade off other needs to meet that need.
512,264,Wind creates the Stigma on the flowers.,Plants that carry flower spores within far distances to land on other flowers’ stigma plays the role in reproduction of flowers.,Wind plays the role in reproduction of flowers.
19,269,Resistance to insulin causes blood sugar levels to rise and strongly increases your risk of diabetes.,Prolong high-sugar consumption leads to insulin resistance.,Prolong high-sugar consumption causes blood sugar levels to rise and strongly increases your risk of diabetes.
1495,270, ozone at ground level is one of the main pollutans.,Ozone is the reaction of sunlight with pollutants from vehicle emissions.,"The reaction of sunlight with pollutants from vehicle emissions, is one of the main pollutans."
991,273,"with the rise of connectivity, there are more jobs available for writers and designers",there are more jobs available for writers and designers,"with the rise of connectivity, there are more jobs available for writers and designers"
1963,275,Getting to hepatitis is a sign that liver is not operating normally.,"When a person's skin become yellow, it is a sign that liver is not functioning normally.","When a person's skin become yellow, it is a sign that getting to hepatitis."
20,280,Different settlement patterns are unique case of study.,The Natufians have distinctive features in their society.,The Natufians are unique case of study.
992,281,"When a country decides whether a fiat currency or a gold-backed currency are legal, it determines whether the form of currency it may have","At the most basic level, monetary policy involves whether a country's currency exists","At the most basic level, monetary policy involves whether a fiat currency or a gold-backed currency"
1964,282,traffic fumes increase when the number of cars is at its maximum,"during the rush hour, traffic is heavier",traffic fumes increase during the rush hour
993,287,Chocolate is a great source of fat.,Lecithin lowers the GI of a food.,Chocolate lowers the GI of a food.
1496,292,I get uncomfortable when people make noises that make me uncomfortable, joe drinks tea,I get uncomfortable when joe drinks tea
1497,293,brussels sprouts contain a large amount of folic acid.,"Folic acid reduces the risk of central neural tube defects, such as spina bifida, in unborn babies.","brussels sprouts reduces the risk of central neural tube defects, such as spina bifida, in unborn babies."
21,294,"Architectural phenomenology focuses on human experience, background, intention and historical reflection, interpretation as well as poetic and ethical considerations with authors such as Gaston Bachelard","the movement within architecture that began in the 1950s, reaching a wide audience in the late 1970s and 1980s, and continuing until today","the movement within architecture that began in the 1950s, reaching a wide audience in the late 1970s and 1980s, and continuing until today Architectural phenomenology focuses on human experience, background, intention and historical reflection, interpretation as well as poetic and ethical considerations with authors such as Gaston Bachelard"
22,295,"An inflated sense of their own importance, a deep need for excessive attention and admiration, and a lack of empathy for others troubles one's relation with his surrounding society.",Narcissistic personality disorder forces people to expect too much attention and attention from others.,Narcissistic personality disorder troubles one's relation with his surrounding society.
994,296,Blood clots prevent losing a big amount of blood with a small wound,Calcium is needed to prevent clotting.,Calcium is needed to prevent losing a big amount of blood with a small wound
1498,298,online courses help people to become wiser. ,public universities offer highly regarded courses.,public universities  help people to become wiser.
995,299,poor people don't have enough money to buy a phone.,Buying cell phone requires a lot of technical requirements.,poor people don't have enough money to buy cell phone.
996,300,Carbon dioxide contributes to air pollution.,Respiration from plants releases carbon dioxide.,Respiration from plants contributes to air pollution.
997,301,Spider-Mask hides his face in order to save his relatives from possible threats conducted by villains.,Peter Parker intends to establish his identity among superhoreos.,Peter Parker intends to save his relatives from possible threats conducted by villains.
513,303,doctors probably try to manage shortness of breath.,doctors probably suggest relaxation techniques to manage emotions.,doctors probably suggest relaxation techniques to manage shortness of breath.
998,304,Economic inequality encourages violence,Economic inequality encourages rivalry,Economic inequality encourages violence 
1499,305,rising food prices hit the poorest,The scarcity of fresh water and the diminution of fertile lands will result in the oversupply of nourishment,The scarcity of fresh water and the diminution of fertile lands will hit the poorest
1500,307,Protecting the environment has significant influences on the future of our children.,serious eco-friendly steps taken by the government preserve nature.,serious  eco-friendly steps taken by the government have significant influences on the future of our children.
1501,309,When we're not thinking clearly or rationally we may feel less capable of coping,"When the fight or flight response is triggered, our brains become illogical",When the fight or flight response is triggered we may feel less capable of coping
1965,310,The balance between energy entering and leaving the planet’s system is maintained by global climate change.,Climate change causes longer periods of drought in some regions.,The balance between energy entering and leaving the planet’s system causes longer periods of drought in some regions.c
999,311,Performance improvement in  academic areas is associated with learning a new language.,"The advantages of learning a foreign language include higher scores on standardized exams in math, reading comprehension and vocabulary.","Performance improvement in  academic areas include higher scores on standardized exams in math, reading comprehension and vocabulary."
1000,313,eliminating of negative self-talk leads to higher self-esteem.,Having high self-confidence eases anxiety about life and death.,eliminating of negative self-talk eases anxiety about life and death.
23,314,Antioxidants are linked to a reduced risk of cardiovascular disease.,Grapes are loaded with antioxidants.,Grapes are loaded with are linked to a reduced risk of cardiovascular disease.
1001,316,Daffodils need to insert sunlight in order to produce food.,"When leaves need to absorb sunlight, they shouldn't be completely shaded by the flowers.",Daffodils shouldn't be completely shaded by the flowers in order to produce food.
514,318,"Spraying agricultural chemicals control insects, diseases and weeds.","Control insects, diseases and weeds is important for growing high-yielding, quality crops and pasture.","Spraying agricultural chemicals is important for growing high-yielding, quality crops and pasture."
515,320,Changing ocean current can result in changes in the warmness of the water.,changes in water temperature can kill fishes and ocean plant life.,changing ocean current can result in killing fishes and ocean plant life.
1966,322,Tourism development promotes economic growth,Oman is the fastest growing tourism destination in the Middle East.,oman economics is growing. 
1967,323,the removal of members of the legislative branch provides some measure of seNo conclusion of powers,presidential democracy allows the president to sack representatives of the political wing,presidential democracy provides some measure of seNo conclusiontion of powers
1002,324,the american population is one of the largest populations in the world,the number of fundamentalists has enormously increased in the world,the number of fundamentalists has enormously increased in the world
1003,327,"In recent decades, the world temperature rises.","When the years have always been hotter, mountain glaciers and rivers are going to be disappeared.","In recent decades, mountain glaciers and rivers are going to be disappeared."
24,328,Rumi was the prophet of Sufism.,Mathnavi-ye-Ma’navi made a huge impact on Sufism.,Rumi made a huge impact on Sufism.
516,332,Sodium together with sodium and bicarbonate maintain a sound balance between the positively charged and the negatively charged ions.,The sound balance between positively charged ions and negatively charged ions enables the nerve cells to send messages and the muscle cells to contract.,Sodium together with sodium and bicarbonate enables the nerve cells to send messages and the muscle cells to contract.
1968,333,A green building has less assets,Finishing a building will cost you less money,A green building will cost you less money
1969,336,"Latex is a complex, sticky mixture made of a polymer called Latex.",Polymers are a long molecule made of smaller molecules joined together.,"Latex is a complex, sticky mixture made of a long molecule made of smaller molecules joined together."
1970,337,Sunnier climates would be in the list of my ideal holiday destinations,countries located in south america have mild and warm weather,countries located in south america would be in the list of my ideal holiday destinations
517,338,One-time projects are not overwhelming,freelance work is not always done in a day or two,freelance work is not overwhelming
25,342,beras and goats are the main breeds of mountain animals.,beras and goats have thicker fur and fatter skin compared to others.,beras and goats  have thicker fur and fatter skin compared to others.
1004,343,"In Europe, the construction industry produces ever-increasing amounts of rubbish","In Europe, governments have to find new locations for landfills because of the construction industry","In Europe, governments have to find new locations for landfills because of the construction industry"
1502,345,Noble prize is given to those who have the greatest benefit on mankind.,"The greatest benefit on mankind is respect and help all people no matter what race, gender or age they have.","Noble prize is given to works which respect and help all people no matter what race, gender or age they have."
1503,346,Pulver cortex is a part of the brain known as the prefrontal cortex.,Sleep deprivation weakens the ability of the prefrontal cortex.,Sleep deprivation weakens the ability of emotion processing.
1005,349,Patients with No conclusionnoid schizophrenia have illusion thoughts and often so called order halluciations.,Patients with No conclusionnoid schizophrenia are more likely than average to commit violent acts.,"Patients with No conclusionnoid schizophrenia, are more likely than average to commit violent acts."
26,351,"When there is an arranged marriage, then there are fewer cultural conflicts.",Social differences result in communicative quarrels in partners.,"When there is an arranged marriage, then there are fewer communicative quarrels in partners."
1504,357,global warming is destructive to our naural environment.,Green House Gases are green house gases that are caused by global warming.,Green House Gases are destructive to our naural environment.
27,358,"When children learn to be independent, Forget perfection.","When you have a big family, you tend to be more independent","When you have a big family, Forget perfection"
1006,360,many young people started supporting the regime as use of the Internet spread throughout society.,many young people try hard to get their and other's rights ,many young people try hard to get their and other's rights  as use of the Internet spread throughout society.
1505,366,High cost is not welcomed by companies.,Producing flippable USB requires high expenses.,Producing flippable USB is not welcomed by companies.
28,367,exhausts coming out of diesel vehicles are acid rain,Acid rain is extremely dangerous for our forests,exhausts coming out of diesel vehicles are extremely dangerous for our forests
29,368,Jack had so much work and no fun that he decided to quit.,Sleep deprivation and lack of entertainment deteriorated Jack’s mental state.,Jack’s mental state was deteriorated.
518,370,having a regular bedtime schedule can help with sleeping.,Enhanced quality of sleep can help our body relaxation.,having a regular bedtime schedule can help our body relaxation.
1506,372,Any interruption in pouring the concrete can give rise to the formation of a horizontal plane of weakness,the initial placed material to begin to set before the next batch is added on top can cause the formation of a horizontal plane of weakness called a cold joint between the two batches,Any interruption in pouring the concrete can give rise to the formation of a horizontal plane of weakness called a cold joint between the two batches
30,373,"When customers spend more time deciding what to order, they're likely to order more",Customers can browse the menu without feeling rushed by lines,"When customers can browse the menu without feeling rushed by lines,they're likely to order more"
31,374,Being negligent could endanger other people or property. ,Riding a car under the influence of alcohol or drugs is considered negligent driving.,Riding a car under the influence of alcohol or drugs  could endanger other people or property 
32,376,"the exchange of sets of obligations between two or more parties,is called a negotiation",A contract must be carefully considered,"the exchange of sets of obligations between two or more parties,must be carefully considered"
1971,377,Oxidative stress  can lead to Alzheimer’s disease. ,Alger’s disease is a devastating condition that causes memory loss and negatively affects thinking and behavior.,Oxidative stress  is a devastating condition that causes memory loss and negatively affects thinking and behavior.
1007,379,consuming too much coffee can lead to irregular sleep,Sleep deprivation increases stress levels,consuming too much coffee increases stress levels
1008,380,Decrease in levels of cortisol in your body can help regulate stress hormones. ,Listening to music Lowers Stress and Improves Health.,"Decrease in levels of cortisol in your body, Lowers Stress and Improves Health."
1507,381,small firms have a large number of customers,smaller firms provide better customer service than bigger companies,small firms provide better customer service than bigger companies
33,382,High temperatures chemically alters food’s nature.,Cooking exposes food to extreme heat.,Cooking chemically alters food’s nature.
519,383,Common effects of divorce in children are guilt and shame,Feelings of guilt can lead to depression,Common effects of divorce in children can lead to depression
1972,384,Foliage from tress reduces heat,Tress reduces your electricity bill,Foliage from tress reduces your electricity bill
