,Unnamed: 0.1,Unnamed: 0,Premise 1,Premise 2,Conclusion,Premise 1_f1,Premise 2_f1,index
40,40,1467,Tourists prefer to book online,A quick and easy booking allows you to visit places that are close to you,Tourists prefer  a quick and easy booking,0.9239824414253236,0.8935651183128357,86
41,41,980,my neighbors can hear every single word of my voice,my neighbors can hear every single word of what I say,my neighbors can hear every single word of what I say,0.8845199346542358,0.9376935362815856,90
42,42,1468,Increased brain activity helps the brain to stay active. ,The smart use of Smartphone helps the brain to stay active.,The smart use of Smartphone  helps the brain to stay active.,0.9642401933670044,0.9414013624191284,92
43,43,495,People who are intelligent are not being intelligent,When you're not changing you’re not being intelligent,If you’re not changing you’re not being intelligent,0.8990041017532349,0.9495711922645568,93
44,44,3,Hair growth is about 15% of all hairs at a time.,The telogen period affects about 15% of all hairs at a time.,Telogen period affects about 15% of all hairs at a time.,0.930854082107544,0.8803290724754333,94
45,45,496,The establishment of a parliament in Iran was the first step in the process of a popular movement.,Sheikh Fazlollah proclaimed the independence of Iran.,Sheikh Fazlollah contributed to the establishment of a parliament in Iran.,0.9124600291252136,0.9214281439781188,98
46,46,1952,The body feels more alert as well as the times of day the body wants sleep.,It’s important to understand during the day when the body feels more alert as well as the time of day the body wants sleep.,It’s important to understand during the day when the body feels more alert as well as the times of day the body wants sleep.,0.9426161646842957,0.90277898311615,99
47,47,1469,high temperatures result in lack of snow,increased flood risks result in greater flood risks,high temperatures result in greater flood risks,0.931979775428772,0.923322319984436,105
48,48,4,Babysitters spend most of their time with their children,People who smoke must consider quitting smoking,Babysitters must consider quitting smoking,0.9338866472244264,0.9303374290466307,106
49,49,5,less centralized structures in low energy building designs are often avoided,sprawling multi-winged building designs tend to encourage higher levels of energy,sprawling multi-winged building designs are often avoided in favor of more centralized structures in low energy building designs,0.897136390209198,0.8935309052467346,107
50,50,1953,Floods can cause massive destruction to villages located on the downstream.,Perforated dams prevent flooding.,Perforated dams prevent massive destruction to villages located on the downstream.,0.982999324798584,0.9609014987945556,109
51,51,6,workers with long working hours tend to have eating disorders,people who have difficulty concentrating tend to have eating disorders,workers with long working hours tend to have eating disorders,0.938511312007904,0.9061747193336488,110
52,52,1470,There will be a decrease in the number of bookings if there’s a shortage of water,There will be a decrease in the number of bookings if there’s a shortage of hot water inside the rooms,There will be a decrease in the number of bookings if there’s a shortage of hot water inside the rooms,0.939541757106781,0.9175143837928772,111
53,53,497,Flexural loads can cause cracks in the beam.,Damaging the beam reduces the beam stiffness.,Flexural loads decrease the beam stiffness.,0.967985212802887,0.938298523426056,113
54,54,981,people who smoke can't enjoy the taste of foods anymore.,people who smoke can't enjoy the taste of foods anymore.,people who smoke can't enjoy the taste of foods anymore.,0.9016770124435424,0.9223358631134032,114
55,55,1471,"my friend and I are going to see a musical play called ""Rent""","my friend and I are going to see a musical play named ""Rent""","my friend and I are going to see a musical play named ""Rent""",0.9168099164962769,0.8951453566551208,117
56,56,7,Interacting with other skyrockets your productivity,Interacting with other people boosts your productivity,Interacting with other skyrockets your productivity,0.9076449275016784,0.9485929608345032,118
57,57,1472,populist waves often rise when security levels are low,"When security levels are low, threats rise",populist waves often rise when security levels are low,0.9396081566810608,0.9170685410499572,120
58,58,982,Vegetables and fruits are rich in Digesting.,Fiber plays a massive role in well-functioning of our Digesting system.,Vegetables and fruits play a massive role in well-functioning of our Digesting system.,0.9367898106575012,0.9850465059280396,125
59,59,498,Global warming has fundamentally caused the global warming that all over the world are faced to.,Fossil fuels and anthropogenic activity actually have fundamentally caused climate change.,Fossil fuels and anthropogenic activity actually has fundamentally caused the global warming that all over the world are faced to.,0.9568892121315002,0.9782734513282776,128
60,60,1473,The water behind the dams generate electricity.,The water behind the dams generate electricity.,The water behind the dams generate electricity.,0.9570258259773254,0.9431248903274536,129
61,61,1474,Chimpanzees are classified in a same category.,Humans and chimpanzees share similar characteristics.,Humans and chimpanzees are classified in a same category.,0.8900302052497864,0.980579435825348,131
62,62,1475,Direct enhance in brain function may protect against Alzheimer's disease.,Antioxidants may protect against alzheimer's disease.,Direct enhance in brain function may protect against alzheimer's disease.,0.8861225247383118,0.9688225388526917,136
63,63,499,Mount Tomuraushi is the third largest island in japan.,Mount Tomuraushi is in japan.,Mount Tomuraushi is in japan.,0.9026293754577636,0.8660417199134827,137
64,64,1954,Developing critical thinking can effectively enhance learning for students.,Critical thinking can effectively enhance learning for students.,Critical thinking can effectively enhance learning for students.,0.906970739364624,0.9123826622962952,140
65,65,500,Pesticides are resistant to corrosion,Pesticides contain toxic chemicals,Pesticides warrant the development of a new pesticide,0.9106508493423462,0.8623278737068176,145
66,66,1476,An apartment can contribute to a very convenient living arrangement,"Unlike houses, apartment complexes have a lot of space","Unlike houses, apartment complexes can contribute to a very convenient living arrangement",0.955895721912384,0.9442974328994752,146
67,67,8,Many marriages break up due to poverty,Many marriages break up due to lack of supervision,Many marriages break up due to poverty,0.9071356654167176,0.9461148381233216,149
68,68,1477,Smokey symbol is bear.,Smokey symbol is Smokey symbol.,He wanted to choose bear as Smokey symbol.,0.8920299410820007,0.883643388748169,151
69,69,9,Pneumonia  develops coughing with inflammation of lungs,"Pneumonia  develops cough with phlegm or pus, fever, chills, and difficulty breathing","Pneumonia  develops cough with phlegm or pus, fever, chills, and difficulty breathing",0.8890942931175232,0.9627339243888856,152
70,70,10,"The hippocampus is the largest part of the brain that accumulates these memories, placing each one in its proper place.",The hippocampus allows you to recall everything from typing on your keyboard to your first-grade music recital.,"The largest part of the brain that accumulates these memories, placing each one in its proper place, allows you to recall everything from typing on your keyboard to your first-grade music recital.",0.9999999403953552,1.0,155
71,71,501, boiling can lead to boiling,heating the water can lead to boiling,heating the water can lead to boiling,0.907353401184082,0.8941066265106201,157
72,71,501, boiling can lead to boiling,heating the water can lead to boiling,heating the water can lead to boiling,0.907353401184082,0.8941066265106201,2927
75,72,983,"yellow, red and green (leafy) vegetables contain a large amount of vitamin A.",Vitamin A will cause bad effects on your body.,"yellow, red and green (leafy) vegetables will cause bad effects on your body.",0.9721724390983582,0.9698020219802856,159
76,73,11,Honest reporting generates trust amongst the newspaper readers.,Newspaper writers are supposed to provide unbiased coverage.,Newspaper writers are supposed to generate trust amongst the newspaper readers.,0.9727352857589722,0.96828031539917,163
77,74,1478,Small classes tend to be reserved for people who are interested in learning.,Jhon prefer to paticipate in small classes.,Jhon prefer to paticipate in small classes.,0.8953683376312256,0.897422730922699,164
78,75,1479,Industrialization has led to its widespread use in the making of jewellery and art.,The pure form of gold have led to its widespread use in the making of jewellery and art.,The pure form of gold have led to its widespread use in the making of jewellery and art.,0.921435296535492,0.8871193528175354,166
79,76,12,Chemicals are linked to brain developmental problems,Some fish have high levels of mercury,Some fish are linked to brain developmental problems,0.9445294737815856,0.9720087647438048,168
80,77,1480,you are better-equipped to tackle any challenge you’ll ever face if you read,you are better-equipped  to tackle any challenge you’ll ever face,you are better-equipped  to tackle any challenge you’ll ever face if you read,0.8700892329216003,0.9466233253479004,170
81,78,502,Expansion of tourism will be a source of competitive advantage,Tourism will bring about economic growth,Tourism will be a source of competitive advantage,0.9134514927864076,0.920730710029602,171
82,79,1481,there is a high chance of Reza getting mugged,there is a high chance of Reza getting mugged tonight,there is a high chance of Reza getting mugged tonight,0.9168418645858764,0.9122657775878906,172
83,80,1482,It is the duty of the government to provide the necessary facilities for the attainment of establishment of a family. ,It is the duty of the government to provide the necessary facilities for the attainment of a family.,It is the duty of the government to provide the necessary facilities for the attainment of establishment of a family. ,0.8765603303909302,0.9784855246543884,175
84,81,984,loss of profit pose serious dangers to the company,the implications of the proposed changes are serious dangers to the company,the implications of the proposed changes pose serious dangers to the company,0.9455386400222778,0.9216227531433104,176
85,82,1483,Smoking increases the risk of peripheral artery disease.,Reduction of blood flow increases the risk of peripheral artery disease.,Smoking increases the risk of peripheral artery disease.,0.8870055675506592,0.9078848361968994,177
86,83,503,chicken is a great source of acid.,Panthenic acid can help releasing energy from food.,chicken can help releasing energy from food.,0.9363405704498292,0.9549517035484314,179
87,84,13, rigid education system could not prepare its young generation to be successful,Tanzania education system could not prepare its young generation to be successful,Tanzania education system could not prepare its young generation to be successful,0.9374001026153564,0.9236536622047424,180
88,85,1484,Yellow crazy ants's nest is so much painful and difficult.,Breathing around Yellow crazy ants' nest is so much painful and difficult.,Breathing around Yellow crazy ants's nest is so much painful and difficult.,0.8912294507026672,0.9026025533676147,181
89,86,985,People living in poverty are likely to get sick more often,People who lack proper nutrition are likely to get sick more often,People living in poverty are likely to get sick more often,0.9067516326904296,0.9431647658348083,183
90,87,504,Customers are generally available to help customers to choose better.,"In a conventional retail store, clerks are generally available to help customers to choose their products.","In a conventional retail store, clerks are generally available to help customers to choose better.",0.906829297542572,0.9666883945465088,184
91,88,986,An obligation for children to work has resulted an obligation for them to work,prevalence of AIDS throughout many developing countries has resulted an obligation for children to work,prevalence of AIDS throughout many developing countries has resulted an obligation for children to work,0.8826406002044678,0.9451371431350708,185
92,89,1955,technology has brought many great developments in culture.,technology has brought many great developments in culture.,technology has brought many great developments in culture.,0.9844745397567748,0.8909169435501099,187
93,90,1485,Soft tempered copper is a great source of zinc, corrosion offers far little resistance,Soft tempered copper offers far little resistance,0.9307315945625304,0.8929404616355896,189
94,91,505,IBM employees should spend four years to complete a professional degree.,IBM employees should spend four years to complete a professional degree., IBM employees should spend four years to complete a professional degree.,0.926970601081848,0.8957854509353638,190
95,92,1486,Dark chocolate is rich in antioxidants.,Antioxidants helps protecting your cells against free radicals.,Dark chocolate helps protecting your cells against free radicals.,0.9671660661697388,0.9549134373664856,192
96,93,14,An advanced tolerance to alcohol means that an individual is able to consume more alcohol,Alcoholism increases the appetite of an individual,Alcoholism means that an individual is able to consume more alcohol,0.925948977470398,0.9115263223648072,196
97,94,1487,Overpopulation can gradually destroy the environmental resources.,Tourism can lead to the loss of biodiversity.,Tourism can gradually destroy the environmental resources.,0.9481579065322876,0.9399608969688416,198
98,95,1956,The wind energy power generates heat and pressure.,Sunlight warms the surface by sunshine.,The wind energy power is from sun's energy which warms the surface by sunshine.,0.9263635873794556,0.906200349330902,200
99,96,15,Cook County is the seat of local government in cook county,Chicago is the capital of Cook county,Chicago is the seat of local government in cook county,0.9064022302627563,0.9744999408721924,203
100,97,1488,penguin colonies are in a critical situation in Antarctica.,penguin colonies are in a critical situation in Antarctica.,penguin colonies lives are in a critical situation in Antarctica.,0.9303832650184632,0.9263105392456056,208
101,98,1957,The close proximity of apartment life is associated with the development of friendships,Creating long connections is associated with creating life long connections,The close proximity of apartment life is associated with creating life long connections,0.9384742975234984,0.9314255714416504,209
102,99,506,It is easier to perfect your product if you research the market,It is easier to perfect your product if you research the market,It is easier to perfect your product if you research the market,0.9629204273223876,0.9142820239067078,210
103,100,16,Floods can bring about a lot of damage,Hurricanes bring about a lot of flooding,Hurricanes can bring about a lot of floods,0.9442110061645508,0.9308464527130128,211
104,101,987,Most women have an abortion,Most women suffer from long-term depression after an abortion,Most women suffer from long-term depression after an abortion,0.930073857307434,0.895867109298706,213
105,102,1489,Depression contributes to intense No conclusionnoia,Borderline Personality Disorder often causes anxiety,Borderline Personality Disorder often  contributes to intense No conclusionnoia,0.8824536800384521,0.936854362487793,214
106,103,1958,"If you want to attrack Rose-Breasted Grosbeak to your yard, you should consider posting several feeders.","If you want to attrack Rose-Breasted Grosbeak to your yard, you should consider posting several feeders in order to alleviate congestion and encourage it to grow.","If you want to attrack Rose-Breasted Grosbeak to your yard, you should consider posting several feeders in order to alleviate congestion and encourage it to come in for seed.",0.904953956604004,0.9422176480293274,218
107,104,1490,Whole eggs contain a large amount of vitamin B3. ,Infants relative to their calorie content.,Whole eggs arerich in nutrients relative to their calorie content. ,0.9185753464698792,0.903371274471283,226
108,105,507,The Quit India movement brought an end to the British colonial rule in India.,Mahatma Gandhi became the leader of the Indian independence movement.,Mahatma Gandhi brought an end to the British colonial rule in India.,0.959251880645752,0.955296754837036,229
109,106,1491,Increased blood pressure is associated with lower blood pressure,Research shows that sunlight increases nitric oxide,Research shows that sunlight is associated with lower blood pressure,0.9237895011901855,0.95793616771698,231
110,107,988,Burning calories helps prevent excess weight gain or help maintain weight loss.,Burning calories helps reduce body fat.,Burning calories helps prevent excess weight gain or help maintain weight loss.,0.9697357416152954,0.9123085737228394,232
111,108,1492,Sea caves are uneven from those of the surrounding rock beds,Sea caves are made because certain rock beds have different angles,Sea caves are made because certain rock beds areas of weakness are different from those of the surrounding rock beds,0.8403237462043762,0.936392605304718,233
112,109,17,Learning a new language improves the quality of life.,Increased productivity improves the quality of life.,Learning a new language improves the quality of life.,0.9398389458656312,0.9608156085014344,236
113,110,1493,Avoid the sun from morning until night.,Avoid the sun's rays when they are strongest.,Avoid the sun between 10 a.m. and 4 p.m.,0.9049026370048524,0.9610708355903624,237
114,111,18,Expanding the space ease the accessibility,Hard drives are great storage,Hard drives ease the accessibility,0.8986330628395081,0.9238172769546508,239
115,112,989,Finding micro cracks on materials provides reliable assessment in regard with locating micro cracks.,Image processing provides reliable assessment in regard with locating micro cracks on materials.,Image processing provides reliable assessment in regard with locating micro cracks on materials.,0.9578623175621032,0.8599954843521118,241
116,113,990,"You tend to be most productive, when working in a job that fits your personality","You tend to be most productive, when working in a job that fits your personality","You tend to be most productive, when working in a job that fits your personality",0.9388244152069092,0.9360628128051758,245
117,114,1959,More growth in the future is associated with night time experiences.,Rainforest lumina is an attraction with more trees.,Rainforest lumina is an attraction with more growth in the future.,0.908505380153656,0.905685305595398,247
118,115,508,mantle plumes are hypothesized to bring about large-volume melting,mantle plumes are hypothesized to bring about large-volume melting,mantle plumes are hypothesized to bring about large-volume melting,0.8824226260185242,0.9070305228233336,248
119,116,1960,People who go on a diet can meet their vitamin D needs from fortified foods.,People who go on a diet can meet their vitamin D needs from fortified foods.,People who go on a diet can meet their vitamin D needs from fortified foods.,0.9041208624839784,0.8978838920593262,252
120,117,1494,Type 1 diabetes is a type of diabetes,It is possible that I have type 1 diabetes,It is possible that I have type 1 diabetes,0.8720424175262451,0.8652948141098022,254
121,118,509,Ebooks are the first source of environmental criticism.,Tree cutting minimizes damage to the ecosystems.,Ebooks minimize damage to the ecosystems.,0.9085032939910888,0.9640015363693236,256
122,119,1961,The corrosive agent killed the commissioner instantly.,Joker introduced arsenic in the beverage.,Joker killed the commissioner instantly.,0.9066648483276368,0.9036369323730468,260
123,120,510,Social media is a natural place to reach new and highly targeted customers.,Social media helps to increase brand awareness.,Social media is a natural place that helps to increase brand awareness.,0.9937934279441832,0.9302812814712524,261
124,121,511,"Factories manufacturing chemicals may have most of their equipment – tanks, pressure vessels, chemical reactors, pumps and piping","Companies may have most of their equipment – tanks, pressure vessels, chemical reactors, pumps and piping – outdoors and operated from control rooms","Factories manufacturing chemicals may have most of their equipment – tanks, pressure vessels, chemical reactors, pumps and piping – outdoors and operated from control rooms",0.893602728843689,0.9866151809692384,262
125,122,1962,All of us have to be seen by ourselves and others as capable and competent and and we will do our best to meet that need.,Procrastination is rooted in lack of self-awareness.,Procrastination is rooted in that all of us have to be seen by ourselves and others as capable and competent and and we will actually sacrifice or trade off other needs to meet that need.,0.9322091341018676,0.9507922530174256,263
126,123,512,Wind changes the dynamics of the flower.,The stigma plays the role in reproduction of flowers.,Wind plays the role in reproduction of flowers.,0.8968411684036255,0.9548501968383788,264
127,124,19,Insulin causes blood sugar levels to rise and strongly increases your risk of diabetes.,Prolong high-sugar consumption increases insulin resistance.,Prolong high-sugar consumption causes blood sugar levels to rise and strongly increases your risk of diabetes.,0.9885801076889038,0.9819610118865968,269
128,125,1495,Overexposure to sunlight is one of the main pollutans.,Ozone is the reaction of sunlight with pollutants from vehicle emissions.,"The reaction of sunlight with pollutants from vehicle emissions, is one of the main pollutans.",0.923955261707306,0.9487181305885316,270
129,126,991,"with the rise of connectivity, there are more jobs available for writers and designers",there are more jobs available for writers and designers,"with the rise of connectivity, there are more jobs available for writers and designers",0.8803874254226685,0.8987411856651306,273
130,127,1963,Getting to hepatitis is a sign that getting to hepatitis.,"When a person's skin become yellow, it is a sign that they are infected with HIV.","When a person's skin become yellow, it is a sign that getting to hepatitis.",0.8879501819610596,0.9499068260192872,275
131,128,20,Different case of study.,The Natufians are unique case of study.,The Natufians are unique case of study.,0.8893110752105713,0.9091179966926576,280
132,129,992,An exchange rate involves whether a fiat currency or a gold-backed currency,"At the most basic level, monetary policy involves whether a currency is a fiat currency or a gold-backed currency","At the most basic level, monetary policy involves whether a fiat currency or a gold-backed currency",0.9101266860961914,0.9338229298591614,281
133,130,1964,traffic fumes increase during the rush hour,during rush hour,traffic fumes increase during the rush hour,0.9473597407341005,0.9255116581916808,282
134,131,993,Chocolate is a great source of fiber.,Lecithin lowers the GI of a food.,Chocolate lowers the GI of a food.,0.8795949816703796,0.947511613368988,287
135,132,1496,I get uncomfortable when I drink tea,I get uncomfortable when joe drinks tea,I get uncomfortable when joe drinks tea,0.9346346855163574,0.9207637906074524,292
136,133,1497,brussels sprouts contain a large amount of folic acid.,"Fat acid reduces the risk of central neural tube defects, such as spina bifida, in unborn babies.","brussels sprouts reduces the risk of central neural tube defects, such as spina bifida, in unborn babies.",0.9778546690940856,0.9806926250457764,293
137,134,21,Architectural phenomenology is the movement within architecture that began in the 1950s.,"the movement within architecture that began in the 1950s, reaching a wide audience in the late 1970s and 1980s, and continuing until today","the movement within architecture that began in the 1950s, reaching a wide audience in the late 1970s and 1980s, and continuing until today Architectural phenomenology focuses on human experience, background, intention and historical reflection, interpretation as well as poetic and ethical considerations with authors such as Gaston Bachelard",0.8751531839370728,0.9713526368141174,294
138,135,22,Self-esteem troubles one's relation with his surrounding society.,Narcissistic personality disorder is one of the main causes of narcissistic personality disorder.,Narcissistic personality disorder troubles one's relation with his surrounding society.,0.908794105052948,0.8798902034759521,295
139,136,994,Causing bleeding can prevent losing a big amount of blood with a small wound,Calcium is needed to prevent clotting,Calcium is needed to prevent losing a big amount of blood with a small wound,0.9283186197280884,0.9155757427215576,296
140,137,1498,online courses help people to become wiser. ,public universities are places where you can learn about education.,public universities  help people to become wiser.,0.9504820704460144,0.8907445073127747,298
141,138,995,poor people don't have enough money to buy cell phone.,poor people don't have enough money to buy cell phone.,poor people don't have enough money to buy cell phone.,0.9483844637870787,0.9088784456253052,299
142,139,996,Carbon dioxide contributes to air pollution.,Respiration from plants releases CO2 into the atmosphere.,Respiration from plants contributes to air pollution.,0.9999997615814208,0.9551595449447632,300
143,140,997,Peter Parker intends to save his relatives from possible threats conducted by villains.,Peter Parker intends to protect his relatives from possible threats conducted by villains.,Peter Parker intends to save his relatives from possible threats conducted by villains.,0.9114688634872437,0.8835971355438232,301
144,141,513,doctors probably suggest relaxation techniques to manage shortness of breath.,doctors probably suggest relaxation techniques to manage stress.,doctors probably suggest relaxation techniques to manage shortness of breath.,0.9118219017982484,0.9358713030815125,303
145,142,998,Economic inequality encourages violence ,Economic inequality encourages rivalry,Economic inequality encourages violence ,0.9489800333976746,0.8905307650566101,304
146,143,1499,rising food prices will hit the poorest,The scarcity of fresh water and the diminution of fertile lands will lead to climate change,The scarcity of fresh water and the diminution of fertile lands will hit the poorest,0.8936105370521545,0.9591530561447144,305
147,144,1500,Protecting the environment have significant influences on the future of our children.,serious  eco-friendly steps taken by the government include protecting nature.,serious  eco-friendly steps taken by the government have significant influences on the future of our children.,0.9743165969848632,0.9161049127578736,307
148,145,1501,When the fight or flight response is triggered we may feel less capable of coping,When the fight or flight response is triggered our brains are overloaded,When the fight or flight response is triggered we may feel less capable of coping,0.9217709898948668,0.930988907814026,309
149,146,1965,The balance between energy entering and leaving the planet’s system is called the Drought balance.,Drought causes longer periods of drought in some regions.,The balance between energy entering and leaving the planet’s system causes longer periods of drought in some regions.c,0.9507644176483154,0.9599602222442628,310
150,147,999,Performance improvement in  academic areas include learning new languages. ,"The results of proper education include higher scores on standardized exams in math, reading comprehension and vocabulary.","Performance improvement in  academic areas include higher scores on standardized exams in math, reading comprehension and vocabulary.",0.9094436764717102,0.9642133116722108,311
