,Unnamed: 0,index,Premise 1,Premise 2,Conclusion,Premise 1_f1,Premise 2_f1
12,974,20,Exam time pressure can slow down digestion. ,increased stress makes digestion less efficient,Exam time pressure makes digestion less efficient ,0.9440385103225708,0.9579241871833801
13,488,22,Avicenna was the birthplace of the ancient Iranian religion.,Book Al Qanun Fi Al-Tibb influenced modern medicine.,Avicenna influenced modern medicine.,0.864391565322876,0.9843583106994629
14,975,24,electric motors made people's life easier.,Car discoveries have been made during the last decades.,cars made people's life easier during the last decades.,0.9331135153770447,0.9137650728225708
15,976,25,franchisees have the support of an acknowledged organization,established corporations will experience less financial risks,franchisees will experience less financial risks,0.958173394203186,0.9135036468505859
16,1945,26,Flooding may occur if some of that water escaping its usual boundaries. ,water flow from water bodies melting the snow on mountains ,Flooding may occur as an result of melting the snow on mountains ,0.8973630666732788,0.8909732699394226
17,977,28,"horses, mules, oxen, water buffalo, camels, llamas, alpacas, donkeys, and dogs have for centuries been working animals","working animals have for centuries been used to help cultivate fields, harvest crops, wrangle other animals, and transport farm products","horses, mules, oxen, water buffalo, camels, llamas, alpacas, donkeys, and dogs have for centuries been used to help cultivate fields, harvest crops, wrangle other animals, and transport farm products to buyers",0.9595681428909302,0.9661337733268738
18,0,29,The repetitive pursing lips when inhaling and squinting your eyes to keep out smoke can contribute to wrinkles.,The repetitive facial expressions can contribute to wrinkles.,"The repetitive pursing lips when inhaling and squinting your eyes to keep out smoke, when smoking can contribute to wrinkles.",0.9385084509849548,0.9667168259620667
19,1946,30,Early Egyptians’ writing system used Hieroglyphic scripting., Hieroglyph is currently out-dated.,Early Egyptians’ writing system is currently out-dated.,0.9540475010871887,0.9488525390625
20,489,33,Soldiers excavated ground to a certain depth.,Digging trenches minimized the projectile impact of enemy’s artillery.,Soldiers minimized the projectile impact of enemy’s artillery.,0.9147345423698425,0.9568451046943665
21,1947,35,MC1R is the gene responsible for determining hair color.,"If MC1R is active, it produces eumelanin and a person will have darker skin and hair.","If the gene responsible for determining hair color is active, it produces eumelanin and a person will have darker skin and hair.",1.0000001192092896,0.9830049872398376
22,1948,36,During the first few weeks after someone contracts HIV the immune system begins to develop an infection.,"In the acute infection stage the virus reproduces rapidly, the person’s immune system responds by producing HIV antibodies.","During the first few weeks after someone contracts HIV the virus reproduces rapidly, the person’s immune system responds by producing HIV antibodies.",0.9339392185211182,0.9901453852653503
23,490,37," atherosclerosis is a disease characterized by fatty, artery-clogging deposits.",Consuming too much sugar especially from sugar-sweetened drinks has been kinked to a disease called atherosclerosis.,"Consuming too much sugar especially from sugar-sweetened drinks has been kinked to a disease characterized by fatty, artery-clogging deposits.",0.9762821197509766,0.9886896014213562
24,1462,40,Your thoughts creates your behavior.,Your thoughts are your thoughts.,Your thoughts creates your behavior.,0.964375913143158,0.9284847378730774
25,1,41,This lamp is too expensive for me,I won't buy this expensive lamp,I won't buy this lamp,0.9448534846305847,0.9197322130203247
26,978,44,"Robins are all birds, including flying and flightless.",All animals should have feathers.,Robins have feathers.,0.8685442209243774,0.9203910827636719
27,1463,47,Farmers grow a wide range of crops by making it needless of importing.,Growing a huge amount of crops in Iran help the economic.,Farmers help the economic.,0.9069581627845764,0.9304400086402893
28,1464,53,Anxiety and Depression are the main causes of mental illness,Most U.S. Teens See Anxiety as a Major Problem Among Their Peers,Most U.S. Teens See mental illness as a Major Problem Among Their Peers,0.9412881135940552,0.9930833578109741
29,2,61,Focusing on work is a way to take care of oneself,Taking care of yourself is closely interwoven with not being concerned with the welfare of the society ,Focusing on work is closely interwoven with not being concerned with the welfare of the society ,0.9480211734771729,0.9699723720550537
30,491,62,Smoking narrows the tiny blood vessels in the outermost layers of skin., narrowing the tiny blood vessels in the outermost layers of skin makes skin paler.,Smoking decreases blood flow and makes skin paler.,0.9999999403953552,0.9602876305580139
31,979,63,Vitamin C found in lemons may help prevent acne.,You look younger when you have less wrinkles,Vitamin C found in lemons may help you look younger,0.9709601402282715,0.9390024542808533
32,492,65,massage increases the blow flow,increased blood flow decreases the risks of venous disorders,massage decreases the risks of venous disorders,0.9341735243797302,0.9728193879127502
33,1465,67,Vinegar inhibits food from spoiling,"When bacteria are growing in food, it spoiling",Vinegar inhibits food from spoiling,0.9429125189781189,0.9022508859634399
34,1949,70,Michelangelo is Considered by some the greatest artist of all time,"the Italian Renaissance painter Michelangelo is Considered as the painter of ""the last judgment""",the Italian Renaissance painter Michelangelo is Considered by some the greatest artist of all time,0.920514702796936,0.8775959014892578
35,1950,71,Unprovoked attacks are when the person is alive when bitten.,The International Shark Attack File describes shark attacks as an unprovoked attack.,The International Shark Attack File describes shark attacks as the person is alive when bitten.,0.9712631702423096,0.9890536665916443
36,1951,72,Joint attention is a phenomenon which in babies can see an adult following their gaze and try to draw the adult’s attention to something that interests them by looking very quickly at the object of interest.,Joint attention is the practice of looking very quickly at the object of interest until both are engaging.,Babies can see an adult following their gaze and try to draw the adult’s attention to something that interests them by looking very quickly at the object of interest until both are engaging.,0.9400309324264526,0.92928546667099
37,493,78,Your child is more likely to make logical decisions when he is aware of his surroundings,Your child develops a sense of trust in him,Your child is more likely to make logical decisions when you develop a sense of trust in him,0.9295178651809692,0.9390872120857239
38,1466,82,small businesses need to have a small budget,There is no kind of marketing service in the world that would be suitable for small businesses,There is no kind of marketing service in the world that would be suitable for small businesses,0.9201100468635559,0.976696252822876
39,494,85,sharing visual lessons can help students to learn better class materials.,students can use iPads to participate in visual lessons.,students can use iPads to learn better class materials.,0.9462687373161316,0.9828489422798157
40,1467,86,Tourists prefer to book online,Customers prefer a quick and easy booking,Tourists prefer  a quick and easy booking,0.9239825010299683,0.9123970866203308
41,980,90,my house has thin walls,my neighbors can hear every single word of what I say,my neighbors can hear every single word of what I say,0.9999996423721313,0.9376935362815857
42,1468,92,Increased activity helps the brain to stay active. ,The smart use of Smartphone improves the functions of the brain.,The smart use of Smartphone  helps the brain to stay active.,0.9596717357635498,0.9541188478469849
43,495,93,Growing means not being intelligent.,"When you grow, you change your habits",If you’re not changing you’re not being intelligent,0.9085147380828857,0.915019690990448
44,3,94,Hair growth comes to a complete stop and the hairs begin to fall out is known as telogen.,Telogen is the period when hair growth comes to a complete stop and the hairs begin to fall out.,Telogen period affects about 15% of all hairs at a time.,0.9154359102249146,0.9673343300819397
45,496,98,The establishment of a parliament in Iran led to the issuance of the Constitutional Revolution of Iran.,Sheikh Fazlollah became the leader of the constitutional revolution.,Sheikh Fazlollah contributed to the establishment of a parliament in Iran.,0.945155143737793,0.9223574995994568
46,1952,99,Circadian rhythms that go into sleep during the day when the body feels more alert as well as the times of day the body wants sleep.,It’s important to understand during the day when the body has different rhythms.,It’s important to understand during the day when the body feels more alert as well as the times of day the body wants sleep.,0.952542245388031,0.9215769171714783
47,1469,105,high temperatures are associated with early melting of snow,Early melting of snow at heights result in greater flood risks,high temperatures result in greater flood risks,0.9526804685592651,0.9573019742965698
48,4,106,Babysitters spend most of their time with their children,Parents must consider quitting smoking,Babysitters must consider quitting smoking,0.9338866472244263,0.9258043169975281
49,5,107,Low energy building designs have a small surface to capacity ratio to cut down on heat waste,Sprawling multi-winged building designs are often avoided in favor of more centralized structures,sprawling multi-winged building designs are often avoided in favor of more centralized structures in low energy building designs,0.9548488855361938,0.933443009853363
50,1953,109,Floods can cause massive destruction to villages located on the downstream.,Perforated dams prevent flooding.,Perforated dams prevent massive destruction to villages located on the downstream.,0.9829992651939392,0.9609014987945557
51,6,110,workers with long working hours tend to have depression.,psychic health is often linked to eating disorders.,workers with long working hours tend to have eating disorders,0.9540210366249084,0.9140705466270447
52,1470,111,There will be a decrease in the number of bookings if there’s a shortage of hot water inside the rooms,There’s a shortage of hot water inside the rooms,There will be a decrease in the number of bookings if there’s a shortage of hot water inside the rooms,0.9314678311347961,0.9369824528694153
53,497,113,Flexural loads cause the presence of cracks.,Cracks in beam sections decrease the beam stiffness.,Flexural loads decrease the beam stiffness.,0.9561912417411804,0.9487952589988708
54,981,114,people who smoke don't have a proper undeC51rstanding of flavoring.,people who smoke can't enjoy the taste of foods anymore.,people who smoke can't enjoy the taste of foods anymore.,0.8570284247398376,0.9223358035087585
55,1471,117,"my friend and I are going to see a musical play named ""Rent""","the 1998 tony award winner musical was called ""Rent""","my friend and I are going to see a musical play named ""Rent""",0.9144140481948853,0.9347151517868042
56,7,118,Feeling well-being skyrockets your productivity,Interacting with other people makes you happy,Interacting with other skyrockets your productivity,0.9437857270240784,0.9482617378234863
57,1472,120,populist waves often rise when security levels are low,"In uncertain habitats, security levels are low",populist waves often rise when security levels are low,0.939608097076416,0.9180936813354492
58,982,125,Vegetables and fruits are nutritious foods.,Fiber plays a massive role in well-functioning of our Digesting system.,Vegetables and fruits play a massive role in well-functioning of our Digesting system.,0.9531373381614685,0.9850465059280396
59,498,128,Climate change has caused the global warming that all over the world are faced to.,Fossil fuels and anthropogenic activity actually has fundamentally changed the climate.,Fossil fuels and anthropogenic activity actually has fundamentally caused the global warming that all over the world are faced to.,0.9683574438095093,1.0
60,1473,129,The water behind the dams carries electricity.,Power up the turbines generates electricity.,The water behind the dams generate electricity.,0.9526445269584656,0.9301785230636597
61,1474,131,All animals are classified in a same category.,Humans and chimpanzees share similar characteristics.,Humans and chimpanzees are classified in a same category.,0.9127470850944519,0.9805794358253479
62,1475,136,Ginger has been shown to enhance in brain function.,Ginger may protect against alzheimer's disease.,Direct enhance in brain function may protect against alzheimer's disease.,0.9375613927841187,1.0
63,499,137,Mount Tomuraushi is the second largest island in Japan.,Hokkaid? is located in japan.,Mount Tomuraushi is in japan.,0.9105488061904907,0.9482205510139465
64,1954,140,Researches show that group work can effectively enhance learning for students.,Critical thinking can effectively enhance learning for students.,Critical thinking can effectively enhance learning for students.,0.9206797480583191,0.9123826026916504
65,500,145,Pesticides are known to be resistant to pesticides,Pesticides warrant the development of a new pesticide,Pesticides warrant the development of a new pesticide,0.9260337948799133,0.907896101474762
66,1476,146,Appropriately designed facilities can contribute to a very convenient living arrangement,"Unlike houses, apartment complexes have certain facilities near you","Unlike houses, apartment complexes can contribute to a very convenient living arrangement",0.951133668422699,0.9377880692481995
67,8,149,Living in a small house is difficult due to poverty,Many marriages break up due to quarrels,Many marriages break up due to poverty,0.9023783206939697,0.9549779891967773
68,1477,151,Bear is the animal which look like the father of the forest.,Smokey symbol represents the forest.,He wanted to choose bear as Smokey symbol.,0.9560601711273193,0.9001041650772095
69,9,152,Pneumonia  is inflammation of lungs,"Inflammation in the air sacs in one or both lungs develops cough with phlegm or pus, fever, chills, and difficulty breathing","Pneumonia  develops cough with phlegm or pus, fever, chills, and difficulty breathing",0.9063270688056946,0.9707577228546143
70,10,155,"The largest part of the brain that accumulates these memories, placing each one in its proper place, is the hippocampus.",The hippocampus allows you to recall everything from typing on your keyboard to your first-grade music recital.,"The largest part of the brain that accumulates these memories, placing each one in its proper place, allows you to recall everything from typing on your keyboard to your first-grade music recital.",0.9841135144233704,1.0
71,501,157,"When water is heated, the molecules circulate quickly.",heating the water causes a sharp movement in units of water.,heating the water can lead to boiling,0.8819169998168945,0.9035992622375488
72,983,159,"Vitamin A is found in yellow, red and green (leafy) vegetables.",Having vitamin A inside your body will cause bad effects on your body.,"yellow, red and green (leafy) vegetables will cause bad effects on your body.",0.9465939998626709,0.9626128077507019
73,11,163,An unbiased manner of writing generates trust amongst the newspaper readers.,Newspaper writers are supposed to be unbiased.,Newspaper writers are supposed to generate trust amongst the newspaper readers.,0.9643816351890564,0.9739441871643066
74,1478,164,Paticipate in small classes.,Jhon prefer to paticipate in small classes.,Jhon prefer to paticipate in small classes.,0.8636944890022278,0.8974227905273438
75,1479,166,The properties of gold have led to its widespread use in the making of jewellery and art.,"Gold is incredibly soft, malleable and ductile.",The pure form of gold have led to its widespread use in the making of jewellery and art.,0.9334676265716553,0.972953736782074
76,12,168,High levels of mercury are linked to brain developmental problems,Some fish have high levels of mercury,Some fish are linked to brain developmental problems,1.0000001192092896,0.9720086455345154
77,1480,170,you have more information in  your brain,you are better-equipped to tackle any challenge you’ll ever face if you read,you are better-equipped  to tackle any challenge you’ll ever face if you read,0.8645596504211426,0.9439936876296997
78,502,171,economic progress will be a source of competitive advantage,Tourism will contribute to sustainable development,Tourism will be a source of competitive advantage,0.918744683265686,0.9425453543663025
79,1481,172,there is a high chance of Reza getting mugged,Reza is walking alone in the city at night,there is a high chance of Reza getting mugged tonight,0.9168418645858765,0.9340113401412964
80,1482,175,The establishment of a family is the work of the government.,It is the duty of the government to provide the necessary facilities for the attainment of establishment of a family.,It is the duty of the government to provide the necessary facilities for the attainment of establishment of a family. ,0.8874431848526001,1.0
81,984,176,loss of profit pose serious dangers to the company,the implications of the proposed changes are that the company will have to reduce its annual cash flow,the implications of the proposed changes pose serious dangers to the company,0.9455386996269226,0.9324827790260315
82,1483,177,Smoking increases the risk of smoking.,"When the arteries to the arms and legs start to narrow, restricting blood flow increases the risk of peripheral artery disease.",Smoking increases the risk of peripheral artery disease.,0.8789029717445374,0.9513845443725586
83,503,179,"chicken has several functions, such as pantothenic acid.",Pantothenic acid can help releasing energy from food.,chicken can help releasing energy from food.,0.9419423341751099,0.9626579880714417
84,13,180, rigid education system could not prepare its young generation to be successful,Tanzania lacks flexibility,Tanzania education system could not prepare its young generation to be successful,0.9374000430107117,0.9309583306312561
85,1484,181,Yellow crazy ants's nest releases so much formic acid into the air.,Breathing around formic acid is so much painful and difficult.,Breathing around Yellow crazy ants's nest is so much painful and difficult.,0.9696127772331238,0.9307188391685486
86,985,183,People living in poverty don't get enough nutrients,"Without proper nutrition, you are likely to get sick more often",People living in poverty are likely to get sick more often,0.9418995380401611,0.9537490010261536
87,504,184,An answer to questions can help customers to choose better.,"In a conventional retail store, clerks are generally available to help customers understand their situation. ","In a conventional retail store, clerks are generally available to help customers to choose better.",0.9198696613311768,0.9747021198272705
88,986,185,An obligation for children to work is an obligation for them to work.,Prevalence of AIDS throughout many developing countries has resulted an obligation for fathers to care for their children,prevalence of AIDS throughout many developing countries has resulted an obligation for children to work,0.8885881900787354,0.926356315612793
89,1955,187,technology has brought many great developments in culture.,education is the foundation of culture.,technology has brought many great developments in culture.,0.9844745397567749,0.8984701037406921
90,1485,189,Soft tempered copper is a reliable material,malleable copper offers far little resistance,Soft tempered copper offers far little resistance,0.9394233822822571,0.8824129700660706
91,505,190,IBM employees should spend four years in the fields of engineering or law.,It takes four years to complete a professional degree., IBM employees should spend four years to complete a professional degree.,0.9286583065986633,0.9227491617202759
92,1486,192,Dark chocolate is rich in antioxidants.,Antioxidants help protecting your cells against free radicals.,Dark chocolate helps protecting your cells against free radicals.,0.967166006565094,0.9669133424758911
93,14,196,An advanced tolerance to alcohol means that an individual is able to consume more alcohol,Alcoholism boosts our appetite for alcohol,Alcoholism means that an individual is able to consume more alcohol,0.9259487986564636,0.912860095500946
94,1487,198,Overpopulation can gradually destroy the environmental resources.,Tourism puts pressure on endangered species.,Tourism can gradually destroy the environmental resources.,0.9481579065322876,0.978413999080658
95,1956,200,The wind energy power determines the heat and pressure in weather patterns.,The heat and pressure in the environment warms the surface by sunshine.,The wind energy power is from sun's energy which warms the surface by sunshine.,0.9488082528114319,0.9323896169662476
96,15,203,county governments are elected by the local government,Chicago is the second largest city in the country,Chicago is the seat of local government in cook county,0.9091947674751282,0.9166492819786072
97,1488,208,due to sea ices we are in a critical situation in Antarctica.,penguin colonies lives in warmer climates.,penguin colonies lives are in a critical situation in Antarctica.,0.9169451594352722,0.9154279232025146
98,1957,209,The close proximity of apartment life can help to develop Group spirit,Creating a sense of community is associated with creating life long connections,The close proximity of apartment life is associated with creating life long connections,0.9178909063339233,0.9368184208869934
99,506,210,It is easier to perfect your product if you have more information about what the customer want,Research the market to identify the consumer demand,It is easier to perfect your product if you research the market,0.9622518420219421,0.881406307220459
100,16,211,Floods can bring about a lot of floods,Hurricanes bring about flooding,Hurricanes can bring about a lot of floods,0.9459249973297119,0.9063286781311035
101,987,213,Most women suffer from severe emotional distress after an abortion,Long-term depression is associated with feelings of guilt and shame,Most women suffer from long-term depression after an abortion,0.9542780518531799,0.8899294137954712
102,1489,214,Being alone contributes to intense feelings of loneliness. ,Borderline Personality Disorder often causes anxiety and depression.,Borderline Personality Disorder often  contributes to intense No conclusionnoia,0.955010712146759,0.9296577572822571
103,1958,218,Rose-Breasted Grosbeak is a timid bird.,"If you want to attrack Rose-Breasted Grosbeak to your yard, you should consider posting several feeders in order to alleviate congestion and encourage it to come in for seed.","If you want to attrack Rose-Breasted Grosbeak to your yard, you should consider posting several feeders in order to alleviate congestion and encourage it to come in for seed.",0.9733306169509888,0.9548889398574829
104,1490,226,Whole eggs are very nutrient-dense.,Most nutritious foods arerich in nutrients relative to their calorie content. ,Whole eggs arerich in nutrients relative to their calorie content. ,0.937760055065155,0.9307317733764648
105,507,229,The Quit India movement brought an end to the British colonial rule in India.,Mahatma Gandhi initiated the Indian independence movement.,Mahatma Gandhi brought an end to the British colonial rule in India.,0.959251880645752,0.9414651393890381
106,1491,231,Low levels of nitric oxide are associated with lower blood pressure,Research shows that sunlight can alter nitric oxide,Research shows that sunlight is associated with lower blood pressure,0.9628822803497314,0.9547613859176636
107,988,232,Physical activity helps prevent excess weight gain or help maintain weight loss.,Burning calories burns calories.,Burning calories helps prevent excess weight gain or help maintain weight loss.,0.9856911301612854,0.9074530005455017
108,1492,233,the areas of weakness are different from those of the surrounding rock beds,Sea caves are made because certain rock beds are different from those of the surrounding rock beds,Sea caves are made because certain rock beds areas of weakness are different from those of the surrounding rock beds,0.8796173930168152,0.952966570854187
109,17,236,Learning a new language improves your chances of getting a job.,Job satisfaction improves the quality of life.,Learning a new language improves the quality of life.,0.9510077834129333,0.9617664217948914
110,1493,237,Sunlight is strongest in the morning and evening.,Avoid the sun's rays when they are strongest.,Avoid the sun between 10 a.m. and 4 p.m.,0.9127950072288513,0.9610708355903625
111,18,239,Keeping the essential files accessible ease the accessibility,Hard drives store important files.,Hard drives ease the accessibility,0.9323084950447083,0.9477038979530334
112,989,241,Solving micro cracks provides reliable assessment in regard with locating micro cracks on materials.,Processing provides precise estimation of image details.,Image processing provides reliable assessment in regard with locating micro cracks on materials.,0.9611193537712097,0.8879538774490356
113,990,245,"You tend to be most productive, when you're happy","You feel good, when working in a job that fits your personality","You tend to be most productive, when working in a job that fits your personality",0.971867561340332,0.946391224861145
114,1959,247,Night time experiences allow people to visit the zoo after dark with more growth in the future.,Rainforest lumina is an attraction with more growth in the future.,Rainforest lumina is an attraction with more growth in the future.,0.8893281817436218,0.8977462649345398
115,508,248,large-volume melting is brought about by large-scale melting,mantle plumes are hypothesized to originate from the margins of the central layer and in an inflexible capacity,mantle plumes are hypothesized to bring about large-volume melting,0.8793244361877441,0.9017160534858704
116,1960,252,"People who go on a diet can meet their vitamin D needs from fortified foods like orange juice, soy milk and cereals.",People who go on a diet can meet their vitamin D needs from fortified foods.,People who go on a diet can meet their vitamin D needs from fortified foods.,0.8851870894432068,0.8978838920593262
117,1494,254,It is possible that I have type 1 diabetes,"It is possible that I have weak urination needs, excessive thirst, steady hunger, loss of bodyweight, lesser vision and physical weakness",It is possible that I have type 1 diabetes,0.8590988516807556,0.8889380693435669
118,509,256,Ebooks save trees from destruction.,Tree-cutting minimizes damage to the ecosystems.,Ebooks minimize damage to the ecosystems.,0.9813443422317505,0.9604947566986084
119,1961,260,The corrosive agent killed the commissioner instantly.,Joker poisoned alchoholic beverage with arsenic.,Joker killed the commissioner instantly.,0.9066648483276367,0.8831698298454285
120,510,261,Social media is a natural place that attracts new and highly targeted potential customers.,Targeted customers helps to increase brand awareness.,Social media is a natural place that helps to increase brand awareness.,0.9765470623970032,0.9481292366981506
121,511,262,Factories manufacturing chemicals manufacture chemicals,"Plants may have most of their equipment – tanks, pressure vessels, chemical reactors, pumps and piping – outdoors and operated from control rooms","Factories manufacturing chemicals may have most of their equipment – tanks, pressure vessels, chemical reactors, pumps and piping – outdoors and operated from control rooms",0.9061830043792725,0.995010256767273
122,1962,263,All of us have to be seen by ourselves and others as capable and competent and and we will actually sacrifice or trade off other needs to meet that need.,Procrastination is rooted in human need.,Procrastination is rooted in that all of us have to be seen by ourselves and others as capable and competent and and we will actually sacrifice or trade off other needs to meet that need.,0.9777178168296814,0.9784387350082397
123,512,264,Wind creates the Stigma on the flowers.,Plants that carry flower spores within far distances to land on other flowers’ stigma plays the role in reproduction of flowers.,Wind plays the role in reproduction of flowers.,0.886661171913147,0.8934009075164795
124,19,269,Resistance to insulin causes blood sugar levels to rise and strongly increases your risk of diabetes.,Prolong high-sugar consumption leads to insulin resistance.,Prolong high-sugar consumption causes blood sugar levels to rise and strongly increases your risk of diabetes.,0.9881969094276428,0.9863077402114868
125,1495,270, ozone at ground level is one of the main pollutans.,Ozone is the reaction of sunlight with pollutants from vehicle emissions.,"The reaction of sunlight with pollutants from vehicle emissions, is one of the main pollutans.",0.9673349261283875,0.9487181305885315
126,991,273,"with the rise of connectivity, there are more jobs available for writers and designers",there are more jobs available for writers and designers,"with the rise of connectivity, there are more jobs available for writers and designers",0.880387544631958,0.8987413644790649
127,1963,275,Getting to hepatitis is a sign that liver is not operating normally.,"When a person's skin become yellow, it is a sign that liver is not functioning normally.","When a person's skin become yellow, it is a sign that getting to hepatitis.",0.9321296215057373,0.9969531297683716
128,20,280,Different settlement patterns are unique case of study.,The Natufians have distinctive features in their society.,The Natufians are unique case of study.,0.9168795943260193,0.9268511533737183
129,992,281,"When a country decides whether a fiat currency or a gold-backed currency are legal, it determines whether the form of currency it may have","At the most basic level, monetary policy involves whether a country's currency exists","At the most basic level, monetary policy involves whether a fiat currency or a gold-backed currency",0.9042474031448364,0.9473701119422913
130,1964,282,traffic fumes increase when the number of cars is at its maximum,"during the rush hour, traffic is heavier",traffic fumes increase during the rush hour,0.9526847004890442,0.9366774559020996
131,993,287,Chocolate is a great source of fat.,Lecithin lowers the GI of a food.,Chocolate lowers the GI of a food.,0.8829355239868164,0.947511613368988
132,1496,292,I get uncomfortable when people make noises that make me uncomfortable, joe drinks tea,I get uncomfortable when joe drinks tea,0.9621283411979675,0.9147160053253174
133,1497,293,brussels sprouts contain a large amount of folic acid.,"Folic acid reduces the risk of central neural tube defects, such as spina bifida, in unborn babies.","brussels sprouts reduces the risk of central neural tube defects, such as spina bifida, in unborn babies.",0.9778546690940857,0.992970883846283
134,21,294,"Architectural phenomenology focuses on human experience, background, intention and historical reflection, interpretation as well as poetic and ethical considerations with authors such as Gaston Bachelard","the movement within architecture that began in the 1950s, reaching a wide audience in the late 1970s and 1980s, and continuing until today","the movement within architecture that began in the 1950s, reaching a wide audience in the late 1970s and 1980s, and continuing until today Architectural phenomenology focuses on human experience, background, intention and historical reflection, interpretation as well as poetic and ethical considerations with authors such as Gaston Bachelard",1.0,0.9713526368141174
135,22,295,"An inflated sense of their own importance, a deep need for excessive attention and admiration, and a lack of empathy for others troubles one's relation with his surrounding society.",Narcissistic personality disorder forces people to expect too much attention and attention from others.,Narcissistic personality disorder troubles one's relation with his surrounding society.,0.8929527401924133,0.9148467183113098
136,994,296,Blood clots prevent losing a big amount of blood with a small wound,Calcium is needed to prevent clotting.,Calcium is needed to prevent losing a big amount of blood with a small wound,0.9304137825965881,0.9204972386360168
137,1498,298,online courses help people to become wiser. ,public universities offer highly regarded courses.,public universities  help people to become wiser.,0.9504819512367249,0.9305063486099243
138,995,299,poor people don't have enough money to buy a phone.,Buying cell phone requires a lot of technical requirements.,poor people don't have enough money to buy cell phone.,0.9577152132987976,0.9538730978965759
139,996,300,Carbon dioxide contributes to air pollution.,Respiration from plants releases carbon dioxide.,Respiration from plants contributes to air pollution.,0.9999998807907104,0.9604641795158386
140,997,301,Spider-Mask hides his face in order to save his relatives from possible threats conducted by villains.,Peter Parker intends to establish his identity among superhoreos.,Peter Parker intends to save his relatives from possible threats conducted by villains.,0.9129048585891724,0.8813239336013794
141,513,303,doctors probably try to manage shortness of breath.,doctors probably suggest relaxation techniques to manage emotions.,doctors probably suggest relaxation techniques to manage shortness of breath.,0.9208601713180542,0.9486154317855835
142,998,304,Economic inequality encourages violence,Economic inequality encourages rivalry,Economic inequality encourages violence ,0.9489799737930298,0.8905307650566101
143,1499,305,rising food prices hit the poorest,The scarcity of fresh water and the diminution of fertile lands will result in the oversupply of nourishment,The scarcity of fresh water and the diminution of fertile lands will hit the poorest,0.8940017223358154,0.9523097276687622
144,1500,307,Protecting the environment has significant influences on the future of our children.,serious eco-friendly steps taken by the government preserve nature.,serious  eco-friendly steps taken by the government have significant influences on the future of our children.,0.9650313854217529,0.9267176985740662
145,1501,309,When we're not thinking clearly or rationally we may feel less capable of coping,"When the fight or flight response is triggered, our brains become illogical",When the fight or flight response is triggered we may feel less capable of coping,0.933233916759491,0.9332408905029297
146,1965,310,The balance between energy entering and leaving the planet’s system is maintained by global climate change.,Climate change causes longer periods of drought in some regions.,The balance between energy entering and leaving the planet’s system causes longer periods of drought in some regions.c,0.9716869592666626,0.9853169322013855
